,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
0,1,1,Dicky Pride,55,9.68,155,15
1,2,2,Ben Martin,92,9.12,318,29
2,3,3,Jordan Spieth,80,8.97,234,21
3,4,4,Jason Day,76,8.55,234,20
4,5,5,Michael Thompson,71,8.29,217,18
5,6,6,D.A. Points,55,8.28,145,12
6,7,7,Chez Reavie,90,8.03,299,24
7,8,8,Brooks Koepka,75,8.0,225,18
8,9,9,Ernie Els,66,7.87,216,17
9,10,10,Shane Lowry,57,7.79,154,12
10,11,11,Zach Johnson,90,7.66,274,21
11,12,12,Russell Henley,76,7.64,275,21
12,13,13,Kyle Reifers,115,7.56,410,31
13,14,14,Boo Weekley,83,7.53,279,21
14,15,15,Daniel Summerhays,99,7.48,321,24
15,16,16,Luke Guthrie,57,7.47,174,13
16,17,17,Kevin Na,96,7.38,271,20
17,18,18,Michael Kim,100,7.29,343,25
18,19,19,Wes Roach,59,7.18,181,13
19,20,20,Ryan Moore,86,7.11,253,18
20,T21,T21,Rory McIlroy,69,7.06,170,12
21,T21,T21,George McNeill,51,7.06,170,12
22,23,23,William McGirt,98,7.05,397,28
23,24,24,Francesco Molinari,64,7.04,213,15
24,25,25,Bubba Watson,72,7.0,200,14
25,26,26,J.B. Holmes,77,6.91,217,15
26,27,27,Derek Fathauer,94,6.9,261,18
27,28,28,Sam Saunders,69,6.81,191,13
28,29,29,Tim Wilkinson,72,6.77,192,13
29,30,30,Jason Dufner,105,6.64,301,20
30,31,31,Rod Pampling,54,6.62,136,9
31,32,32,Ken Duke,58,6.58,152,10
32,33,33,Robert Garrigus,69,6.57,198,13
33,34,34,Johnson Wagner,86,6.53,352,23
34,35,35,Jimmy Walker,85,6.52,276,18
35,36,36,Brendon Todd,66,6.49,185,12
36,T37,T37,Charles Howell III,91,6.41,359,23
37,T37,T37,Adam Scott,79,6.41,234,15
38,T37,T37,Jhonattan Vegas,97,6.41,343,22
39,40,40,Billy Horschel,73,6.35,252,16
40,41,41,Kevin Kisner,97,6.31,301,19
41,T42,T42,Danny Lee,93,6.25,256,16
42,T42,T42,Kevin Streelman,82,6.25,256,16
43,44,44,Colt Knost,90,6.06,297,18
44,45,45,Matt Kuchar,100,6.04,331,20
45,46,46,Daniel Berger,92,5.95,269,16
46,47,47,Camilo Villegas,83,5.94,286,17
47,48,48,Will MacKenzie,84,5.83,240,14
48,49,49,K.J. Choi,73,5.81,258,15
49,T50,T50,Steven Bowditch,71,5.8,207,12
50,T50,T50,Tom Hoge,81,5.8,207,12
51,T50,T50,Smylie Kaufman,91,5.8,276,16
52,53,53,Scott Pinckney,87,5.76,330,19
53,54,54,John Senden,88,5.75,348,20
54,55,55,Brett Stegmaier,87,5.72,332,19
55,56,56,Mark Wilson,66,5.71,245,14
56,57,57,Rob Oppenheim,67,5.7,193,11
57,58,58,Luke List,79,5.65,283,16
