,Average_Putting_Distance_-_All_2_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_2_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_2_putts_PLAYER NAME,Average_Putting_Distance_-_All_2_putts_ROUNDS,Average_Putting_Distance_-_All_2_putts_AVG,Average_Putting_Distance_-_All_2_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_2_putts_TOTAL PUTTS
0,1,1,Martin Laird,82,"25' 4""",18410.333,727
1,2,2,Harris English,97,"24' 11""",17781.75,713
2,T3,T3,Charles Howell III,91,"24' 5""",19854.833,814
3,T3,T3,Patton Kizzire,93,"24' 5""",18519.583,758
4,T5,T5,Jason Day,76,"24' 3""",12228.0,505
5,T5,T5,Retief Goosen,55,"24' 3""",11554.167,477
6,T5,T5,Brandt Snedeker,93,"24' 3""",17772.083,732
7,T8,T8,Aaron Baddeley,93,"24' 2""",16918.417,699
8,T8,T8,Rickie Fowler,80,"24' 2""",16630.083,687
9,T8,T8,J.J. Henry,68,"24' 2""",16698.667,692
10,T8,T8,Sung Kang,89,"24' 2""",17926.917,741
11,T12,T12,Billy Horschel,73,"24' 1""",13975.417,580
12,T12,T12,Patrick Rodgers,89,"24' 1""",18191.5,756
13,T12,T12,John Senden,88,"24' 1""",20196.5,838
14,T15,T15,Stewart Cink,61,"23' 11""",13068.417,547
15,T15,T15,Kevin Kisner,97,"23' 11""",17693.167,741
16,17,17,Zac Blair,99,"23' 10""",19156.667,804
17,T18,T18,Brian Harman,104,"23' 9""",21164.75,890
18,T18,T18,Matt Kuchar,100,"23' 9""",18458.083,776
19,T18,T18,Jamie Lovemark,91,"23' 9""",19386.083,815
20,T18,T18,William McGirt,98,"23' 9""",21592.083,910
21,T18,T18,Martin Piller,59,"23' 9""",11024.583,464
22,T18,T18,Jordan Spieth,80,"23' 9""",12941.167,545
23,T18,T18,Daniel Summerhays,99,"23' 9""",18668.0,785
24,T18,T18,Steve Wheatcroft,85,"23' 9""",16147.25,680
25,T18,T18,Mark Wilson,66,"23' 9""",13595.5,573
26,T18,T18,Gary Woodland,95,"23' 9""",19259.5,812
27,T28,T28,Paul Casey,77,"23' 8""",14182.417,600
28,T28,T28,Jon Curran,99,"23' 8""",19361.083,819
29,T28,T28,Bill Haas,86,"23' 8""",16276.667,688
30,T28,T28,Scott Langley,65,"23' 8""",12931.417,547
31,T32,T32,Thomas Aiken,70,"23' 7""",12381.583,525
32,T32,T32,Andrew Loupe,75,"23' 7""",14972.583,636
33,T32,T32,Sean O'Hair,89,"23' 7""",20117.833,854
34,T32,T32,Scott Pinckney,87,"23' 7""",17722.25,751
35,T32,T32,Jhonattan Vegas,97,"23' 7""",19847.167,841
36,T37,T37,Bronson Burgoon,83,"23' 6""",15686.333,668
37,T37,T37,Brendon de Jonge,83,"23' 6""",16402.167,697
38,T37,T37,Sergio Garcia,54,"23' 6""",7812.25,332
39,T37,T37,Brett Stegmaier,87,"23' 6""",18844.833,801
40,T37,T37,Hudson Swafford,104,"23' 6""",22341.25,951
41,T37,T37,Johnson Wagner,86,"23' 6""",18769.5,798
42,T43,T43,Morgan Hoffmann,71,"23' 5""",13555.833,578
43,T43,T43,Freddie Jacobson,86,"23' 5""",16534.333,706
44,T43,T43,Colt Knost,90,"23' 5""",16624.417,709
45,T43,T43,Steve Stricker,53,"23' 5""",10309.417,441
46,T47,T47,Ricky Barnes,97,"23' 4""",18829.75,806
47,T47,T47,Branden Grace,63,"23' 4""",10126.417,434
