,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
87,T85,T85,William McGirt,98,29.08,2850,98,23
88,T85,T85,Rod Pampling,54,29.08,1454,50,24
89,T90,T90,Matt Jones,83,29.11,2329,80,25
90,T90,T90,Scott Stallings,74,29.11,2038,70,22
91,92,92,Danny Lee,93,29.12,2621,90,24
92,93,93,Cameron Tringale,81,29.13,2243,77,23
93,T94,T94,Scott Langley,65,29.14,1836,63,23
94,T94,T94,Luke List,79,29.14,2244,77,24
95,T94,T94,Rob Oppenheim,67,29.14,1836,63,25
96,97,97,Tyrone Van Aswegen,105,29.15,2973,102,24
97,T98,T98,Rickie Fowler,80,29.16,2245,77,23
98,T98,T98,Hunter Mahan,61,29.16,1779,61,21
99,T100,T100,Charley Hoffman,91,29.17,2567,88,23
100,T100,T100,Jerry Kelly,76,29.17,2217,76,23
101,T100,T100,Kelly Kraft,63,29.17,1721,59,25
102,T100,T100,Francesco Molinari,64,29.17,1867,64,23
103,T104,T104,Smylie Kaufman,91,29.18,2568,88,23
104,T104,T104,Rory McIlroy,69,29.18,1809,62,22
105,T104,T104,D.A. Points,55,29.18,1488,51,22
106,T104,T104,Sam Saunders,69,29.18,1897,65,24
107,108,108,Chris Stroud,82,29.19,2335,80,24
108,109,109,Tony Finau,95,29.2,2774,95,22
109,110,110,David Toms,62,29.21,1811,62,24
110,T111,T111,Scott Brown,88,29.22,2571,88,25
111,T111,T111,Graeme McDowell,63,29.22,1753,60,24
112,T111,T111,Cameron Smith,73,29.22,2016,69,23
113,114,114,Jason Gore,78,29.23,2163,74,23
114,T115,T115,Roberto Castro,97,29.25,2837,97,22
115,T115,T115,Brendon de Jonge,83,29.25,2369,81,23
116,T115,T115,Chesson Hadley,81,29.25,2311,79,23
117,T118,T118,Ben Martin,92,29.26,2575,88,23
118,T118,T118,Gary Woodland,95,29.26,2663,91,24
119,120,120,Geoff Ogilvy,63,29.27,1727,59,24
120,T121,T121,Branden Grace,63,29.28,1757,60,24
121,T121,T121,Justin Thomas,99,29.28,2811,96,22
122,123,123,Michael Thompson,71,29.29,1992,68,21
123,T124,T124,Bronson Burgoon,83,29.3,2315,79,22
124,T124,T124,Russell Henley,76,29.3,2227,76,22
125,126,126,Martin Laird,82,29.31,2286,78,25
126,T127,T127,Kyle Reifers,115,29.34,3257,111,24
127,T127,T127,Charl Schwartzel,73,29.34,2054,70,23
128,T129,T129,Blayne Barber,84,29.36,2349,80,26
129,T129,T129,Webb Simpson,70,29.36,2055,70,23
130,T131,T131,Steve Marino,72,29.37,1997,68,23
131,T131,T131,Johnson Wagner,86,29.37,2526,86,24
132,133,133,Chad Campbell,90,29.39,2645,90,23
133,134,134,Boo Weekley,83,29.42,2442,83,25
134,T135,T135,Tyler Aldridge,83,29.43,2325,79,21
135,T135,T135,Jim Herman,93,29.43,2737,93,25
136,T135,T135,George McNeill,51,29.43,1501,51,23
137,138,138,Bill Haas,86,29.44,2414,82,24
138,T139,T139,James Hahn,85,29.47,2505,85,25
139,T139,T139,Carlos Ortiz,79,29.47,2210,75,26
140,T139,T139,Kyle Stanley,92,29.47,2623,89,23
141,T142,T142,Henrik Norlander,71,29.48,1975,67,25
142,T142,T142,Scott Piercy,87,29.48,2476,84,24
143,T142,T142,John Senden,88,29.48,2535,86,24
144,T142,T142,Hudson Swafford,104,29.48,3066,104,22
145,T142,T142,Mark Wilson,66,29.48,1828,62,24
146,147,147,Dawie van der Walt,72,29.49,2064,70,24
147,T148,T148,Andres Gonzales,80,29.5,2301,78,23
148,T148,T148,Billy Horschel,73,29.5,2065,70,23
149,T148,T148,Adam Scott,79,29.5,2242,76,24
150,T151,T151,Russell Knox,92,29.52,2627,89,24
151,T151,T151,Brett Stegmaier,87,29.52,2509,85,25
152,T153,T153,Whee Kim,82,29.56,2306,78,23
153,T153,T153,Shane Lowry,57,29.56,1596,54,25
154,155,155,Robert Garrigus,69,29.57,1922,65,25
155,T156,T156,Will MacKenzie,84,29.58,2366,80,23
156,T156,T156,Justin Rose,65,29.58,1834,62,22
157,T158,T158,Jason Dufner,105,29.59,3018,102,22
158,T158,T158,Shawn Stefani,91,29.59,2574,87,24
159,160,160,Jason Kokrak,89,29.64,2638,89,24
160,161,161,Derek Ernst,59,29.65,1690,57,24
161,162,162,Ángel Cabrera,62,29.66,1839,62,24
162,163,163,Emiliano Grillo,93,29.67,2670,90,24
163,164,164,Jhonattan Vegas,97,29.68,2760,93,24
164,165,165,Paul Casey,77,29.69,2197,74,25
165,166,166,Louis Oosthuizen,63,29.7,1663,56,22
166,167,167,Jim Furyk,52,29.71,1545,52,23
167,168,168,Harold Varner III,92,29.73,2735,92,22
168,169,169,Graham DeLaet,70,29.74,1963,66,24
169,T170,T170,Sergio Garcia,54,29.75,1517,51,23
170,T170,T170,Patrick Rodgers,89,29.75,2529,85,25
171,172,172,Rory Sabbatini,57,29.76,1607,54,23
172,173,173,Kevin Streelman,82,29.77,2441,82,25
173,174,174,Bubba Watson,72,29.78,2055,69,25
174,T175,T175,Lucas Glover,75,29.8,2235,75,22
175,T175,T175,Brendan Steele,88,29.8,2503,84,24
176,177,177,Robert Streb,87,29.9,2512,84,24
177,T178,T178,Rhein Gibson,58,29.96,1618,54,24
178,T178,T178,Scott Pinckney,87,29.96,2547,85,22
179,180,180,Thomas Aiken,70,30.08,1985,66,25
180,181,181,Keegan Bradley,82,30.11,2469,82,24
181,182,182,Stewart Cink,61,30.18,1841,61,24
182,183,183,Greg Owen,85,30.33,2457,81,24
183,184,184,Robert Allenby,51,30.41,1551,51,26
184,185,185,J.J. Henry,68,30.45,2010,66,25
