,Total_1_Putts_-__25_RANK THIS WEEK,Total_1_Putts_-__25_RANK LAST WEEK,Total_1_Putts_-__25_PLAYER NAME,Total_1_Putts_-__25_ROUNDS,Total_1_Putts_-__25_TOTAL,Total_1_Putts_-__25_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-__25_PCT OF ALL 1-PUTTS
0,1,1,Kyle Reifers,115,34,645,5.3
1,T2,T2,Ben Martin,92,30,555,5.4
2,T2,T2,Daniel Summerhays,99,30,586,5.1
3,T4,T4,Michael Kim,100,28,627,4.5
4,T4,T4,William McGirt,98,28,618,4.5
5,6,6,Charles Howell III,91,26,535,4.9
6,7,7,Johnson Wagner,86,25,509,4.9
7,T8,T8,Chez Reavie,90,24,535,4.5
8,T8,T8,Jordan Spieth,80,24,462,5.2
9,T10,T10,Hudson Swafford,104,23,623,3.7
10,T10,T10,Jhonattan Vegas,97,23,542,4.2
11,T10,T10,Boo Weekley,83,23,484,4.8
12,T13,T13,Jason Day,76,22,436,5.0
13,T13,T13,Jason Dufner,105,22,517,4.3
14,T13,T13,Si Woo Kim,113,22,711,3.1
15,T13,T13,John Senden,88,22,518,4.2
16,T13,T13,Brett Stegmaier,87,22,499,4.4
17,T13,T13,Camilo Villegas,83,22,511,4.3
18,T19,T19,Zac Blair,99,21,592,3.5
19,T19,T19,Russell Henley,76,21,467,4.5
20,T19,T19,Zach Johnson,90,21,542,3.9
21,T19,T19,Kevin Na,96,21,488,4.3
22,T19,T19,Scott Pinckney,87,21,455,4.6
23,T24,T24,Ricky Barnes,97,20,592,3.4
24,T24,T24,Roberto Castro,97,20,577,3.5
25,T24,T24,Harris English,97,20,534,3.7
26,T24,T24,Adam Hadwin,93,20,646,3.1
27,T24,T24,Colt Knost,90,20,510,3.9
28,T24,T24,Brooks Koepka,75,20,445,4.5
29,T24,T24,Jason Kokrak,89,20,470,4.3
30,T24,T24,Matt Kuchar,100,20,570,3.5
31,T24,T24,Ryan Moore,86,20,482,4.1
32,T33,T33,Ernie Els,66,19,418,4.5
33,T33,T33,Derek Fathauer,94,19,574,3.3
34,T33,T33,Emiliano Grillo,93,19,486,3.9
35,T33,T33,David Hearn,95,19,569,3.3
36,T33,T33,Kevin Kisner,97,19,539,3.5
37,T33,T33,Patrick Reed,105,19,590,3.2
38,T33,T33,Michael Thompson,71,19,354,5.4
39,T33,T33,Jimmy Walker,85,19,529,3.6
40,T41,T41,Chad Campbell,90,18,536,3.4
41,T41,T41,Jim Herman,93,18,476,3.8
42,T41,T41,Mark Hubbard,101,18,608,3.0
43,T41,T41,Smylie Kaufman,91,18,498,3.6
44,T41,T41,Spencer Levin,104,18,568,3.2
45,T41,T41,Steve Wheatcroft,85,18,522,3.4
46,T47,T47,Aaron Baddeley,93,17,577,2.9
47,T47,T47,Blayne Barber,84,17,500,3.4
48,T47,T47,Tony Finau,95,17,526,3.2
49,T47,T47,Fabián Gómez,82,17,539,3.2
50,T47,T47,Luke Guthrie,57,17,346,4.9
51,T47,T47,Freddie Jacobson,86,17,523,3.3
52,T47,T47,Martin Laird,82,17,481,3.5
53,T47,T47,Luke List,79,17,480,3.5
54,T47,T47,Jamie Lovemark,91,17,596,2.9
55,T47,T47,Sean O'Hair,89,17,605,2.8
56,T47,T47,Kyle Stanley,92,17,532,3.2
57,T47,T47,Robert Streb,87,17,412,4.1
58,T47,T47,Harold Varner III,92,17,532,3.2
59,T60,T60,Daniel Berger,92,16,489,3.3
60,T60,T60,K.J. Choi,73,16,489,3.3
61,T60,T60,James Hahn,85,16,458,3.5
62,T60,T60,J.J. Henry,68,16,346,4.6
63,T60,T60,Charley Hoffman,91,16,505,3.2
64,T60,T60,J.B. Holmes,77,16,441,3.6
65,T60,T60,Billy Horschel,73,16,390,4.1
66,T60,T60,Patton Kizzire,93,16,525,3.0
67,T60,T60,Danny Lee,93,16,497,3.2
