,Putting_from_-__10_RANK THIS WEEK,Putting_from_-__10_RANK LAST WEEK,Putting_from_-__10_PLAYER NAME,Putting_from_-__10_ROUNDS,Putting_from_-__10_% MADE,Putting_from_-__10_ATTEMPTS,Putting_from_-__10_PUTTS MADE
0,1,1,Jason Day,76,21.76,556,121
1,2,2,Jordan Spieth,80,20.86,580,121
2,3,3,Kevin Na,96,18.57,727,135
3,T4,T4,Zach Johnson,90,18.18,781,142
4,T4,T4,Steve Stricker,53,18.18,451,82
5,6,6,Brooks Koepka,75,18.05,626,113
6,7,7,Chris Stroud,82,17.97,740,133
7,8,8,Dustin Johnson,87,17.87,610,109
8,9,9,Jonas Blixt,79,17.84,667,119
9,10,10,Shane Lowry,57,17.77,394,70
10,T11,T11,Rory McIlroy,69,17.65,493,87
11,T11,T11,Dicky Pride,55,17.65,408,72
12,13,13,K.J. Choi,73,17.58,677,119
13,14,14,Charl Schwartzel,73,17.57,569,100
14,15,15,Smylie Kaufman,91,17.51,754,132
15,16,16,Luke Guthrie,57,17.48,452,79
16,17,17,Brendon Todd,66,17.37,518,90
17,18,18,Andrew Loupe,75,17.24,667,115
18,19,19,Tim Wilkinson,72,17.21,494,85
19,20,20,Daniel Summerhays,99,17.2,837,144
20,21,21,Hideki Matsuyama,76,17.16,606,104
21,22,22,Morgan Hoffmann,71,16.99,612,104
22,23,23,Ryan Moore,86,16.91,674,114
23,24,24,Phil Mickelson,75,16.86,599,101
24,25,25,Peter Malnati,85,16.8,756,127
25,26,26,Bryce Molder,80,16.79,667,112
26,27,27,Tom Hoge,81,16.77,620,104
27,28,28,Andrew Landry,53,16.76,346,58
28,29,29,Michael Thompson,71,16.75,585,98
29,T30,T30,Freddie Jacobson,86,16.62,758,126
30,T30,T30,Patrick Reed,105,16.62,794,132
31,T32,T32,Fabián Gómez,82,16.6,759,126
32,T32,T32,Charley Hoffman,91,16.6,717,119
33,34,34,Derek Fathauer,94,16.58,766,127
34,35,35,Brandt Snedeker,93,16.51,763,126
35,36,36,Kevin Kisner,97,16.5,794,131
36,37,37,Harris English,97,16.45,754,124
37,38,38,David Hearn,95,16.41,896,147
38,39,39,Matt Kuchar,100,16.36,807,132
39,40,40,Camilo Villegas,83,16.29,749,122
40,41,41,Ernie Els,66,16.27,553,90
41,T42,T42,Ken Duke,58,16.2,463,75
42,T42,T42,Boo Weekley,83,16.2,747,121
43,44,44,J.B. Holmes,77,16.16,594,96
