,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
114,115,115,Brendan Steele,88,"11' 11""",47.75,4,25,5
115,T116,T116,Bronson Burgoon,83,"11' 9""",46.833,4,23,2
116,T116,T116,Rob Oppenheim,67,"11' 9""",11.75,1,12,12
117,118,118,Brian Harman,104,"11' 8""",46.667,4,17,5
118,119,119,Francesco Molinari,64,"11' 6""",34.5,3,19,2
119,120,120,Rory McIlroy,69,"11' 5""",34.25,3,23,3
120,121,121,Mark Hubbard,101,"11' 4""",56.667,5,30,5
121,122,122,Spencer Levin,104,"11' 2""",44.583,4,16,4
122,123,123,Andres Gonzales,80,"11' 0""",33.083,3,16,7
123,124,124,Harold Varner III,92,"10' 11""",54.417,5,22,3
124,125,125,Kevin Chappell,93,"10' 10""",75.667,7,21,4
125,T126,T126,Rhein Gibson,58,"10' 7""",31.666999999999998,3,15,7
126,T126,T126,Russell Knox,92,"10' 7""",31.666999999999998,3,18,4
127,128,128,Kevin Streelman,82,"10' 4""",31.0,3,15,7
128,129,129,David Lingmerth,84,"9' 11""",29.75,3,23,2
129,130,130,K.J. Choi,73,"9' 10""",49.167,5,16,3
130,T131,T131,Ben Martin,92,"9' 8""",106.5,11,33,2
131,T131,T131,Steve Stricker,53,"9' 8""",19.25,2,14,5
132,T133,T133,Hideki Matsuyama,76,"9' 7""",9.583,1,10,10
133,T133,T133,Cameron Tringale,81,"9' 7""",57.583,6,23,4
134,T135,T135,Tyler Aldridge,83,"9' 6""",28.5,3,19,3
135,T135,T135,Erik Compton,65,"9' 6""",9.5,1,10,10
136,T135,T135,Russell Henley,76,"9' 6""",56.917,6,12,6
137,T135,T135,Billy Hurley III,66,"9' 6""",28.5,3,15,"7"""
138,T139,T139,Whee Kim,82,"9' 5""",28.333000000000002,3,13,7
139,T139,T139,Peter Malnati,85,"9' 5""",18.833,2,10,9
140,141,141,Scott Langley,65,"9' 4""",18.583,2,15,3
141,142,142,Chez Reavie,90,"9' 2""",45.667,5,16,5
142,T143,T143,Robert Allenby,51,"8' 10""",17.583,2,9,9
143,T143,T143,Scott Piercy,87,"8' 10""",35.167,4,15,3
144,145,145,Justin Rose,65,"8' 9""",43.917,5,19,4
145,T146,T146,Chris Kirk,90,"8' 8""",17.25,2,9,8
146,T146,T146,Louis Oosthuizen,63,"8' 8""",34.667,4,15,5
147,T146,T146,Tyrone Van Aswegen,105,"8' 8""",17.25,2,11,6
148,149,149,Gary Woodland,95,"8' 7""",60.167,7,34,"10"""
149,T150,T150,Keegan Bradley,82,"8' 5""",25.25,3,9,8
150,T150,T150,George McNeill,51,"8' 5""",8.417,1,8,8
151,152,152,Billy Horschel,73,"8' 4""",16.583,2,9,8
152,T153,T153,Stuart Appleby,71,"8' 3""",24.75,3,12,6
153,T153,T153,Branden Grace,63,"8' 3""",8.25,1,8,8
154,155,155,Jonas Blixt,79,"8' 2""",48.75,6,16,4
155,T156,T156,Chad Campbell,90,"8' 0""",8.0,1,8,8
156,T156,T156,Emiliano Grillo,93,"8' 0""",24.083000000000002,3,16,4
157,T156,T156,D.H. Lee,61,"8' 0""",24.083000000000002,3,14,5
158,T159,T159,Zac Blair,99,"7' 9""",7.75,1,8,8
159,T159,T159,Cameron Smith,73,"7' 9""",7.75,1,8,8
160,161,161,Jamie Lovemark,91,"7' 5""",29.5,4,14,4
161,T162,T162,Freddie Jacobson,86,"7' 2""",7.167000000000001,1,7,7
162,T162,T162,Andrew Landry,53,"7' 2""",21.416999999999998,3,19,1
163,164,164,Hiroshi Iwata,85,"7' 0""",42.083,6,10,3
164,165,165,Geoff Ogilvy,63,"6' 11""",27.583000000000002,4,18,2
165,T166,T166,Jason Kokrak,89,"6' 10""",20.417,3,9,5
166,T166,T166,Kelly Kraft,63,"6' 10""",27.166999999999998,4,17,3
167,168,168,Derek Fathauer,94,"6' 7""",6.582999999999999,1,7,7
168,169,169,Michael Kim,100,"6' 5""",19.167,3,10,4
169,170,170,Greg Owen,85,"6' 1""",18.25,3,8,3
170,171,171,Aaron Baddeley,93,"5' 9""",17.333,3,8,4
171,172,172,Scott Stallings,74,"5' 7""",11.083,2,7,4
172,173,173,Shane Lowry,57,"3' 9""",7.5,2,4,4
173,174,174,John Huh,86,"2' 10""",2.833,1,3,3
174,175,175,Phil Mickelson,75,"2' 6""",5.0,2,3,2
