,GIR_Putting_Avg_-_25-30_RANK THIS WEEK,GIR_Putting_Avg_-_25-30_RANK LAST WEEK,GIR_Putting_Avg_-_25-30_PLAYER NAME,GIR_Putting_Avg_-_25-30_ROUNDS,GIR_Putting_Avg_-_25-30_% MADE,GIR_Putting_Avg_-_25-30_ATTEMPTS,GIR_Putting_Avg_-_25-30_PUTTS MADE
0,1,1,Jordan Spieth,80,2.04,54,11.0
1,2,2,D.A. Points,55,2.0,45,9.0
2,3,3,Ernie Els,66,1.92,52,10.0
3,4,4,Bubba Watson,72,1.79,56,10.0
4,5,5,Shane Lowry,57,1.71,41,7.0
5,6,6,Dicky Pride,55,1.56,45,7.0
6,7,7,Rhein Gibson,58,1.49,47,7.0
7,8,8,William McGirt,98,1.47,102,15.0
8,9,9,Russell Henley,76,1.45,69,10.0
9,10,10,Chris Stroud,82,1.43,63,9.0
10,T11,T11,Ryan Moore,86,1.41,78,11.0
11,T11,T11,Chez Reavie,90,1.41,92,13.0
12,13,13,Matt Kuchar,100,1.39,72,10.0
13,T14,T14,Sergio Garcia,54,1.38,29,4.0
14,T14,T14,Brooks Koepka,75,1.38,58,8.0
15,16,16,Branden Grace,63,1.33,45,6.0
16,17,17,Derek Fathauer,94,1.29,70,9.0
17,T18,T18,Ben Martin,92,1.28,78,10.0
18,T18,T18,Camilo Villegas,83,1.28,78,10.0
19,T20,T20,Jonas Blixt,79,1.27,55,7.0
20,T20,T20,Daniel Summerhays,99,1.27,79,10.0
21,T22,T22,Luke Guthrie,57,1.25,48,6.0
22,T22,T22,Adam Hadwin,93,1.25,96,12.0
23,T22,T22,Rod Pampling,54,1.25,40,5.0
24,T22,T22,Sam Saunders,69,1.25,48,6.0
25,T22,T22,Mark Wilson,66,1.25,56,7.0
26,27,27,Daniel Berger,92,1.23,65,8.0
27,28,28,Ricky Barnes,97,1.22,90,11.0
28,29,29,Scott Piercy,87,1.21,66,8.0
29,T30,T30,J.B. Holmes,77,1.2,50,6.0
30,T30,T30,Ryan Palmer,86,1.2,75,9.0
31,T32,T32,Billy Horschel,73,1.18,68,8.0
32,T32,T32,Michael Thompson,71,1.18,68,8.0
33,T34,T34,Luke List,79,1.13,80,9.0
34,T34,T34,Will MacKenzie,84,1.13,71,8.0
35,T34,T34,Kevin Na,96,1.13,71,8.0
36,T37,T37,Billy Hurley III,66,1.09,64,7.0
37,T37,T37,Rory McIlroy,69,1.09,46,5.0
38,39,39,Andrew Landry,53,1.07,28,3.0
39,40,40,Jim Herman,93,1.06,66,7.0
40,41,41,Chad Campbell,90,1.05,76,8.0
41,T42,T42,Jeff Overton,69,1.04,67,7.0
42,T42,T42,Wes Roach,59,1.04,48,5.0
43,T42,T42,Vaughn Taylor,72,1.04,67,7.0
44,T45,T45,Ken Duke,58,1.03,39,4.0
45,T45,T45,Hiroshi Iwata,85,1.03,68,7.0
46,T47,T47,Ángel Cabrera,62,1.02,49,5.0
47,T47,T47,Jason Day,76,1.02,59,6.0
48,49,49,Michael Kim,100,1.01,79,8.0
49,T50,T50,Jim Furyk,52,1.0,50,5.0
50,T50,T50,Andres Gonzales,80,1.0,70,7.0
51,T50,T50,Scott Langley,65,1.0,70,7.0
52,T50,T50,Bryce Molder,80,1.0,60,6.0
53,T50,T50,Boo Weekley,83,1.0,80,8.0
54,T55,T55,Brendan Steele,88,0.99,91,9.0
55,T55,T55,Johnson Wagner,86,0.99,91,9.0
56,T57,T57,Derek Ernst,59,0.98,51,5.0
57,T57,T57,David Hearn,95,0.98,82,8.0
58,T57,T57,Francesco Molinari,64,0.98,61,6.0
59,60,60,Jason Dufner,105,0.96,73,7.0
60,T61,T61,Rickie Fowler,80,0.95,74,7.0
61,T61,T61,Jimmy Walker,85,0.95,74,7.0
62,T63,T63,Matt Jones,83,0.94,64,6.0
63,T63,T63,Rob Oppenheim,67,0.94,53,5.0
64,T63,T63,Brian Stuard,66,0.94,64,6.0
65,T63,T63,Hudson Swafford,104,0.94,85,8.0
66,T67,T67,Erik Compton,65,0.93,43,4.0
67,T67,T67,Zach Johnson,90,0.93,75,7.0
68,T67,T67,George McNeill,51,0.93,43,4.0
69,70,70,K.J. Choi,73,0.92,76,7.0
70,T71,T71,J.J. Henry,68,0.91,66,6.0
71,T71,T71,Cameron Smith,73,0.91,55,5.0
72,T73,T73,Paul Casey,77,0.89,79,7.0
73,T73,T73,Louis Oosthuizen,63,0.89,56,5.0
74,T73,T73,Patrick Reed,105,0.89,79,7.0
75,T76,T76,Ben Crane,80,0.88,57,5.0
76,T76,T76,Si Woo Kim,113,0.88,91,8.0
77,T76,T76,Jamie Lovemark,91,0.88,80,7.0
78,T76,T76,Harold Varner III,92,0.88,80,7.0
79,T80,T80,Morgan Hoffmann,71,0.86,70,6.0
80,T80,T80,Jason Kokrak,89,0.86,93,8.0
81,T82,T82,Tyler Aldridge,83,0.85,71,6.0
82,T82,T82,Luke Donald,81,0.85,47,4.0
83,T82,T82,Jason Gore,78,0.85,71,6.0
84,T82,T82,David Lingmerth,84,0.85,59,5.0
85,T82,T82,Steve Wheatcroft,85,0.85,71,6.0
86,T87,T87,Marc Leishman,89,0.83,72,6.0
87,T87,T87,Henrik Norlander,71,0.83,60,5.0
88,T87,T87,Jhonattan Vegas,97,0.83,84,7.0
89,90,90,Spencer Levin,104,0.82,97,8.0
90,T91,T91,Robert Allenby,51,0.81,37,3.0
91,T91,T91,Kevin Chappell,93,0.81,86,7.0
92,T91,T91,Kyle Reifers,115,0.81,123,10.0
93,T91,T91,Shawn Stefani,91,0.81,86,7.0
94,T91,T91,Kevin Streelman,82,0.81,74,6.0
95,T96,T96,Martin Laird,82,0.8,75,6.0
96,T96,T96,Steve Stricker,53,0.8,50,4.0
97,98,98,Aaron Baddeley,93,0.79,76,6.0
98,99,99,Colt Knost,90,0.78,77,6.0
99,100,100,Smylie Kaufman,91,0.77,78,6.0
100,101,101,Roberto Castro,97,0.76,79,6.0
101,T102,T102,Charles Howell III,91,0.75,80,6.0
102,T102,T102,Peter Malnati,85,0.75,67,5.0
103,T102,T102,Brendon Todd,66,0.75,53,4.0
104,T105,T105,Graham DeLaet,70,0.74,54,4.0
105,T105,T105,Vijay Singh,72,0.74,81,6.0
106,T105,T105,Brandt Snedeker,93,0.74,68,5.0
107,T105,T105,Brett Stegmaier,87,0.74,94,7.0
108,T109,T109,Blayne Barber,84,0.73,82,6.0
109,T109,T109,Rory Sabbatini,57,0.73,41,3.0
110,T109,T109,Tim Wilkinson,72,0.73,55,4.0
111,T112,T112,Emiliano Grillo,93,0.72,97,7.0
112,T112,T112,Chesson Hadley,81,0.72,69,5.0
113,T112,T112,Kyle Stanley,92,0.72,83,6.0
114,T115,T115,Sean O'Hair,89,0.71,85,6.0
115,T115,T115,Martin Piller,59,0.71,42,3.0
116,117,117,Cameron Tringale,81,0.7,57,4.0
117,T118,T118,Andrew Loupe,75,0.69,58,4.0
118,T118,T118,Willy Wilcox,67,0.69,58,4.0
119,T120,T120,Tom Hoge,81,0.68,59,4.0
120,T120,T120,Kevin Kisner,97,0.68,88,6.0
121,T120,T120,Greg Owen,85,0.68,73,5.0
122,T123,T123,Harris English,97,0.67,89,6.0
123,T123,T123,Jerry Kelly,76,0.67,75,5.0
124,T123,T123,Phil Mickelson,75,0.67,60,4.0
125,T123,T123,Carlos Ortiz,79,0.67,60,4.0
126,127,127,Scott Brown,88,0.66,76,5.0
127,128,128,Robert Garrigus,69,0.65,62,4.0
128,129,129,Kelly Kraft,63,0.64,47,3.0
129,T130,T130,Jason Bohn,67,0.63,63,4.0
130,T130,T130,Brendon de Jonge,83,0.63,63,4.0
131,T130,T130,Tony Finau,95,0.63,80,5.0
132,T130,T130,Troy Merritt,77,0.63,63,4.0
133,T130,T130,David Toms,62,0.63,64,4.0
134,135,135,Whee Kim,82,0.62,65,4.0
135,T136,T136,Charley Hoffman,91,0.61,66,4.0
136,T136,T136,Dustin Johnson,87,0.61,49,3.0
137,T136,T136,Webb Simpson,70,0.61,66,4.0
138,T136,T136,Robert Streb,87,0.61,66,4.0
139,T140,T140,Zac Blair,99,0.6,83,5.0
140,T140,T140,Brian Harman,104,0.6,84,5.0
141,T140,T140,Scott Pinckney,87,0.6,83,5.0
142,T143,T143,Stuart Appleby,71,0.59,68,4.0
143,T143,T143,Mark Hubbard,101,0.59,85,5.0
144,T143,T143,Freddie Jacobson,86,0.59,85,5.0
145,146,146,Thomas Aiken,70,0.58,52,3.0
146,T147,T147,Lucas Glover,75,0.57,88,5.0
147,T147,T147,Fabián Gómez,82,0.57,88,5.0
148,T147,T147,Hideki Matsuyama,76,0.57,70,4.0
149,150,150,Steven Bowditch,71,0.55,55,3.0
150,T151,T151,Abraham Ancer,51,0.53,38,2.0
151,T151,T151,Jon Curran,99,0.53,76,4.0
152,153,153,Danny Lee,93,0.5,80,4.0
153,154,154,Seung-Yul Noh,85,0.49,82,4.0
154,T155,T155,John Huh,86,0.48,84,4.0
155,T155,T155,Patrick Rodgers,89,0.48,83,4.0
156,157,157,James Hahn,85,0.46,65,3.0
157,158,158,John Senden,88,0.44,68,3.0
158,159,159,D.H. Lee,61,0.43,46,2.0
159,160,160,Patton Kizzire,93,0.42,71,3.0
160,T161,T161,Hunter Mahan,61,0.39,51,2.0
161,T161,T161,Justin Rose,65,0.39,51,2.0
162,T161,T161,Justin Thomas,99,0.39,77,3.0
163,T164,T164,Chris Kirk,90,0.37,82,3.0
164,T164,T164,Adam Scott,79,0.37,54,2.0
165,166,166,Tyrone Van Aswegen,105,0.36,83,3.0
166,167,167,Stewart Cink,61,0.35,57,2.0
167,T168,T168,Charl Schwartzel,73,0.34,58,2.0
168,T168,T168,Scott Stallings,74,0.34,59,2.0
169,T170,T170,Chad Collins,73,0.3,66,2.0
170,T170,T170,Russell Knox,92,0.3,67,2.0
171,172,172,Bronson Burgoon,83,0.29,68,2.0
172,173,173,Nick Taylor,83,0.28,71,2.0
173,T174,T174,Retief Goosen,55,0.26,39,1.0
174,T174,T174,Bill Haas,86,0.26,77,2.0
175,T174,T174,Padraig Harrington,54,0.26,39,1.0
176,T174,T174,Sung Kang,89,0.26,76,2.0
177,T174,T174,Anirban Lahiri,72,0.26,39,1.0
178,179,179,Gary Woodland,95,0.22,92,2.0
179,180,180,Dawie van der Walt,72,0.21,47,1.0
180,181,181,Geoff Ogilvy,63,0.19,54,1.0
181,182,182,Steve Marino,72,0.18,55,1.0
182,183,183,Alex Cejka,71,0.16,62,1.0
183,T184,T184,Keegan Bradley,82,0.0,65,
184,T184,T184,Graeme McDowell,63,0.0,44,
