,2-Putts_per_Round_RANK THIS WEEK,2-Putts_per_Round_RANK LAST WEEK,2-Putts_per_Round_PLAYER NAME,2-Putts_per_Round_ROUNDS,2-Putts_per_Round_AVG,2-Putts_per_Round_TOTAL 2 PUTTS,2-Putts_per_Round_TOTAL ROUNDS
0,1,1,J.J. Henry,68,11.55,762,66
1,2,2,Stewart Cink,61,11.16,681,61
2,3,3,Keegan Bradley,82,11.12,912,82
3,4,4,Robert Allenby,51,11.1,566,51
4,5,5,Brendan Steele,88,11.07,930,84
5,6,6,Jim Furyk,52,11.02,573,52
6,7,7,Bubba Watson,72,10.96,756,69
7,8,8,Thomas Aiken,70,10.95,723,66
8,9,9,Greg Owen,85,10.81,876,81
9,T10,T10,Jason Kokrak,89,10.8,961,89
10,T10,T10,Kevin Streelman,82,10.8,886,82
11,12,12,Brett Stegmaier,87,10.78,916,85
12,T13,T13,Louis Oosthuizen,63,10.77,603,56
13,T13,T13,Robert Streb,87,10.77,905,84
14,15,15,Lucas Glover,75,10.75,806,75
15,16,16,Brendon de Jonge,83,10.74,870,81
16,17,17,Dawie van der Walt,72,10.71,750,70
17,18,18,Roberto Castro,97,10.7,1038,97
18,19,19,John Senden,88,10.67,918,86
19,T20,T20,James Hahn,85,10.66,906,85
20,T20,T20,Scott Pinckney,87,10.66,906,85
21,T20,T20,Johnson Wagner,86,10.66,917,86
22,23,23,Rickie Fowler,80,10.65,820,77
23,T24,T24,Daniel Berger,92,10.64,947,89
24,T24,T24,Shawn Stefani,91,10.64,926,87
25,26,26,Whee Kim,82,10.63,829,78
26,T27,T27,Emiliano Grillo,93,10.62,956,90
27,T27,T27,Kyle Reifers,115,10.62,1179,111
28,T29,T29,Russell Henley,76,10.61,806,76
29,T29,T29,Patrick Rodgers,89,10.61,902,85
30,T31,T31,Jhonattan Vegas,97,10.6,986,93
31,T31,T31,Gary Woodland,95,10.6,965,91
32,T33,T33,Paul Casey,77,10.59,784,74
33,T33,T33,Will MacKenzie,84,10.59,847,80
34,35,35,Kyle Stanley,92,10.58,942,89
35,36,36,Rhein Gibson,58,10.57,571,54
36,T37,T37,Chad Campbell,90,10.56,950,90
37,T37,T37,Graham DeLaet,70,10.56,697,66
38,T37,T37,Carlos Ortiz,79,10.56,792,75
39,T37,T37,Scott Piercy,87,10.56,887,84
40,41,41,Henrik Norlander,71,10.55,707,67
41,42,42,Bill Haas,86,10.54,864,82
42,43,43,Bronson Burgoon,83,10.53,832,79
