,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
0,T1,T1,J.J. Henry,68,"11' 6""",1905.25,166,58,"7"""
1,T1,T1,Brendon Todd,66,"11' 6""",1542.8329999999999,134,81,"7"""
2,3,3,Zach Johnson,90,"11' 4""",2942.833,259,76,"2"""
3,T4,T4,Dicky Pride,55,"11' 2""",1464.75,131,62,1
4,T4,T4,Kyle Reifers,115,"11' 2""",3471.167,311,54,"5"""
5,T4,T4,Steve Stricker,53,"11' 2""",1651.0,148,62,"1"""
6,T7,T7,Robert Allenby,51,"11' 1""",1130.667,102,51,"8"""
7,T7,T7,Ernie Els,66,"11' 1""",1923.8329999999999,174,50,"3"""
8,T7,T7,Colt Knost,90,"11' 1""",2320.583,209,60,"6"""
9,T7,T7,Shane Lowry,57,"11' 1""",1308.75,118,38,"4"""
10,T7,T7,George McNeill,51,"11' 1""",1513.6670000000001,137,46,"7"""
11,T12,T12,Ben Martin,92,"11' 0""",3049.917,277,56,"4"""
12,T12,T12,Kevin Na,96,"11' 0""",2710.417,246,45,"3"""
13,14,14,Scott Pinckney,87,"10' 11""",2592.083,237,64,"3"""
14,T15,T15,Zac Blair,99,"10' 10""",2648.083,244,64,"2"""
15,T15,T15,Peter Malnati,85,"10' 10""",2412.333,223,57,"2"""
16,T17,T17,Luke Guthrie,57,"10' 9""",1605.25,149,54,"5"""
17,T17,T17,Rob Oppenheim,67,"10' 9""",1671.1670000000001,156,43,"9"""
18,T17,T17,John Senden,88,"10' 9""",2829.583,263,57,"1"""
19,T17,T17,Michael Thompson,71,"10' 9""",2056.083,192,67,"3"""
20,21,21,Russell Henley,76,"10' 8""",2450.917,230,54,"1"""
21,22,22,Daniel Summerhays,99,"10' 7""",2914.5,276,46,"5"""
22,T23,T23,Jason Day,76,"10' 6""",2432.0,231,75,"2"""
23,T23,T23,Charles Howell III,91,"10' 6""",2930.083,280,64,"2"""
24,T23,T23,Michael Kim,100,"10' 6""",2908.083,277,55,"2"""
25,T23,T23,William McGirt,98,"10' 6""",3169.583,303,48,"6"""
26,T23,T23,Johnson Wagner,86,"10' 6""",2678.417,256,55,"9"""
27,T23,T23,Mark Wilson,66,"10' 6""",1523.5829999999999,145,62,"6"""
28,T29,T29,K.J. Choi,73,"10' 5""",2292.0,220,57,"1"""
29,T29,T29,Bryce Molder,80,"10' 5""",2195.0,211,48,"5"""
30,31,31,Francesco Molinari,64,"10' 4""",1836.0,177,59,"6"""
31,T32,T32,Harris English,97,"10' 3""",2474.167,241,61,"2"""
32,T32,T32,Andres Gonzales,80,"10' 3""",2171.917,212,61,"3"""
33,T32,T32,Tom Hoge,81,"10' 3""",2088.917,204,63,"5"""
34,T32,T32,Scott Langley,65,"10' 3""",1519.6670000000001,148,64,"4"""
35,T32,T32,Louis Oosthuizen,63,"10' 3""",1422.4170000000001,139,41,"3"""
36,T32,T32,Chez Reavie,90,"10' 3""",2568.917,250,37,"2"""
37,T32,T32,Jordan Spieth,80,"10' 3""",2406.167,234,46,"2"""
38,T32,T32,Chris Stroud,82,"10' 3""",2427.75,236,59,"4"""
39,T32,T32,David Toms,62,"10' 3""",1686.4170000000001,165,44,"2"""
40,T41,T41,Jason Dufner,105,"10' 2""",2769.0,273,47,"1"""
41,T41,T41,Charley Hoffman,91,"10' 2""",2426.833,239,46,"6"""
42,T41,T41,Rod Pampling,54,"10' 2""",1056.5,104,49,"2"""
43,T44,T44,Matt Jones,83,"10' 1""",2024.5,201,58,"2"""
44,T44,T44,Patton Kizzire,93,"10' 1""",2566.583,255,74,"2"""
45,T44,T44,Henrik Norlander,71,"10' 1""",1778.0829999999999,177,65,"2"""
46,T44,T44,Robert Streb,87,"10' 1""",2042.9170000000001,203,54,"5"""
47,T44,T44,Jhonattan Vegas,97,"10' 1""",2889.417,286,53,"1"""
48,T49,T49,Jim Furyk,52,"10' 0""",1325.4170000000001,132,44,"3"""
49,T49,T49,Retief Goosen,55,"10' 0""",1574.5,158,81,"3"""
50,T49,T49,Mark Hubbard,101,"10' 0""",2650.167,266,58,"3"""
51,T49,T49,Freddie Jacobson,86,"10' 0""",2424.167,243,42,"2"""
