,3-Putt_Avoidance_RANK THIS WEEK,3-Putt_Avoidance_RANK LAST WEEK,3-Putt_Avoidance_PLAYER NAME,3-Putt_Avoidance_ROUNDS,3-Putt_Avoidance_%,3-Putt_Avoidance_TOTAL 3 PUTTS,3-Putt_Avoidance_TOTAL HOLES (OVERALL)
0,1,1,Retief Goosen,55,1.41,14,990
1,2,2,Steve Stricker,53,1.57,15,954
2,3,3,Ricky Barnes,97,1.67,28,1674
3,4,4,Erik Compton,65,1.68,19,1134
4,5,5,Kevin Kisner,97,1.77,30,1692
5,6,6,Jason Bohn,67,1.82,22,1206
6,7,7,Ryan Moore,86,1.85,27,1458
7,T8,T8,Brendon de Jonge,83,1.92,28,1458
8,T8,T8,Bryce Molder,80,1.92,27,1404
9,10,10,Spencer Levin,104,1.94,35,1800
10,11,11,Rickie Fowler,80,1.95,27,1386
11,12,12,Adam Hadwin,93,1.97,33,1674
12,13,13,Luke Donald,81,1.99,29,1458
13,14,14,Marc Leishman,89,2.0,31,1548
14,15,15,Jason Day,76,2.01,25,1242
15,16,16,Troy Merritt,77,2.02,28,1386
16,17,17,Daniel Berger,92,2.06,33,1602
17,18,18,Hiroshi Iwata,85,2.07,31,1494
18,19,19,Jon Curran,99,2.08,37,1782
19,20,20,Stuart Appleby,71,2.09,26,1242
20,21,21,Alex Cejka,71,2.16,26,1206
21,22,22,Jordan Spieth,80,2.19,30,1368
22,T23,T23,Colt Knost,90,2.2,34,1548
23,T23,T23,Patrick Reed,105,2.2,40,1818
24,T23,T23,Brendon Todd,66,2.2,25,1134
25,T26,T26,Jonas Blixt,79,2.27,31,1368
26,T26,T26,Billy Hurley III,66,2.27,27,1188
27,28,28,David Hearn,95,2.28,39,1710
28,29,29,Peter Malnati,85,2.29,35,1530
29,30,30,Daniel Summerhays,99,2.3,41,1782
30,31,31,Luke Guthrie,57,2.32,23,990
31,32,32,Freddie Jacobson,86,2.33,36,1548
32,33,33,Roberto Castro,97,2.35,41,1746
33,T34,T34,Andrew Landry,53,2.38,21,882
34,T34,T34,Gary Woodland,95,2.38,39,1638
35,T36,T36,Phil Mickelson,75,2.39,31,1296
36,T36,T36,Vaughn Taylor,72,2.39,31,1296
37,38,38,Si Woo Kim,113,2.4,47,1962
38,T39,T39,Matt Jones,83,2.43,35,1440
39,T39,T39,Chris Stroud,82,2.43,35,1440
40,41,41,Rod Pampling,54,2.44,22,900
41,T42,T42,Kyle Reifers,115,2.45,49,1998
42,T42,T42,Brendan Steele,88,2.45,37,1512
43,44,44,Jim Furyk,52,2.46,23,936
44,45,45,Willy Wilcox,67,2.48,29,1170
45,46,46,William McGirt,98,2.49,44,1764
46,T47,T47,Aaron Baddeley,93,2.5,40,1602
47,T47,T47,Charles Howell III,91,2.5,41,1638
48,T49,T49,K.J. Choi,73,2.51,33,1314
49,T49,T49,Dustin Johnson,87,2.51,37,1476
50,T49,T49,Kevin Na,96,2.51,42,1674
51,52,52,Martin Piller,59,2.53,26,1026
52,T53,T53,Ben Crane,80,2.56,35,1368
53,T53,T53,Russell Henley,76,2.56,35,1368
54,T53,T53,Brandt Snedeker,93,2.56,41,1602
55,56,56,Tony Finau,95,2.57,44,1710
56,57,57,Mark Hubbard,101,2.58,45,1746
57,58,58,Chad Collins,73,2.59,34,1314
58,T59,T59,Derek Fathauer,94,2.6,44,1692
59,T59,T59,Nick Taylor,83,2.6,37,1422
60,61,61,Tim Wilkinson,72,2.61,32,1224
61,62,62,Brian Harman,104,2.62,49,1872
62,63,63,Wes Roach,59,2.63,26,990
63,64,64,Kelly Kraft,63,2.64,28,1062
64,T65,T65,Zach Johnson,90,2.65,41,1548
65,T65,T65,John Senden,88,2.65,41,1548
66,T67,T67,Matt Kuchar,100,2.66,46,1728
67,T67,T67,Bubba Watson,72,2.66,33,1242
68,T69,T69,Padraig Harrington,54,2.67,26,972
69,T69,T69,Seung-Yul Noh,85,2.67,39,1458
70,T71,T71,Patton Kizzire,93,2.68,43,1602
71,T71,T71,Brett Stegmaier,87,2.68,41,1530
72,73,73,Jerry Kelly,76,2.7,37,1368
73,T74,T74,Scott Brown,88,2.71,43,1584
74,T74,T74,Johnson Wagner,86,2.71,42,1548
75,76,76,Anirban Lahiri,72,2.74,34,1242
76,77,77,Zac Blair,99,2.75,47,1710
77,T78,T78,Chad Campbell,90,2.78,45,1620
78,T78,T78,Branden Grace,63,2.78,30,1080
79,T78,T78,Smylie Kaufman,91,2.78,44,1584
80,T78,T78,Michael Kim,100,2.78,48,1728
81,T78,T78,Dawie van der Walt,72,2.78,35,1260
82,T83,T83,Bronson Burgoon,83,2.81,40,1422
83,T83,T83,James Hahn,85,2.81,43,1530
84,T83,T83,John Huh,86,2.81,43,1530
85,T83,T83,Sung Kang,89,2.81,44,1566
86,T83,T83,David Lingmerth,84,2.81,41,1458
87,88,88,Scott Langley,65,2.82,32,1134
88,89,89,D.H. Lee,61,2.83,29,1026
89,90,90,Harris English,97,2.86,50,1746
90,91,91,Carlos Ortiz,79,2.89,39,1350
91,92,92,Martin Laird,82,2.92,41,1404
92,T93,T93,Kevin Chappell,93,2.93,49,1674
93,T93,T93,Sean O'Hair,89,2.93,47,1602
94,T93,T93,Kyle Stanley,92,2.93,47,1602
95,96,96,Scott Stallings,74,2.94,37,1260
96,T97,T97,Francesco Molinari,64,2.95,34,1152
97,T97,T97,Camilo Villegas,83,2.95,42,1422
98,99,99,Henrik Norlander,71,2.99,36,1206
99,T100,T100,Jason Kokrak,89,3.0,48,1602
100,T100,T100,Rob Oppenheim,67,3.0,34,1134
101,T100,T100,Tyrone Van Aswegen,105,3.0,55,1836
102,103,103,Justin Thomas,99,3.01,52,1728
103,T104,T104,Ernie Els,66,3.03,36,1188
104,T104,T104,J.J. Henry,68,3.03,36,1188
105,T106,T106,Bill Haas,86,3.05,45,1476
106,T106,T106,George McNeill,51,3.05,28,918
107,T106,T106,Kevin Streelman,82,3.05,45,1476
108,109,109,Whee Kim,82,3.06,43,1404
109,110,110,Chris Kirk,90,3.07,47,1530
110,111,111,Louis Oosthuizen,63,3.08,31,1008
111,112,112,Vijay Singh,72,3.09,40,1296
112,T113,T113,Lucas Glover,75,3.11,42,1350
113,T113,T113,Geoff Ogilvy,63,3.11,33,1062
114,T113,T113,Brian Stuard,66,3.11,37,1188
115,116,116,Keegan Bradley,82,3.12,46,1476
116,T117,T117,Will MacKenzie,84,3.13,45,1440
117,T117,T117,Shawn Stefani,91,3.13,49,1566
118,119,119,Cameron Smith,73,3.14,39,1242
119,120,120,Hudson Swafford,104,3.15,59,1872
120,121,121,Cameron Tringale,81,3.17,44,1386
121,122,122,Blayne Barber,84,3.19,46,1440
122,T123,T123,Steven Bowditch,71,3.21,41,1278
123,T123,T123,Andres Gonzales,80,3.21,45,1404
124,125,125,Steve Wheatcroft,85,3.22,47,1458
125,T126,T126,Tyler Aldridge,83,3.23,46,1422
126,T126,T126,Paul Casey,77,3.23,43,1332
127,T126,T126,Chesson Hadley,81,3.23,46,1422
128,T126,T126,Mark Wilson,66,3.23,36,1116
129,T130,T130,Sam Saunders,69,3.25,38,1170
130,T130,T130,Jimmy Walker,85,3.25,48,1476
131,132,132,Steve Marino,72,3.27,40,1224
132,T133,T133,Hunter Mahan,61,3.28,36,1098
133,T133,T133,Ben Martin,92,3.28,52,1584
134,135,135,Jamie Lovemark,91,3.3,54,1638
135,T136,T136,Russell Knox,92,3.31,53,1602
136,T136,T136,Scott Piercy,87,3.31,50,1512
137,138,138,Morgan Hoffmann,71,3.32,40,1206
138,T139,T139,Billy Horschel,73,3.33,42,1260
139,T139,T139,Graeme McDowell,63,3.33,36,1080
140,T141,T141,Hideki Matsuyama,76,3.35,44,1314
141,T141,T141,Jhonattan Vegas,97,3.35,56,1674
142,143,143,Abraham Ancer,51,3.36,29,864
143,144,144,Stewart Cink,61,3.37,37,1098
144,145,145,Tom Hoge,81,3.39,47,1386
145,146,146,Emiliano Grillo,93,3.4,55,1620
146,T147,T147,Charley Hoffman,91,3.41,54,1584
147,T147,T147,Boo Weekley,83,3.41,51,1494
148,149,149,Chez Reavie,90,3.42,53,1548
149,150,150,David Toms,62,3.49,39,1116
150,151,151,Jim Herman,93,3.52,59,1674
151,152,152,Andrew Loupe,75,3.56,48,1350
152,T153,T153,Ángel Cabrera,62,3.58,40,1116
153,T153,T153,Adam Scott,79,3.58,49,1368
154,155,155,Fabián Gómez,82,3.59,51,1422
155,T156,T156,Jason Gore,78,3.6,48,1332
156,T156,T156,Shane Lowry,57,3.6,35,972
157,158,158,Ryan Palmer,86,3.62,56,1548
158,159,159,Justin Rose,65,3.67,41,1116
159,T160,T160,Graham DeLaet,70,3.7,44,1188
160,T160,T160,Jason Dufner,105,3.7,68,1836
161,T160,T160,Robert Streb,87,3.7,56,1512
162,T163,T163,Charl Schwartzel,73,3.73,47,1260
163,T163,T163,Webb Simpson,70,3.73,47,1260
164,T165,T165,Thomas Aiken,70,3.79,45,1188
165,T165,T165,Patrick Rodgers,89,3.79,58,1530
166,T167,T167,Robert Allenby,51,3.81,35,918
167,T167,T167,Ken Duke,58,3.81,37,972
168,T167,T167,Sergio Garcia,54,3.81,35,918
169,T167,T167,Brooks Koepka,75,3.81,48,1260
170,T171,T171,Robert Garrigus,69,3.85,45,1170
171,T171,T171,Rory McIlroy,69,3.85,43,1116
172,173,173,Danny Lee,93,3.89,63,1620
173,174,174,Jeff Overton,69,3.93,46,1170
174,T175,T175,J.B. Holmes,77,3.98,53,1332
175,T175,T175,Dicky Pride,55,3.98,38,954
176,T177,T177,Derek Ernst,59,4.0,41,1026
177,T177,T177,Michael Thompson,71,4.0,49,1224
178,179,179,Rhein Gibson,58,4.12,40,972
179,180,180,Scott Pinckney,87,4.18,64,1530
180,181,181,D.A. Points,55,4.25,39,918
181,182,182,Luke List,79,4.33,60,1386
182,183,183,Harold Varner III,92,4.41,73,1656
183,184,184,Greg Owen,85,4.6,67,1458
184,185,185,Rory Sabbatini,57,4.63,45,972
