,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
0,1,1,Dustin Johnson,87,36.58,364,995
1,2,2,Jordan Spieth,80,35.68,309,866
2,3,3,Rory McIlroy,69,35.32,273,773
3,4,4,Jason Day,76,34.7,288,830
4,5,5,Brooks Koepka,75,33.65,283,841
5,6,6,Andrew Loupe,75,33.57,286,852
6,7,7,J.B. Holmes,77,33.45,290,867
7,T8,T8,Hideki Matsuyama,76,33.37,298,893
8,T8,T8,Phil Mickelson,75,33.37,285,854
9,10,10,Jimmy Walker,85,32.91,310,942
10,11,11,Jonas Blixt,79,32.73,273,834
11,12,12,Ryan Palmer,86,32.31,337,1043
12,13,13,Adam Hadwin,93,31.73,350,1103
13,14,14,Daniel Summerhays,99,31.72,355,1119
14,15,15,Sean O'Hair,89,31.63,340,1075
15,16,16,Robert Garrigus,69,31.6,255,807
16,17,17,Luke Guthrie,57,31.56,196,621
17,18,18,Morgan Hoffmann,71,31.54,240,761
18,19,19,Kevin Kisner,97,31.45,346,1100
19,20,20,Matt Kuchar,100,31.43,368,1171
20,21,21,Patrick Reed,105,31.42,361,1149
21,22,22,Michael Thompson,71,31.39,253,806
22,T23,T23,Aaron Baddeley,93,31.21,314,1006
23,T23,T23,Jamie Lovemark,91,31.21,333,1067
24,25,25,Smylie Kaufman,91,31.17,326,1046
25,26,26,Justin Thomas,99,31.1,352,1132
26,27,27,Adam Scott,79,31.06,300,966
27,28,28,Brandt Snedeker,93,30.95,325,1050
28,29,29,Ricky Barnes,97,30.94,340,1099
29,30,30,Kevin Na,96,30.89,345,1117
30,31,31,Tony Finau,95,30.87,343,1111
31,32,32,Wes Roach,59,30.83,193,626
32,33,33,Justin Rose,65,30.78,233,757
33,34,34,Freddie Jacobson,86,30.77,308,1001
34,35,35,Charles Howell III,91,30.75,341,1109
35,36,36,Hudson Swafford,104,30.69,395,1287
36,37,37,Graham DeLaet,70,30.58,248,811
37,38,38,Brian Harman,104,30.53,370,1212
38,39,39,Ben Martin,92,30.51,321,1052
39,T40,T40,Anirban Lahiri,72,30.47,238,781
40,T40,T40,Cameron Tringale,81,30.47,277,909
41,42,42,Si Woo Kim,113,30.44,386,1268
42,43,43,Luke List,79,30.39,282,928
43,44,44,Carlos Ortiz,79,30.38,264,869
44,45,45,Troy Merritt,77,30.28,264,872
45,46,46,Ken Duke,58,30.26,174,575
46,47,47,Derek Fathauer,94,30.25,317,1048
47,48,48,Steve Stricker,53,30.22,181,599
48,49,49,Alex Cejka,71,30.2,247,818
49,50,50,Billy Horschel,73,30.08,256,851
50,51,51,Vaughn Taylor,72,30.06,251,835
51,52,52,Jason Bohn,67,30.04,240,799
52,53,53,Seung-Yul Noh,85,30.0,282,940
53,54,54,Ryan Moore,86,29.99,287,957
54,T55,T55,Danny Lee,93,29.98,310,1034
55,T55,T55,Charl Schwartzel,73,29.98,259,864
56,57,57,Tim Wilkinson,72,29.96,237,791
57,58,58,Patton Kizzire,93,29.94,309,1032
58,59,59,Matt Jones,83,29.92,275,919
59,T60,T60,Emiliano Grillo,93,29.91,332,1110
60,T60,T60,Bubba Watson,72,29.91,256,856
61,T60,T60,Willy Wilcox,67,29.91,221,739
62,63,63,Martin Laird,82,29.89,284,950
63,64,64,David Lingmerth,84,29.88,271,907
64,65,65,Zach Johnson,90,29.86,298,998
65,66,66,Daniel Berger,92,29.82,323,1083
66,67,67,Sergio Garcia,54,29.8,191,641
67,68,68,Fabián Gómez,82,29.76,269,904
68,69,69,Stuart Appleby,71,29.53,225,762
69,70,70,Boo Weekley,83,29.49,299,1014
70,71,71,Rickie Fowler,80,29.41,282,959
71,72,72,Steve Wheatcroft,85,29.37,264,899
72,73,73,Webb Simpson,70,29.33,247,842
73,74,74,Mark Hubbard,101,29.29,324,1106
74,75,75,Michael Kim,100,29.23,318,1088
75,T76,T76,Jason Dufner,105,29.22,376,1287
76,T76,T76,Ernie Els,66,29.22,211,722
77,78,78,Scott Brown,88,29.21,300,1027
78,79,79,Hiroshi Iwata,85,29.2,259,887
79,80,80,Sung Kang,89,29.19,298,1021
80,81,81,Gary Woodland,95,29.18,328,1124
81,82,82,Harold Varner III,92,29.16,319,1094
82,83,83,Ben Crane,80,29.15,253,868
83,84,84,Cameron Smith,73,29.14,227,779
84,85,85,Rory Sabbatini,57,29.12,182,625
85,T86,T86,Steven Bowditch,71,29.11,202,694
86,T86,T86,Hunter Mahan,61,29.11,200,687
87,T88,T88,Lucas Glover,75,29.09,281,966
88,T88,T88,Andres Gonzales,80,29.09,270,928
89,90,90,Graeme McDowell,63,29.06,202,695
90,91,91,Chesson Hadley,81,29.05,269,926
91,92,92,Peter Malnati,85,29.04,275,947
92,93,93,D.A. Points,55,28.98,173,597
93,94,94,Jhonattan Vegas,97,28.95,337,1164
94,T95,T95,Marc Leishman,89,28.94,292,1009
95,T95,T95,Vijay Singh,72,28.94,235,812
96,T95,T95,Chris Stroud,82,28.94,277,957
97,T98,T98,Padraig Harrington,54,28.9,176,609
98,T98,T98,Billy Hurley III,66,28.9,215,744
99,100,100,Retief Goosen,55,28.87,179,620
100,101,101,Kevin Chappell,93,28.83,318,1103
101,T102,T102,Jon Curran,99,28.81,323,1121
102,T102,T102,Kelly Kraft,63,28.81,206,715
103,T104,T104,Kyle Reifers,115,28.8,388,1347
104,T104,T104,Camilo Villegas,83,28.8,254,882
105,T106,T106,Patrick Rodgers,89,28.79,304,1056
106,T106,T106,Nick Taylor,83,28.79,268,931
107,108,108,Jason Kokrak,89,28.78,316,1098
108,109,109,Bryce Molder,80,28.77,246,855
109,110,110,Scott Piercy,87,28.71,290,1010
110,111,111,Sam Saunders,69,28.69,216,753
111,112,112,Harris English,97,28.67,324,1130
112,113,113,Jason Gore,78,28.65,253,883
113,114,114,K.J. Choi,73,28.64,246,859
114,115,115,Paul Casey,77,28.63,270,943
115,116,116,Charley Hoffman,91,28.6,292,1021
116,117,117,Scott Pinckney,87,28.52,300,1052
117,T118,T118,Blayne Barber,84,28.5,273,958
118,T118,T118,William McGirt,98,28.5,338,1186
119,120,120,Spencer Levin,104,28.46,339,1191
120,121,121,Geoff Ogilvy,63,28.44,192,675
