,Average_Putting_Distance_-_GIR_2_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_2_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_2_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_2_Putts_ROUNDS,Average_Putting_Distance_-_GIR_2_Putts_AVG,Average_Putting_Distance_-_GIR_2_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_2_Putts_TOTAL PUTTS
0,1,1,Martin Laird,82,"27' 4""",16268.167,596
1,2,2,Charles Howell III,91,"27' 0""",17703.417,655
2,3,3,Patton Kizzire,93,"26' 11""",16328.333,607
3,T4,T4,Steven Bowditch,71,"26' 10""",9855.583,367
4,T4,T4,Harris English,97,"26' 10""",15654.5,583
5,T4,T4,Sung Kang,89,"26' 10""",16031.333,597
6,T4,T4,Brandt Snedeker,93,"26' 10""",16006.0,597
7,T8,T8,Retief Goosen,55,"26' 8""",10121.5,379
8,T8,T8,Daniel Summerhays,99,"26' 8""",16064.75,602
9,T10,T10,J.J. Henry,68,"26' 6""",14756.167,557
10,T10,T10,Billy Horschel,73,"26' 6""",12702.833,479
11,T10,T10,Jordan Spieth,80,"26' 6""",11697.583,442
12,T13,T13,Zac Blair,99,"26' 5""",16853.667,637
13,T13,T13,Scott Langley,65,"26' 5""",11580.583,439
14,T15,T15,Jamie Lovemark,91,"26' 3""",17062.417,651
15,T15,T15,Steve Wheatcroft,85,"26' 3""",14190.0,541
16,T17,T17,Jon Curran,99,"26' 2""",17014.333,650
17,T17,T17,Jason Day,76,"26' 2""",11281.417,431
18,T17,T17,Matt Kuchar,100,"26' 2""",16593.083,634
19,T17,T17,Patrick Rodgers,89,"26' 2""",16251.0,622
20,T17,T17,John Senden,88,"26' 2""",17904.583,685
21,T17,T17,Mark Wilson,66,"26' 2""",12046.0,461
22,23,23,Rickie Fowler,80,"26' 1""",15393.417,591
23,T24,T24,Stewart Cink,61,"26' 0""",11555.583,444
24,T24,T24,Steve Stricker,53,"26' 0""",9279.667,357
25,26,26,Morgan Hoffmann,71,"25' 11""",11423.417,441
26,T27,T27,Brendon de Jonge,83,"25' 10""",14168.25,549
27,T27,T27,Brian Harman,104,"25' 10""",18411.833,712
28,T27,T27,Kevin Kisner,97,"25' 10""",15520.083,600
29,T27,T27,Andrew Loupe,75,"25' 10""",12664.667,490
30,T27,T27,Shane Lowry,57,"25' 10""",7360.4169999999995,285
31,T32,T32,Aaron Baddeley,93,"25' 9""",14747.667,572
32,T32,T32,Bill Haas,86,"25' 9""",15020.667,584
33,T32,T32,Sean O'Hair,89,"25' 9""",17696.667,687
34,T32,T32,Cameron Smith,73,"25' 9""",9540.5,370
35,36,36,William McGirt,98,"25' 8""",19279.25,752
36,T37,T37,Jonas Blixt,79,"25' 7""",12321.417,481
37,T37,T37,Bronson Burgoon,83,"25' 7""",13742.333,537
38,T37,T37,Paul Casey,77,"25' 7""",13137.833,513
39,T37,T37,Luke Donald,81,"25' 7""",12594.333,493
40,T37,T37,Tony Finau,95,"25' 7""",16340.833,639
41,T37,T37,Sergio Garcia,54,"25' 7""",7051.6669999999995,276
42,T37,T37,Adam Hadwin,93,"25' 7""",18132.667,708
43,T37,T37,James Hahn,85,"25' 7""",14483.0,566
