,Total_3_Putts_-__25_RANK THIS WEEK,Total_3_Putts_-__25_RANK LAST WEEK,Total_3_Putts_-__25_PLAYER NAME,Total_3_Putts_-__25_ROUNDS,Total_3_Putts_-__25_TOTAL 3 PUTTS > 25',Total_3_Putts_-__25_TOTAL 3 PUTTS
0,1,1,Harold Varner III,92,55,67
1,2,2,Tyrone Van Aswegen,105,45,48
2,3,3,Scott Pinckney,87,42,56
3,4,4,Hudson Swafford,104,41,51
4,5,5,Greg Owen,85,40,53
5,6,6,Fabián Gómez,82,39,46
6,T7,T7,Emiliano Grillo,93,38,43
7,T7,T7,Brian Harman,104,38,42
8,T7,T7,Jim Herman,93,38,42
9,T7,T7,Luke List,79,38,48
10,T7,T7,Chez Reavie,90,38,46
11,T12,T12,Kevin Chappell,93,37,44
12,T12,T12,Jason Dufner,105,37,50
13,T12,T12,Michael Kim,100,37,46
14,T12,T12,Sean O'Hair,89,37,46
15,T12,T12,Ryan Palmer,86,37,49
16,T12,T12,Steve Wheatcroft,85,37,45
17,T18,T18,Si Woo Kim,113,36,41
18,T18,T18,Ben Martin,92,36,47
19,T18,T18,Jeff Overton,69,36,44
20,T21,T21,Zac Blair,99,35,43
21,T21,T21,Chad Campbell,90,35,42
22,T21,T21,Kyle Reifers,115,35,43
23,T21,T21,Patrick Rodgers,89,35,46
24,T21,T21,Shawn Stefani,91,35,43
25,T26,T26,J.B. Holmes,77,34,42
26,T26,T26,Russell Knox,92,34,40
27,T26,T26,Jason Kokrak,89,34,40
28,T26,T26,Martin Laird,82,34,40
29,T26,T26,Jamie Lovemark,91,34,45
30,T26,T26,William McGirt,98,34,36
31,T26,T26,Johnson Wagner,86,34,38
32,T26,T26,Boo Weekley,83,34,40
33,T34,T34,Blayne Barber,84,33,45
34,T34,T34,Kyle Stanley,92,33,38
35,T34,T34,Robert Streb,87,33,42
36,T34,T34,Cameron Tringale,81,33,43
37,T38,T38,Andres Gonzales,80,32,38
38,T38,T38,Sung Kang,89,32,35
39,T38,T38,Danny Lee,93,32,45
40,T41,T41,Tyler Aldridge,83,31,36
41,T41,T41,Charles Howell III,91,31,37
42,T41,T41,Mark Hubbard,101,31,40
43,T41,T41,John Huh,86,31,39
44,T41,T41,Chris Kirk,90,31,38
45,T41,T41,Steve Marino,72,31,34
46,T41,T41,Justin Thomas,99,31,38
47,T41,T41,Michael Thompson,71,31,37
48,T41,T41,Mark Wilson,66,31,36
49,T50,T50,Roberto Castro,97,30,35
50,T50,T50,Stewart Cink,61,30,33
51,T50,T50,Graham DeLaet,70,30,38
52,T50,T50,Tony Finau,95,30,38
53,T50,T50,Charley Hoffman,91,30,41
54,T50,T50,Andrew Loupe,75,30,40
55,T56,T56,James Hahn,85,29,35
56,T56,T56,Brendan Steele,88,29,32
57,T56,T56,Brian Stuard,66,29,33
58,T56,T56,Jhonattan Vegas,97,29,46
59,T56,T56,Jimmy Walker,85,29,33
60,T61,T61,Aaron Baddeley,93,28,38
61,T61,T61,Bronson Burgoon,83,28,33
62,T61,T61,Harris English,97,28,33
63,T61,T61,Robert Garrigus,69,28,35
64,T61,T61,Lucas Glover,75,28,33
65,T61,T61,Jason Gore,78,28,37
66,T61,T61,Bill Haas,86,28,34
67,T61,T61,J.J. Henry,68,28,31
68,T61,T61,Spencer Levin,104,28,30
69,T61,T61,Seung-Yul Noh,85,28,34
70,T61,T61,Scott Piercy,87,28,34
71,T61,T61,Adam Scott,79,28,37
72,T61,T61,Gary Woodland,95,28,36
73,T74,T74,Jonas Blixt,79,27,29
74,T74,T74,Freddie Jacobson,86,27,32
75,T74,T74,Patton Kizzire,93,27,32
76,T74,T74,Will MacKenzie,84,27,42
77,T74,T74,John Senden,88,27,35
78,T74,T74,Brett Stegmaier,87,27,36
79,T74,T74,Daniel Summerhays,99,27,33
80,T81,T81,Paul Casey,77,26,28
81,T81,T81,Jon Curran,99,26,33
82,T81,T81,Rhein Gibson,58,26,31
83,T81,T81,Chesson Hadley,81,26,35
84,T81,T81,Morgan Hoffmann,71,26,35
85,T81,T81,Colt Knost,90,26,29
86,T81,T81,Peter Malnati,85,26,29
87,T81,T81,Patrick Reed,105,26,30
88,T81,T81,Charl Schwartzel,73,26,33
89,T81,T81,Nick Taylor,83,26,33
90,T81,T81,Camilo Villegas,83,26,38
91,T92,T92,Keegan Bradley,82,25,34
92,T92,T92,Derek Fathauer,94,25,32
93,T92,T92,Billy Horschel,73,25,32
94,T92,T92,Zach Johnson,90,25,34
95,T92,T92,Brooks Koepka,75,25,33
96,T92,T92,Matt Kuchar,100,25,29
97,T92,T92,Kevin Streelman,82,25,34
98,T99,T99,Steven Bowditch,71,24,36
99,T99,T99,Derek Ernst,59,24,30
100,T99,T99,David Hearn,95,24,35
101,T99,T99,Henrik Norlander,71,24,31
102,T99,T99,Carlos Ortiz,79,24,33
103,T99,T99,Rory Sabbatini,57,24,34
104,T99,T99,Webb Simpson,70,24,37
105,T99,T99,Dawie van der Walt,72,24,29
106,T107,T107,K.J. Choi,73,23,28
107,T107,T107,Chad Collins,73,23,28
108,T107,T107,Brendon de Jonge,83,23,25
109,T107,T107,Ken Duke,58,23,31
110,T107,T107,Russell Henley,76,23,33
111,T107,T107,Smylie Kaufman,91,23,28
112,T107,T107,Troy Merritt,77,23,24
113,T107,T107,Kevin Na,96,23,28
114,T107,T107,Brandt Snedeker,93,23,32
115,T107,T107,Scott Stallings,74,23,31
116,T107,T107,David Toms,62,23,30
117,T118,T118,Adam Hadwin,93,22,31
118,T118,T118,Tom Hoge,81,22,33
119,T118,T118,Jerry Kelly,76,22,28
120,T118,T118,Scott Langley,65,22,26
121,T118,T118,Marc Leishman,89,22,26
122,T118,T118,Hideki Matsuyama,76,22,36
123,T118,T118,Rory McIlroy,69,22,31
124,T118,T118,Vijay Singh,72,22,32
125,T118,T118,Cameron Smith,73,22,25
126,T127,T127,Thomas Aiken,70,21,22
127,T127,T127,Ángel Cabrera,62,21,30
