,3-Putt_Avoidance__25_RANK THIS WEEK,3-Putt_Avoidance__25_RANK LAST WEEK,3-Putt_Avoidance__25_PLAYER NAME,3-Putt_Avoidance__25_ROUNDS,3-Putt_Avoidance__25_%,3-Putt_Avoidance__25_TOTAL 3 PUTTS,3-Putt_Avoidance__25_ATTEMPTS,3-Putt_Avoidance__25_2 PUTT OR BETTER %
0,1,1,Erik Compton,65,3.61,7,194,96.3
1,2,2,Jordan Spieth,80,4.45,11,247,95.5
2,3,3,Andrew Landry,53,4.92,6,122,95.0
3,4,4,Steve Stricker,53,4.98,10,201,95.0
4,5,5,Ricky Barnes,97,5.14,18,350,94.8
5,6,6,Rickie Fowler,80,5.33,16,300,94.6
6,7,7,Daniel Berger,92,5.46,16,293,94.5
7,8,8,Jason Day,76,5.74,14,244,94.2
8,9,9,Retief Goosen,55,5.8,12,207,94.2
9,10,10,Scott Brown,88,5.84,17,291,94.1
10,11,11,Kevin Kisner,97,5.9,19,322,94.1
11,12,12,Adam Hadwin,93,5.91,22,372,94.0
12,13,13,Ryan Moore,86,6.25,17,272,93.7
13,14,14,Luke Donald,81,6.33,15,237,93.6
14,15,15,Bryce Molder,80,6.53,16,245,93.4
15,16,16,Vaughn Taylor,72,6.56,17,259,93.4
16,17,17,Brandt Snedeker,93,6.87,23,335,93.1
17,18,18,David Hearn,95,6.88,24,349,93.1
18,19,19,Phil Mickelson,75,7.02,17,242,92.9
19,20,20,Brendon Todd,66,7.14,15,210,92.8
20,21,21,Billy Hurley III,66,7.17,18,251,92.8
21,22,22,Matt Kuchar,100,7.18,25,348,92.8
22,23,23,John Senden,88,7.3,27,370,92.7
23,24,24,Whee Kim,82,7.34,21,286,92.6
24,25,25,Louis Oosthuizen,63,7.35,15,204,92.6
25,T26,T26,Hiroshi Iwata,85,7.39,19,257,92.6
26,T26,T26,Spencer Levin,104,7.39,28,379,92.6
27,28,28,Jon Curran,99,7.41,26,351,92.5
28,29,29,D.H. Lee,61,7.43,13,175,92.5
29,T30,T30,Brendon de Jonge,83,7.44,23,309,92.5
30,T30,T30,Hunter Mahan,61,7.44,16,215,92.5
31,32,32,Brett Stegmaier,87,7.48,27,361,92.5
32,T33,T33,Alex Cejka,71,7.58,15,198,92.4
33,T33,T33,Matt Jones,83,7.58,20,264,92.4
34,T35,T35,Russell Henley,76,7.59,23,303,92.4
35,T35,T35,Smylie Kaufman,91,7.59,23,303,92.4
36,37,37,Patton Kizzire,93,7.61,27,355,92.3
37,38,38,Chris Stroud,82,7.72,21,272,92.2
38,39,39,Daniel Summerhays,99,7.74,27,349,92.2
39,40,40,Jerry Kelly,76,7.75,22,284,92.2
40,41,41,Jim Furyk,52,7.77,16,206,92.2
41,42,42,Gary Woodland,95,7.78,28,360,92.2
42,43,43,Ben Crane,80,7.81,21,269,92.1
43,44,44,Harris English,97,7.82,28,358,92.1
44,45,45,Kelly Kraft,63,7.87,14,178,92.1
45,T46,T46,Stuart Appleby,71,7.97,20,251,92.0
46,T46,T46,Marc Leishman,89,7.97,22,276,92.0
47,T46,T46,Kyle Reifers,115,7.97,35,439,92.0
48,49,49,Jhonattan Vegas,97,7.99,29,363,92.0
49,50,50,Roberto Castro,97,8.02,30,374,91.9
50,T51,T51,Jason Bohn,67,8.04,18,224,91.9
51,T51,T51,William McGirt,98,8.04,34,423,91.9
52,T51,T51,Martin Piller,59,8.04,16,199,91.9
53,54,54,Charles Howell III,91,8.05,31,385,91.9
54,55,55,Kevin Na,96,8.07,23,285,91.9
55,56,56,Wes Roach,59,8.08,16,198,91.9
56,57,57,Francesco Molinari,64,8.15,19,233,91.8
57,58,58,Colt Knost,90,8.2,26,317,91.8
58,59,59,K.J. Choi,73,8.24,23,279,91.7
59,60,60,David Lingmerth,84,8.26,19,230,91.7
