,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
0,1,1,Si Woo Kim,113,391,711,55.0
1,2,2,Brian Harman,104,351,690,50.9
2,3,3,Jon Curran,99,333,641,52.0
3,4,4,Michael Kim,100,322,627,51.4
4,5,5,Patrick Reed,105,315,590,53.4
5,6,6,Tyrone Van Aswegen,105,314,628,50.0
6,7,7,Kyle Reifers,115,311,645,48.2
7,8,8,Spencer Levin,104,310,568,54.6
8,T9,T9,Derek Fathauer,94,309,574,53.8
9,T9,T9,Chris Kirk,90,309,555,55.7
10,11,11,Zac Blair,99,306,592,51.7
11,12,12,Ricky Barnes,97,304,592,51.4
12,T13,T13,Adam Hadwin,93,303,646,46.9
13,T13,T13,William McGirt,98,303,618,49.0
14,T15,T15,Mark Hubbard,101,298,608,49.0
15,T15,T15,Sean O'Hair,89,298,605,49.3
16,17,17,Aaron Baddeley,93,295,577,51.1
17,18,18,Jamie Lovemark,91,294,596,49.3
18,T19,T19,Roberto Castro,97,290,577,50.3
19,T19,T19,Daniel Summerhays,99,290,586,49.5
20,T19,T19,Gary Woodland,95,290,518,56.0
21,T22,T22,Chad Campbell,90,289,536,53.9
22,T22,T22,Brandt Snedeker,93,289,553,52.3
23,24,24,Matt Kuchar,100,288,570,50.5
24,T25,T25,John Huh,86,286,533,53.7
25,T25,T25,Hudson Swafford,104,286,623,45.9
26,27,27,Stuart Appleby,71,285,521,54.7
27,28,28,Peter Malnati,85,284,560,50.7
28,29,29,Charles Howell III,91,283,535,52.9
29,30,30,Ryan Palmer,86,282,558,50.5
30,31,31,Chez Reavie,90,281,535,52.5
31,32,32,David Hearn,95,280,569,49.2
32,T33,T33,Sung Kang,89,278,528,52.7
33,T33,T33,Bryce Molder,80,278,525,53.0
34,T35,T35,Kevin Chappell,93,277,531,52.2
35,T35,T35,Luke List,79,277,480,57.7
36,37,37,Harold Varner III,92,274,532,51.5
37,T38,T38,Colt Knost,90,273,510,53.5
38,T38,T38,Shawn Stefani,91,273,509,53.6
39,T40,T40,Kyle Stanley,92,272,532,51.1
40,T40,T40,Steve Wheatcroft,85,272,522,52.1
