,GIR_Putting_Avg_-_30-35_RANK THIS WEEK,GIR_Putting_Avg_-_30-35_RANK LAST WEEK,GIR_Putting_Avg_-_30-35_PLAYER NAME,GIR_Putting_Avg_-_30-35_ROUNDS,GIR_Putting_Avg_-_30-35_% MADE,GIR_Putting_Avg_-_30-35_ATTEMPTS,GIR_Putting_Avg_-_30-35_PUTTS MADE
0,1,1,Steven Bowditch,71,1.94,36,7.0
1,2,2,George McNeill,51,1.88,32,6.0
2,3,3,Ben Martin,92,1.43,56,8.0
3,T4,T4,James Hahn,85,1.38,65,9.0
4,T4,T4,Dicky Pride,55,1.38,29,4.0
5,6,6,Danny Lee,93,1.37,51,7.0
6,7,7,Jordan Spieth,80,1.28,39,5.0
7,8,8,Kevin Na,96,1.27,63,8.0
8,9,9,Brooks Koepka,75,1.25,40,5.0
9,10,10,Zach Johnson,90,1.21,58,7.0
10,11,11,Cameron Smith,73,1.19,42,5.0
11,12,12,Kyle Reifers,115,1.18,68,8.0
12,13,13,Chez Reavie,90,1.16,69,8.0
13,14,14,Smylie Kaufman,91,1.09,55,6.0
14,15,15,Thomas Aiken,70,1.06,47,5.0
15,T16,T16,Kevin Kisner,97,1.03,68,7.0
16,T16,T16,D.H. Lee,61,1.03,29,3.0
17,T16,T16,Robert Streb,87,1.03,58,6.0
18,19,19,Fabián Gómez,82,1.02,49,5.0
19,T20,T20,Zac Blair,99,1.0,70,7.0
20,T20,T20,Jason Dufner,105,1.0,60,6.0
21,T20,T20,Francesco Molinari,64,1.0,50,5.0
22,T20,T20,Boo Weekley,83,1.0,40,4.0
23,24,24,Russell Henley,76,0.97,72,7.0
24,25,25,Rob Oppenheim,67,0.95,42,4.0
25,T26,T26,Brendon Todd,66,0.94,32,3.0
26,T26,T26,Gary Woodland,95,0.94,53,5.0
27,T28,T28,Carlos Ortiz,79,0.93,43,4.0
28,T28,T28,John Senden,88,0.93,75,7.0
29,T30,T30,Roberto Castro,97,0.92,76,7.0
30,T30,T30,Spencer Levin,104,0.92,65,6.0
31,T30,T30,Johnson Wagner,86,0.92,87,8.0
32,33,33,Freddie Jacobson,86,0.91,55,5.0
33,T34,T34,Retief Goosen,55,0.89,45,4.0
34,T34,T34,Morgan Hoffmann,71,0.89,45,4.0
35,T34,T34,Hunter Mahan,61,0.89,45,4.0
36,T37,T37,Alex Cejka,71,0.88,34,3.0
37,T37,T37,Harris English,97,0.88,68,6.0
38,T37,T37,John Huh,86,0.88,68,6.0
39,T40,T40,Jason Day,76,0.87,46,4.0
40,T40,T40,Michael Thompson,71,0.87,46,4.0
41,T42,T42,Emiliano Grillo,93,0.85,71,6.0
42,T42,T42,Will MacKenzie,84,0.85,47,4.0
43,T42,T42,Kyle Stanley,92,0.85,59,5.0
44,T45,T45,Hiroshi Iwata,85,0.83,48,4.0
45,T45,T45,Phil Mickelson,75,0.83,48,4.0
46,T47,T47,Tony Finau,95,0.81,74,6.0
47,T47,T47,Steve Stricker,53,0.81,37,3.0
48,T49,T49,Chad Campbell,90,0.8,75,6.0
49,T49,T49,Tim Wilkinson,72,0.8,50,4.0
50,51,51,Si Woo Kim,113,0.79,76,6.0
51,52,52,Kevin Streelman,82,0.78,51,4.0
