,Putting_from_-__25_RANK THIS WEEK,Putting_from_-__25_RANK LAST WEEK,Putting_from_-__25_PLAYER NAME,Putting_from_-__25_ROUNDS,Putting_from_-__25_% MADE,Putting_from_-__25_ATTEMPTS,Putting_from_-__25_PUTTS MADE
0,1,1,Jordan Spieth,80,9.72,247,24
1,2,2,Jason Day,76,9.39,245,23
2,3,3,Dicky Pride,55,9.3,172,16
3,T4,T4,D.A. Points,55,8.86,158,14
4,T4,T4,Daniel Summerhays,99,8.86,350,31
5,6,6,Luke Guthrie,57,8.63,197,17
6,7,7,Ben Martin,92,8.55,351,30
7,8,8,Brooks Koepka,75,8.26,242,20
8,T9,T9,Ernie Els,66,7.98,238,19
9,T9,T9,Michael Thompson,71,7.98,238,19
10,11,11,Michael Kim,100,7.82,371,29
11,12,12,Kyle Reifers,115,7.74,439,34
12,13,13,Boo Weekley,83,7.62,302,23
13,14,14,Chez Reavie,90,7.5,320,24
14,15,15,Kevin Na,96,7.37,285,21
15,16,16,Ryan Moore,86,7.35,272,20
16,17,17,Tim Wilkinson,72,7.32,205,15
17,18,18,Rory McIlroy,69,7.26,179,13
18,19,19,Zach Johnson,90,7.24,290,21
19,20,20,Shane Lowry,57,7.19,167,12
20,21,21,Wes Roach,59,7.04,199,14
21,22,22,Camilo Villegas,83,7.03,313,22
22,23,23,Charles Howell III,91,6.98,387,27
23,24,24,Bubba Watson,72,6.94,216,15
24,25,25,Russell Henley,76,6.93,303,21
25,26,26,Francesco Molinari,64,6.87,233,16
26,27,27,Jason Dufner,105,6.85,321,22
27,28,28,J.B. Holmes,77,6.84,234,16
28,29,29,Robert Garrigus,69,6.73,208,14
29,30,30,Derek Fathauer,94,6.69,284,19
30,31,31,Johnson Wagner,86,6.63,377,25
31,T32,T32,William McGirt,98,6.62,423,28
32,T32,T32,Jimmy Walker,85,6.62,302,20
33,34,34,Colt Knost,90,6.6,318,21
34,T35,T35,Rod Pampling,54,6.43,140,9
35,T35,T35,Adam Scott,79,6.43,249,16
36,37,37,George McNeill,51,6.38,188,12
37,38,38,Tom Hoge,81,6.36,220,14
38,39,39,Jhonattan Vegas,97,6.34,363,23
39,T40,T40,Billy Horschel,73,6.13,261,16
40,T40,T40,Patrick Reed,105,6.13,310,19
41,T40,T40,Sam Saunders,69,6.13,212,13
42,43,43,Brett Stegmaier,87,6.09,361,22
43,44,44,Steven Bowditch,71,6.01,233,14
44,45,45,Stuart Appleby,71,5.98,251,15
45,46,46,Steve Stricker,53,5.97,201,12
46,47,47,John Senden,88,5.95,370,22
47,48,48,Smylie Kaufman,91,5.94,303,18
48,49,49,Kevin Kisner,97,5.9,322,19
49,50,50,Scott Pinckney,87,5.87,358,21
50,51,51,Kevin Streelman,82,5.86,273,16
51,52,52,Harris English,97,5.85,359,21
52,53,53,Will MacKenzie,84,5.84,257,15
53,54,54,Danny Lee,93,5.82,275,16
54,T55,T55,Ken Duke,58,5.81,172,10
55,T55,T55,Mark Wilson,66,5.81,258,15
56,57,57,Jason Gore,78,5.79,259,15
57,58,58,Rob Oppenheim,67,5.74,209,12
58,T59,T59,K.J. Choi,73,5.73,279,16
59,T59,T59,Jim Herman,93,5.73,314,18
60,T59,T59,Matt Kuchar,100,5.73,349,20
61,T62,T62,Ricky Barnes,97,5.71,350,20
62,T62,T62,Rory Sabbatini,57,5.71,175,10
63,T62,T62,Brendon Todd,66,5.71,210,12
64,65,65,Luke List,79,5.7,298,17
65,66,66,Matt Jones,83,5.68,264,15
66,T67,T67,Zac Blair,99,5.65,372,21
67,T67,T67,Robert Streb,87,5.65,301,17
68,69,69,Charley Hoffman,91,5.59,286,16
69,70,70,Billy Hurley III,66,5.58,251,14
70,71,71,Jason Kokrak,89,5.56,360,20
71,72,72,Steve Wheatcroft,85,5.49,328,18
72,73,73,Hudson Swafford,104,5.48,420,23
73,74,74,Daniel Berger,92,5.46,293,16
74,T75,T75,Hiroshi Iwata,85,5.45,257,14
75,T75,T75,Si Woo Kim,113,5.45,404,22
76,77,77,David Hearn,95,5.44,349,19
77,78,78,Emiliano Grillo,93,5.43,350,19
78,79,79,Ángel Cabrera,62,5.42,203,11
79,T80,T80,Aaron Baddeley,93,5.41,314,17
80,T80,T80,Freddie Jacobson,86,5.41,314,17
