,Total_Putting_RANK THIS WEEK,Total_Putting_RANK LAST WEEK,Total_Putting_PLAYER NAME,Total_Putting_EVENTS,Total_Putting_TOTAL
0,1,1,Jason Day,20,27.9
1,2,2,Phil Mickelson,22,49.6
2,3,3,Andrew Landry,18,51.8
3,4,4,Kevin Kisner,27,62.3
4,5,5,Brendon Todd,29,64.0
5,6,6,Bryce Molder,26,68.2
6,7,7,Adam Hadwin,27,74.7
7,8,8,Jordan Spieth,21,76.2
8,9,9,Martin Piller,22,76.3
9,10,10,Jon Curran,30,79.8
10,11,11,Brandt Snedeker,27,80.3
11,12,12,Harris English,27,86.2
12,13,13,Patton Kizzire,27,86.8
13,14,14,Retief Goosen,16,97.7
14,15,15,Hunter Mahan,22,99.9
15,16,16,Matt Kuchar,26,104.3
16,17,17,Daniel Summerhays,28,104.7
17,18,18,Freddie Jacobson,26,106.5
18,19,19,Ryan Moore,23,106.8
19,20,20,Steve Stricker,15,107.4
20,21,21,Brian Harman,31,108.5
21,22,22,Billy Hurley III,20,109.2
22,23,23,Aaron Baddeley,28,115.3
23,24,24,Jonas Blixt,26,115.5
24,25,25,Peter Malnati,32,116.7
25,26,26,Russell Henley,25,118.7
26,27,27,Ricky Barnes,29,120.6
27,28,28,Colt Knost,26,124.3
28,29,29,Marc Leishman,25,125.3
29,30,30,Kelly Kraft,20,125.6
30,31,31,Brendon de Jonge,30,129.5
31,32,32,Zach Johnson,24,130.9
32,33,33,Sean O'Hair,27,131.5
33,34,34,David Hearn,29,134.9
34,35,35,Rickie Fowler,23,135.0
35,36,36,John Senden,28,135.9
36,37,37,D.H. Lee,22,137.3
37,38,38,Erik Compton,24,138.8
38,39,39,Daniel Berger,26,139.8
39,40,40,Luke Guthrie,19,140.7
40,41,41,William McGirt,28,144.6
41,42,42,Dustin Johnson,22,144.8
42,43,43,David Lingmerth,24,149.8
43,44,44,Patrick Reed,28,150.3
44,45,45,Derek Fathauer,30,150.8
45,46,46,Brooks Koepka,21,152.1
46,47,47,Hiroshi Iwata,29,152.5
47,48,48,Stuart Appleby,23,156.8
48,T49,T49,Zac Blair,31,159.8
49,T49,T49,Scott Brown,27,159.8
50,T49,T49,Troy Merritt,26,159.8
51,T52,T52,Ben Crane,27,161.3
52,T52,T52,Seung-Yul Noh,28,161.3
53,54,54,Morgan Hoffmann,25,163.1
54,55,55,Jamie Lovemark,27,163.9
55,56,56,Willy Wilcox,23,165.4
56,57,57,Martin Laird,24,168.6
57,58,58,K.J. Choi,22,169.3
58,59,59,Ernie Els,21,169.8
59,T60,T60,Sung Kang,29,170.8
60,T60,T60,Tim Wilkinson,22,170.8
61,62,62,Jhonattan Vegas,27,170.9
62,63,63,Mark Hubbard,30,171.1
63,T64,T64,Chris Stroud,27,171.8
64,T64,T64,Camilo Villegas,27,171.8
65,66,66,Charles Howell III,25,172.3
66,67,67,Jimmy Walker,25,172.5
67,68,68,Wes Roach,21,173.0
68,69,69,Whee Kim,27,173.9
69,70,70,Spencer Levin,32,174.3
70,71,71,Hudson Swafford,30,174.7
71,72,72,Andrew Loupe,27,174.8
72,73,73,Smylie Kaufman,28,175.3
73,74,74,Louis Oosthuizen,17,175.8
74,75,75,Chris Kirk,28,177.8
75,76,76,Kevin Na,26,179.8
76,77,77,Chad Collins,26,180.8
77,78,78,Michael Kim,29,181.5
78,79,79,Jason Bohn,21,182.1
79,80,80,Luke Donald,23,182.8
80,81,81,Brett Stegmaier,29,183.9
81,82,82,Blayne Barber,27,184.8
82,83,83,Anirban Lahiri,21,185.3
83,84,84,Hideki Matsuyama,23,186.8
84,85,85,Johnson Wagner,26,191.5
85,86,86,Sam Saunders,24,194.3
86,87,87,Ben Martin,28,195.7
87,88,88,Alex Cejka,22,196.6
88,89,89,Bronson Burgoon,27,198.4
89,90,90,Jim Furyk,14,199.2
90,91,91,Branden Grace,18,199.4
91,92,92,Thomas Aiken,23,199.5
92,93,93,Vaughn Taylor,24,199.8
93,94,94,Si Woo Kim,34,200.3
94,95,95,Emiliano Grillo,25,202.5
95,T96,T96,Steve Marino,24,203.2
96,T96,T96,Gary Woodland,26,203.2
97,98,98,Fabián Gómez,26,203.8
98,99,99,Steven Bowditch,26,204.1
99,100,100,David Toms,19,204.8
100,101,101,Billy Horschel,20,208.7
101,102,102,Tony Finau,28,209.2
102,T103,T103,Paul Casey,22,210.0
103,T103,T103,Cameron Tringale,25,210.0
104,105,105,Steve Wheatcroft,26,212.9
105,106,106,Kyle Reifers,34,215.1
106,107,107,Vijay Singh,22,215.4
107,108,108,John Huh,28,216.3
108,109,109,Graeme McDowell,21,221.9
109,110,110,Jerry Kelly,23,223.0
110,111,111,Scott Langley,22,223.7
111,112,112,Andres Gonzales,28,224.2
112,T113,T113,Chesson Hadley,27,224.5
113,T113,T113,Russell Knox,25,224.5
114,115,115,Shane Lowry,17,224.9
115,116,116,Roberto Castro,27,229.3
116,117,117,Cameron Smith,24,230.4
117,118,118,Charley Hoffman,26,231.0
118,119,119,Rob Oppenheim,21,231.5
119,120,120,Danny Lee,28,232.9
120,121,121,Justin Thomas,28,233.3
121,122,122,Jason Gore,27,233.7
122,123,123,Charl Schwartzel,19,234.1
123,124,124,Henrik Norlander,21,235.5
124,125,125,Kyle Stanley,28,235.8
125,126,126,Dawie van der Walt,25,236.5
126,127,127,Scott Pinckney,29,237.1
127,128,128,Ryan Palmer,23,239.7
128,129,129,Tyrone Van Aswegen,31,240.4
129,130,130,Nick Taylor,26,241.9
130,131,131,Patrick Rodgers,28,242.2
131,T132,T132,Tom Hoge,26,242.5
132,T132,T132,Bubba Watson,19,242.5
133,T134,T134,James Hahn,26,243.7
134,T134,T134,Brendan Steele,25,243.7
135,136,136,Bill Haas,24,245.5
136,137,137,Geoff Ogilvy,22,251.2
137,138,138,Brian Stuard,20,252.6
138,139,139,Francesco Molinari,18,254.8
139,140,140,Matt Jones,27,256.1
140,141,141,Tyler Aldridge,28,257.7
141,142,142,Rhein Gibson,20,258.0
142,143,143,Graham DeLaet,21,258.3
143,144,144,Webb Simpson,20,260.8
144,145,145,Scott Stallings,27,265.5
145,146,146,Ángel Cabrera,22,266.6
146,147,147,Lucas Glover,23,268.1
147,148,148,Jason Kokrak,28,270.1
148,149,149,Dicky Pride,21,271.6
149,150,150,Mark Wilson,21,272.6
150,151,151,Carlos Ortiz,29,274.0
151,152,152,J.B. Holmes,22,274.5
152,153,153,Sergio Garcia,15,275.0
153,154,154,J.J. Henry,24,275.4
154,155,155,Scott Piercy,24,276.3
155,156,156,Kevin Streelman,26,276.8
156,157,157,Chad Campbell,28,281.1
157,158,158,Adam Scott,20,283.0
158,159,159,Justin Rose,18,284.1
159,160,160,Robert Allenby,23,284.4
160,161,161,Kevin Chappell,27,284.9
161,162,162,Rod Pampling,18,286.3
162,163,163,Rory McIlroy,18,289.8
163,164,164,Boo Weekley,26,291.8
164,165,165,Luke List,27,295.1
165,166,166,Abraham Ancer,19,295.3
166,167,167,Chez Reavie,27,305.9
167,168,168,Keegan Bradley,26,306.0
