,Spin_Rate_RANK THIS WEEK,Spin_Rate_RANK LAST WEEK,Spin_Rate_PLAYER NAME,Spin_Rate_ROUNDS,Spin_Rate_AVG.,Spin_Rate_TOTAL SPIN SPEED,Spin_Rate_TOTAL ATTEMPTS,Spin_Rate_HIGHEST SPIN RATE,Spin_Rate_LOWEST SPIN RATE
0,1,1,Brendon de Jonge,109,3222.4,286798,89,3937,2051
1,2,2,Nick Watney,80,3108.5,158534,51,3959,2259
2,3,3,Sergio Garcia,61,3069.1,101281,33,3895,2245
3,4,4,Kevin Na,94,3056.4,247569,81,3927,2397
4,5,5,Hudson Swafford,75,3055.1,152756,50,3868,2196
5,6,6,George McNeill,79,3024.5,178445,59,3920,2241
6,7,7,Kevin Tway,64,3015.4,138707,46,3810,2038
7,8,8,Billy Hurley III,86,3009.3,219680,73,3807,2063
8,9,9,Derek Ernst,80,2975.6,154731,52,3726,1652
9,10,10,Ben Martin,80,2953.9,165416,56,3919,2056
10,11,11,Ken Duke,80,2943.9,164856,56,3942,2011
11,12,12,Aaron Baddeley,74,2930.4,161173,55,3803,2058
12,13,13,Brooks Koepka,56,2917.9,107961,37,3677,1822
13,14,14,Pat Perez,84,2915.6,201176,69,3893,1636
14,15,15,John Rollins,84,2905.3,153981,53,3724,2107
15,16,16,Troy Merritt,62,2898.6,171015,59,3771,1983
16,17,17,Gonzalo Fernandez-Castaño,83,2893.2,173593,60,3870,2009
17,18,18,Marc Leishman,81,2891.5,170598,59,3965,2193
18,19,19,Ángel Cabrera,69,2888.2,181957,63,3891,1801
19,20,20,Matt Jones,83,2876.7,192739,67,3572,1785
20,21,21,Rickie Fowler,91,2875.1,161004,56,3975,1680
21,22,22,Michael Thompson,74,2871.1,146424,51,3890,1789
22,23,23,Andrew Svoboda,77,2861.8,208909,73,3720,2040
23,24,24,Luke Guthrie,85,2856.4,228511,80,3997,1984
24,25,25,Michael Putnam,106,2840.6,213046,75,3945,1668
25,26,26,Luke Donald,57,2838.5,113538,40,3625,2295
26,27,27,William McGirt,96,2834.5,235260,83,3729,1773
27,28,28,"Ted Potter, Jr.",68,2828.1,141404,50,3782,2056
28,29,29,John Senden,99,2827.1,251610,89,3792,2227
29,30,30,Kevin Streelman,79,2826.5,146976,52,3664,2272
30,31,31,Lee Westwood,57,2826.0,104561,37,3626,1562
31,32,32,Paul Casey,56,2823.6,104472,37,3884,1786
32,33,33,Geoff Ogilvy,84,2808.7,185374,66,3755,1917
33,34,34,Jonathan Byrd,76,2807.6,179689,64,3522,1991
34,35,35,Jhonattan Vegas,77,2796.5,156604,56,3966,1582
35,36,36,Adam Scott,68,2778.8,122269,44,3914,2043
36,37,37,Freddie Jacobson,91,2771.4,191228,69,3932,1556
37,38,38,James Driscoll,71,2770.8,132998,48,3989,1908
38,39,39,Harris English,95,2768.8,160591,58,3792,2028
39,40,40,Briny Baird,50,2768.1,102419,37,3867,2102
40,41,41,Jim Furyk,84,2767.1,188162,68,3531,2070
41,42,42,Bryce Molder,77,2763.9,174126,63,3985,1648
42,43,43,Sangmoon Bae,76,2754.4,151490,55,3736,1879
43,44,44,Roberto Castro,76,2754.2,154234,56,3677,1983
44,45,45,Andrew Loupe,65,2745.8,115324,42,3507,1578
45,46,46,Bronson La'Cassie,51,2743.4,93277,34,3534,2100
46,47,47,Henrik Stenson,56,2738.5,57508,21,3244,2138
47,48,48,Gary Woodland,93,2737.8,145106,53,3877,1827
48,49,49,Stewart Cink,91,2737.6,172468,63,3436,1893
49,50,50,Ricky Barnes,92,2737.1,197074,72,3856,1789
50,51,51,Charl Schwartzel,64,2730.3,136515,50,3802,1902
51,52,52,Patrick Reed,92,2722.1,160604,59,3638,1529
52,53,53,John Peterson,62,2718.5,146799,54,3781,1823
53,54,54,Boo Weekley,73,2717.7,144038,53,3510,2037
54,55,55,Matt Every,85,2708.6,167933,62,3778,1689
55,56,56,Willy Wilcox,51,2708.4,105626,39,3609,1979
56,57,57,Daniel Summerhays,98,2708.0,249133,92,3515,1712
57,58,58,J.J. Henry,91,2706.8,192180,71,3309,1980
58,59,59,Charlie Beljan,76,2706.3,154260,57,3928,1837
59,60,60,Bill Haas,107,2705.8,213762,79,3500,1522
60,61,61,Jimmy Walker,98,2704.5,167680,62,3919,1700
61,62,62,Ryan Moore,86,2696.9,148327,55,3961,1766
62,63,63,Kevin Kisner,85,2688.8,190905,71,3990,1777
63,64,64,Greg Chalmers,85,2686.3,196103,73,3937,1767
64,65,65,Jason Bohn,81,2683.9,198609,74,3563,1540
65,66,66,Mike Weir,69,2680.5,144749,54,3702,1875
66,67,67,Kevin Stadler,90,2679.9,133996,50,4600,2031
67,68,68,Hideki Matsuyama,82,2677.1,120469,45,3949,1873
68,69,69,Graeme McDowell,66,2675.6,107022,40,3496,2050
69,70,70,Josh Teater,90,2671.8,208404,78,3792,1800
70,71,71,Kevin Chappell,100,2668.7,232179,87,3709,1537
71,72,72,Ian Poulter,57,2664.5,103916,39,3858,1889
72,73,73,Trevor Immelman,84,2663.4,154480,58,3456,1710
73,74,74,Danny Lee,84,2662.8,138468,52,7271,1978
74,75,75,Robert Streb,75,2659.7,167559,63,3893,1892
75,76,76,David Lingmerth,80,2657.8,159466,60,3786,1504
76,77,77,Jim Herman,62,2655.3,100902,38,3886,1745
77,78,78,Stuart Appleby,92,2655.1,207097,78,4761,1521
78,79,79,Richard Lee,80,2653.6,177793,67,3393,1885
79,80,80,Cameron Tringale,111,2652.3,262573,99,3942,1541
80,81,81,Brian Stuard,91,2645.5,206346,78,3933,2140
81,82,82,Martin Kaymer,65,2636.9,129207,49,3642,1791
82,83,83,Bubba Watson,76,2636.5,108098,41,3884,1816
83,84,84,Brad Fritsch,50,2633.3,86898,33,3287,2132
84,85,85,Chad Collins,78,2623.6,141677,54,3548,1644
85,86,86,Woody Austin,63,2618.4,136155,52,3912,1699
86,87,87,James Hahn,82,2617.2,170117,65,3949,1770
