,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
0,1,1,Justin Hicks,30,"17' 10""",5728.6669999999995,321
1,2,2,Heath Slocum,23,"18' 9""",4154.583,222
2,3,3,Jim Furyk,21,"19' 7""",4982.5,254
3,4,4,Tim Clark,26,"19' 11""",4259.25,214
4,5,5,Billy Hurley III,26,"20' 0""",5691.6669999999995,284
5,6,6,Boo Weekley,24,"20' 1""",4722.083,235
6,7,7,David Toms,20,"20' 3""",3767.833,186
7,8,8,Jason Dufner,17,"20' 4""",4274.167,210
8,9,9,Zach Johnson,26,"20' 11""",7014.25,336
9,10,10,Brendon Todd,29,"21' 0""",9350.083,445
10,11,11,Ryan Moore,24,"21' 1""",5316.75,252
11,12,12,Kevin Streelman,24,"21' 2""",5224.583,247
12,13,13,Daniel Summerhays,27,"21' 4""",8333.75,390
13,14,14,Ken Duke,25,"21' 5""",5632.3330000000005,263
14,15,15,Russell Knox,26,"21' 6""",7762.0830000000005,361
15,T16,T16,Scott Langley,29,"21' 8""",9073.5,419
16,T16,T16,Jeff Maggert,19,"21' 8""",4313.583,199
17,T16,T16,Brian Stuard,29,"21' 8""",7353.25,340
18,19,19,Justin Leonard,22,"21' 10""",6623.75,303
19,20,20,Kevin Stadler,26,"21' 11""",6363.6669999999995,290
20,21,21,Nicholas Thompson,30,"22' 0""",6610.4169999999995,301
21,22,22,"Ted Potter, Jr.",24,"22' 1""",5555.75,252
22,23,23,Graeme McDowell,17,"22' 2""",4256.417,192
23,T24,T24,Chad Campbell,18,"22' 3""",4935.167,222
24,T24,T24,Jerry Kelly,23,"22' 3""",6731.3330000000005,303
25,T26,T26,Brian Davis,28,"22' 5""",7888.5,352
26,T26,T26,D.H. Lee,20,"22' 5""",4510.5,201
27,28,28,Spencer Levin,20,"22' 6""",5536.1669999999995,246
28,29,29,Brian Gay,26,"22' 10""",7320.1669999999995,321
29,30,30,John Merrick,25,"23' 0""",6842.4169999999995,298
30,T31,T31,Sangmoon Bae,24,"23' 3""",7792.6669999999995,335
31,T31,T31,Brandt Snedeker,25,"23' 3""",7203.1669999999995,310
32,33,33,Nick Watney,25,"23' 4""",6239.3330000000005,267
33,T34,T34,Billy Horschel,27,"23' 5""",7092.4169999999995,303
34,T34,T34,John Huh,28,"23' 5""",7062.5830000000005,302
35,36,36,William McGirt,29,"23' 6""",9150.167,390
36,T37,T37,Hunter Mahan,25,"23' 7""",7804.9169999999995,331
37,T37,T37,Chris Stroud,25,"23' 7""",8242.417,349
38,39,39,Kevin Na,27,"23' 8""",8796.917,372
39,T40,T40,Scott Brown,30,"23' 10""",8786.083,369
40,T40,T40,Brian Harman,32,"23' 10""",12328.667,517
41,T42,T42,Derek Ernst,28,"23' 11""",7099.5830000000005,297
42,T42,T42,Rory McIlroy,17,"23' 11""",5976.5,250
43,T42,T42,John Peterson,25,"23' 11""",6196.3330000000005,259
44,45,45,Brendon de Jonge,31,"24' 0""",9589.083,399
45,T46,T46,Jason Bohn,25,"24' 1""",8233.583,342
46,T46,T46,Danny Lee,28,"24' 1""",7752.5,322
47,48,48,Ben Curtis,24,"24' 2""",7144.75,296
48,49,49,Matt Kuchar,24,"24' 3""",8163.6669999999995,337
49,T50,T50,K.J. Choi,23,"24' 6""",7449.0830000000005,304
50,T50,T50,Josh Teater,28,"24' 6""",9469.25,386
51,T52,T52,Stuart Appleby,29,"24' 7""",10858.833,442
52,T52,T52,Ben Martin,26,"24' 7""",7227.4169999999995,294
53,T52,T52,Mark Wilson,25,"24' 7""",6340.25,258
54,T55,T55,Martin Kaymer,19,"24' 8""",5925.6669999999995,240
55,T55,T55,Bronson La'Cassie,18,"24' 8""",4933.667,200
56,T55,T55,Hideki Matsuyama,24,"24' 8""",8288.5,336
57,T55,T55,John Senden,27,"24' 8""",9536.667,386
58,59,59,Carl Pettersson,28,"24' 9""",11248.167,454
59,60,60,Andrew Svoboda,24,"24' 11""",7552.4169999999995,303
60,61,61,Woody Austin,22,"25' 0""",7428.1669999999995,297
61,62,62,Cameron Tringale,31,"25' 1""",11711.167,467
62,63,63,Y.E. Yang,28,"25' 2""",7161.6669999999995,285
63,64,64,Chesson Hadley,29,"25' 3""",9871.5,391
64,T65,T65,Ben Crane,25,"25' 5""",8808.833,347
65,T65,T65,Chris Kirk,28,"25' 5""",11193.167,440
66,67,67,Justin Rose,19,"25' 6""",7476.0830000000005,293
67,68,68,Ryan Palmer,23,"25' 7""",9243.333,361
68,T69,T69,Chad Collins,28,"25' 8""",8525.667,332
69,T69,T69,Lucas Glover,26,"25' 8""",5615.75,219
70,71,71,Keegan Bradley,26,"25' 9""",8470.083,329
71,T72,T72,Kyle Stanley,28,"25' 10""",9144.083,354
72,T72,T72,Tim Wilkinson,25,"25' 10""",10414.833,403
73,74,74,Wes Roach,22,"25' 11""",6664.6669999999995,257
74,T75,T75,Louis Oosthuizen,16,"26' 0""",4035.083,155
75,T75,T75,Ian Poulter,17,"26' 0""",5671.8330000000005,218
76,T75,T75,Charl Schwartzel,18,"26' 0""",7463.0,287
77,78,78,Richard Lee,27,"26' 1""",8358.25,320
78,T79,T79,Briny Baird,17,"26' 2""",5734.4169999999995,219
79,T79,T79,Russell Henley,29,"26' 2""",9077.833,347
80,T81,T81,J.J. Henry,28,"26' 3""",9898.333,377
81,T81,T81,Will MacKenzie,27,"26' 3""",9165.25,349
82,T81,T81,George McNeill,24,"26' 3""",9135.333,348
83,T81,T81,Troy Merritt,20,"26' 3""",7016.0,267
84,T85,T85,Bryce Molder,25,"26' 4""",9176.417,348
85,T85,T85,Geoff Ogilvy,26,"26' 4""",10640.083,404
86,87,87,Charlie Wi,25,"26' 5""",9511.25,360
87,88,88,Brendan Steele,26,"26' 7""",10425.417,392
88,T89,T89,Webb Simpson,25,"26' 8""",9640.417,362
89,T89,T89,Shawn Stefani,17,"26' 8""",7194.5,270
90,T89,T89,Hudson Swafford,26,"26' 8""",7583.0830000000005,284
91,T92,T92,Jim Herman,21,"26' 9""",6574.3330000000005,246
92,T92,T92,Jordan Spieth,27,"26' 9""",11780.333,441
93,T92,T92,Willy Wilcox,16,"26' 9""",5668.1669999999995,212
94,T95,T95,Greg Chalmers,27,"26' 10""",11015.75,411
95,T95,T95,Jeff Overton,24,"26' 10""",9974.917,372
96,T95,T95,D.A. Points,27,"26' 10""",7504.5830000000005,280
97,T95,T95,Michael Putnam,30,"26' 10""",12283.75,458
98,T99,T99,James Hahn,27,"26' 11""",10078.5,375
99,T99,T99,Pat Perez,25,"26' 11""",10321.75,384
100,101,101,Marc Leishman,24,"27' 0""",10272.083,381
101,102,102,David Hearn,28,"27' 1""",9662.167,357
102,T103,T103,Charley Hoffman,25,"27' 2""",10952.5,403
103,T103,T103,Lee Westwood,18,"27' 2""",6004.75,221
104,T105,T105,Tommy Gainey,26,"27' 3""",8973.833,329
105,T105,T105,Trevor Immelman,28,"27' 3""",10075.083,370
106,T105,T105,John Rollins,28,"27' 3""",9720.333,357
107,108,108,Jonathan Byrd,24,"27' 4""",9233.667,338
108,109,109,David Lingmerth,26,"27' 5""",9917.833,362
109,110,110,Kevin Chappell,28,"27' 6""",10883.917,396
110,T111,T111,Ricky Barnes,27,"27' 7""",13145.333,477
111,T111,T111,Luke Guthrie,26,"27' 7""",11550.917,419
112,T111,T111,Adam Scott,17,"27' 7""",7781.9169999999995,282
113,114,114,Freddie Jacobson,27,"27' 10""",12189.25,438
114,115,115,Bill Haas,28,"27' 11""",11391.917,408
115,T116,T116,Brice Garnett,28,"28' 0""",11982.25,428
116,T116,T116,Johnson Wagner,24,"28' 0""",8988.583,321
117,T116,T116,Bubba Watson,21,"28' 0""",7889.0830000000005,282
118,119,119,Bo Van Pelt,25,"28' 1""",9115.167,325
119,120,120,Davis Love III,22,"28' 3""",9893.167,350
120,T121,T121,Rory Sabbatini,26,"28' 4""",11063.333,391
121,T121,T121,Henrik Stenson,15,"28' 4""",4193.0,148
122,T123,T123,Paul Casey,16,"28' 5""",6739.8330000000005,237
123,T123,T123,Luke Donald,17,"28' 5""",6275.5,221
124,T123,T123,Michael Thompson,22,"28' 5""",8634.083,304
125,T126,T126,Vijay Singh,25,"28' 6""",11296.0,396
126,T126,T126,Robert Streb,21,"28' 6""",9757.417,342
127,T128,T128,Ángel Cabrera,23,"28' 7""",9496.667,332
128,T128,T128,Matt Jones,25,"28' 7""",9509.417,333
129,T130,T130,Graham DeLaet,24,"28' 8""",9270.917,323
130,T130,T130,Kevin Kisner,26,"28' 8""",10284.833,359
131,132,132,Sergio Garcia,16,"28' 9""",5833.4169999999995,203
132,133,133,Roberto Castro,27,"28' 10""",8631.167,299
133,T134,T134,Harris English,28,"29' 0""",11419.0,394
134,T134,T134,Patrick Reed,28,"29' 0""",12977.083,447
135,136,136,Charles Howell III,29,"29' 1""",17646.25,607
136,T137,T137,Ernie Els,24,"29' 2""",11344.5,389
137,T137,T137,Gary Woodland,25,"29' 2""",11307.083,388
138,139,139,Mike Weir,25,"29' 3""",9955.25,340
139,T140,T140,Gonzalo Fernandez-Castaño,25,"29' 4""",10845.667,370
140,T140,T140,Jim Renner,25,"29' 4""",8952.917,305
141,T142,T142,Charlie Beljan,26,"29' 5""",10761.333,366
142,T142,T142,Jason Day,15,"29' 5""",5626.5,191
143,T142,T142,Retief Goosen,26,"29' 5""",13248.25,451
144,T145,T145,Robert Allenby,29,"29' 6""",10519.167,357
145,T145,T145,Robert Garrigus,25,"29' 6""",11604.75,393
146,T147,T147,Martin Flores,26,"29' 7""",11753.5,397
147,T147,T147,Jason Kokrak,19,"29' 7""",10365.5,350
148,149,149,Phil Mickelson,21,"29' 8""",8218.833,277
149,150,150,Martin Laird,20,"29' 9""",8460.5,284
150,151,151,James Driscoll,25,"29' 10""",11110.167,372
151,T152,T152,Kevin Tway,23,"29' 11""",7815.3330000000005,261
152,T152,T152,Camilo Villegas,29,"29' 11""",13238.917,443
153,154,154,Jhonattan Vegas,23,"30' 0""",9759.25,325
154,155,155,Scott Stallings,28,"30' 2""",11001.0,365
155,156,156,Jonas Blixt,21,"30' 3""",7497.25,248
156,157,157,Erik Compton,28,"30' 4""",12542.75,413
157,T158,T158,Bud Cauley,19,"30' 5""",7777.75,256
158,T158,T158,Brad Fritsch,18,"30' 5""",6543.6669999999995,215
159,160,160,Seung-Yul Noh,27,"31' 4""",13616.0,434
160,161,161,Brooks Koepka,16,"31' 5""",7440.4169999999995,237
161,162,162,Stewart Cink,25,"31' 6""",12431.083,395
162,T163,T163,Rickie Fowler,26,"31' 7""",9844.417,312
163,T163,T163,Dustin Johnson,17,"31' 7""",7067.0,224
164,165,165,Sean O'Hair,25,"31' 8""",12644.917,399
165,166,166,Matt Every,26,"32' 0""",11595.833,362
166,167,167,Morgan Hoffmann,32,"32' 1""",17476.75,545
167,168,168,Jimmy Walker,27,"32' 5""",15263.417,471
168,169,169,J.B. Holmes,24,"32' 6""",14505.5,446
169,170,170,Steven Bowditch,30,"32' 7""",14739.167,452
170,171,171,Troy Matteson,23,"32' 8""",9599.417,294
171,T172,T172,Ryo Ishikawa,24,"33' 0""",13362.25,405
172,T172,T172,Andres Romero,26,"33' 0""",13838.583,419
173,174,174,Jamie Lovemark,20,"34' 1""",9279.25,272
174,175,175,Tyrone Van Aswegen,25,"35' 9""",14145.75,396
175,176,176,Andrew Loupe,22,"36' 4""",11761.583,324
176,177,177,Aaron Baddeley,24,"36' 7""",12939.333,354
