,Driving_Pct._280-300_All_Drives_RANK THIS WEEK,Driving_Pct._280-300_All_Drives_RANK LAST WEEK,Driving_Pct._280-300_All_Drives_PLAYER NAME,Driving_Pct._280-300_All_Drives_ROUNDS,Driving_Pct._280-300_All_Drives_%,Driving_Pct._280-300_All_Drives_TOTAL DRIVES FOR 280-300,Driving_Pct._280-300_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._280-300_All_Drives_RELATIVE TO PAR
0,1,1,Ian Poulter,57,38.33,220,574,-0.059
1,2,2,Luke Guthrie,85,38.24,405,1059,-0.099
2,3,3,Lee Westwood,57,37.71,227,602,-0.106
3,4,4,Hunter Mahan,88,37.7,380,1008,-0.053
4,5,5,John Peterson,62,37.68,289,767,-0.042
5,6,6,Ernie Els,85,37.5,330,880,-0.030
6,7,7,Russell Henley,92,37.48,395,1054,+0.015
7,8,8,Brendon de Jonge,109,36.92,474,1284,-0.080
8,9,9,Matt Jones,83,36.87,309,838,+0.016
9,10,10,Bill Haas,107,36.47,418,1146,-0.074
10,T11,T11,Roberto Castro,76,36.37,299,822,-0.054
11,T11,T11,David Lingmerth,80,36.37,339,932,+0.032
12,13,13,Vijay Singh,83,36.35,386,1062,-0.008
13,14,14,Webb Simpson,87,36.29,376,1036,-0.101
14,15,15,Jeff Overton,80,35.87,330,920,-0.064
15,16,16,Rory Sabbatini,82,35.84,324,904,E
16,17,17,Geoff Ogilvy,84,35.82,365,1019,+0.008
17,18,18,Will MacKenzie,82,35.63,362,1016,-0.025
18,19,19,Brian Harman,111,35.58,501,1408,-0.068
19,20,20,Josh Teater,90,35.25,368,1044,+0.027
20,T21,T21,Danny Lee,84,35.2,339,963,-0.088
21,T21,T21,John Senden,99,35.2,397,1128,-0.088
22,23,23,Billy Horschel,92,35.02,339,968,+0.009
23,24,24,Jim Renner,61,34.99,254,726,+0.047
24,25,25,Scott Brown,100,34.94,406,1162,-0.059
25,26,26,Matt Every,85,34.85,315,904,-0.051
26,27,27,Rickie Fowler,91,34.64,300,866,-0.100
27,28,28,Nicholas Thompson,85,34.5,336,974,-0.024
28,29,29,Andrew Svoboda,77,34.38,317,922,-0.041
29,30,30,Carl Pettersson,91,34.35,407,1185,+0.027
30,31,31,Chad Campbell,57,34.27,220,642,-0.109
31,32,32,Troy Merritt,62,34.2,263,769,-0.023
32,33,33,Ryan Moore,86,34.17,298,872,-0.117
33,34,34,Boo Weekley,73,34.14,268,785,-0.015
34,35,35,Chris Kirk,105,34.02,411,1208,-0.090
35,36,36,Phil Mickelson,71,33.86,237,700,-0.105
36,37,37,Morgan Hoffmann,103,33.78,424,1255,+0.005
37,38,38,Richard Lee,80,33.73,287,851,-0.010
38,39,39,Shawn Stefani,60,33.71,269,798,-0.048
39,40,40,Kevin Chappell,100,33.69,409,1214,-0.039
40,41,41,Ben Martin,80,33.56,295,879,-0.014
41,42,42,Sangmoon Bae,76,33.55,305,909,-0.102
42,43,43,Hideki Matsuyama,82,33.48,300,896,-0.057
43,44,44,Jordan Spieth,102,33.45,370,1106,-0.059
44,45,45,Bud Cauley,56,33.44,215,643,-0.070
45,46,46,Bronson La'Cassie,51,33.4,168,503,-0.042
46,47,47,Sergio Garcia,61,33.39,187,560,-0.080
47,T48,T48,Erik Compton,88,33.33,348,1044,-0.078
48,T48,T48,Y.E. Yang,79,33.33,283,849,+0.018
49,50,50,John Rollins,84,33.26,311,935,-0.077
50,51,51,Gonzalo Fernandez-Castaño,83,33.23,321,966,-0.019
51,52,52,Kevin Kisner,85,32.99,322,976,-0.078
52,53,53,Martin Laird,66,32.9,254,772,-0.055
53,54,54,Matt Kuchar,91,32.8,349,1064,-0.166
