,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
0,1,1,Bubba Watson,76,66.17,239169.2,361425
1,2,2,Dustin Johnson,58,65.74,172636.6,262597
2,3,3,Jamie Lovemark,64,65.21,194862.8,298804
3,4,4,Andrew Loupe,65,65.14,206956.1,317719
4,5,5,Rory McIlroy,66,65.04,202488.4,311316
5,6,6,Charles Howell III,106,64.42,390225.7,605711
6,7,7,J.B. Holmes,86,64.18,318362.2,496030
7,8,8,Charlie Beljan,76,63.93,271939.3,425366
8,9,9,Ryan Palmer,85,63.89,273523.1,428092
9,10,10,Ángel Cabrera,69,63.88,249409.2,390446
10,11,11,Brooks Koepka,56,63.86,170157.7,266474
11,12,12,Jason Day,54,63.78,135992.0,213236
12,13,13,Jimmy Walker,98,63.75,300154.9,470795
13,14,14,Jhonattan Vegas,77,63.73,260456.7,408668
14,15,15,Adam Scott,68,63.68,230419.8,361860
15,16,16,Sean O'Hair,77,63.56,270096.3,424948
16,17,17,Steven Bowditch,93,63.53,315943.7,497290
17,18,18,Gary Woodland,93,63.48,299739.9,472159
18,19,19,Robert Garrigus,80,63.45,294753.5,464564
19,20,20,Charley Hoffman,93,63.41,307181.5,484462
20,21,21,Morgan Hoffmann,103,63.37,364036.7,574465
21,22,22,Harris English,95,63.35,297846.3,470174
22,23,23,Robert Streb,75,63.31,259409.7,409746
23,24,24,Graham DeLaet,80,63.28,259043.9,409384
24,25,25,Louis Oosthuizen,50,63.23,121797.9,192639
25,26,26,Jason Kokrak,65,63.22,245028.2,387580
26,27,27,Willy Wilcox,51,63.18,160477.7,253981
27,28,28,Troy Matteson,62,63.15,196432.1,311057
28,29,29,Bud Cauley,56,63.12,183775.3,291158
29,30,30,Matt Jones,83,63.08,242439.2,384323
30,31,31,Kyle Stanley,87,63.03,288796.4,458219
31,32,32,Carl Pettersson,91,63.01,340211.7,539914
32,33,33,Keegan Bradley,89,62.96,271029.9,430491
33,T34,T34,Tommy Gainey,73,62.88,237994.3,378493
34,T34,T34,Lucas Glover,68,62.88,187959.6,298900
35,36,36,Rickie Fowler,91,62.85,251376.7,399976
36,37,37,Charl Schwartzel,64,62.84,218084.6,347050
37,38,38,Kevin Stadler,90,62.8,260000.3,413982
38,39,39,Derek Ernst,80,62.75,252925.1,403063
39,40,40,Martin Kaymer,65,62.73,193370.7,308275
40,41,41,Kevin Tway,64,62.71,187154.2,298457
41,T42,T42,Jim Herman,62,62.69,191331.3,305179
42,T42,T42,Hunter Mahan,88,62.69,291855.0,465574
43,44,44,Scott Stallings,77,62.63,253284.5,404443
44,45,45,Brendan Steele,89,62.62,281991.8,450333
45,46,46,Martin Laird,66,62.59,221575.5,353988
46,47,47,Patrick Reed,92,62.54,296709.2,474433
47,48,48,Hudson Swafford,75,62.53,230429.8,368536
48,49,49,Andres Romero,81,62.51,286993.5,459116
49,50,50,Russell Henley,92,62.47,301695.3,482908
50,51,51,Shawn Stefani,60,62.45,227768.6,364730
51,52,52,John Peterson,62,62.44,217746.3,348719
52,53,53,Seung-Yul Noh,92,62.43,299475.4,479717
53,54,54,Sergio Garcia,61,62.41,160588.9,257327
54,T55,T55,Marc Leishman,81,62.39,275300.4,441248
55,T55,T55,Josh Teater,90,62.39,297435.6,476747
56,57,57,Vijay Singh,83,62.32,301586.8,483969
57,58,58,Ernie Els,85,62.27,252904.5,406167
58,59,59,Brad Fritsch,50,62.24,153683.2,246939
59,60,60,Kevin Chappell,100,62.23,346659.8,557065
60,61,61,Phil Mickelson,71,62.22,201725.9,324228
61,T62,T62,Wes Roach,67,62.21,196749.3,316248
62,T62,T62,Boo Weekley,73,62.21,221167.1,355530
63,64,64,Hideki Matsuyama,82,62.2,257142.7,413394
64,65,65,Rory Sabbatini,82,62.18,256996.3,413317
65,66,66,Billy Horschel,92,62.16,276922.0,445522
66,67,67,Ryo Ishikawa,75,62.14,244902.5,394102
67,T68,T68,Davis Love III,74,62.1,249083.6,401101
68,T68,T68,Jordan Spieth,102,62.1,316035.6,508896
69,70,70,Justin Rose,70,62.09,209340.5,337140
70,71,71,Brian Harman,111,62.08,398322.9,641627
71,72,72,Nick Watney,80,62.07,222990.0,359279
72,T73,T73,Bill Haas,107,62.01,328345.3,529462
73,T73,T73,Geoff Ogilvy,84,62.01,290352.0,468231
74,T73,T73,Jeff Overton,80,62.01,259605.7,418663
75,T73,T73,Kevin Streelman,79,62.01,239176.5,385722
76,77,77,Camilo Villegas,95,61.94,330595.3,533770
77,78,78,Henrik Stenson,56,61.92,152382.9,246107
78,79,79,Martin Flores,85,61.87,268657.8,434254
79,80,80,Brice Garnett,92,61.85,305379.7,493776
80,81,81,Chris Kirk,105,61.83,340986.7,551510
81,82,82,J.J. Henry,91,61.81,306211.5,495420
82,83,83,John Senden,99,61.78,318116.7,514936
83,84,84,David Lingmerth,80,61.75,263667.3,426997
84,85,85,Troy Merritt,62,61.74,215593.8,349210
85,86,86,John Rollins,84,61.72,262886.0,425931
86,T87,T87,Sangmoon Bae,76,61.7,256643.3,415948
87,T87,T87,Webb Simpson,87,61.7,293605.5,475898
88,89,89,Ricky Barnes,92,61.68,305147.0,494717
89,90,90,Michael Putnam,106,61.65,356865.3,578811
90,91,91,James Hahn,82,61.64,284045.0,460840
91,92,92,Luke Guthrie,85,61.58,297736.3,483457
92,93,93,Scott Brown,100,61.57,326623.6,530523
93,T94,T94,Trevor Immelman,84,61.56,262629.4,426653
94,T94,T94,Kevin Kisner,85,61.56,274107.7,445249
95,T96,T96,Aaron Baddeley,74,61.55,230714.5,374818
96,T96,T96,Chad Campbell,57,61.55,177947.0,289112
97,T96,T96,Retief Goosen,94,61.55,305355.3,496102
98,T99,T99,Matt Every,85,61.51,253929.9,412855
99,T99,T99,Chesson Hadley,84,61.51,277524.8,451157
100,T99,T99,Will MacKenzie,82,61.51,286545.7,465854
101,102,102,Stewart Cink,91,61.5,283751.6,461359
102,103,103,Ben Martin,80,61.48,247727.3,402931
103,104,104,Bronson La'Cassie,51,61.47,141065.5,229505
104,105,105,Jason Dufner,57,61.44,166109.5,270370
105,T106,T106,Jim Renner,61,61.43,203457.4,331185
106,T106,T106,Tyrone Van Aswegen,79,61.43,253591.5,412801
107,T106,T106,Bo Van Pelt,83,61.43,261685.3,425969
108,T106,T106,Lee Westwood,57,61.43,171666.1,279465
109,110,110,Danny Lee,84,61.39,269017.9,438246
110,111,111,Matt Kuchar,91,61.38,297931.4,485405
111,112,112,Andrew Svoboda,77,61.36,258029.2,420495
112,113,113,Johnson Wagner,69,61.23,225025.4,367528
113,114,114,Chris Stroud,88,61.22,280505.9,458179
114,115,115,Ryan Moore,86,61.16,245009.7,400619
115,116,116,Brendon de Jonge,109,61.15,359305.8,587535
116,117,117,Erik Compton,88,61.14,292509.3,478422
117,118,118,Gonzalo Fernandez-Castaño,83,61.11,269940.9,441756
118,119,119,Richard Lee,80,61.07,237210.9,388444
119,T120,T120,Paul Casey,56,61.05,170413.0,279151
120,T120,T120,Michael Thompson,74,61.05,234350.9,383845
121,122,122,Jonathan Byrd,76,61.04,251091.7,411324
122,123,123,Jonas Blixt,64,61.01,169752.5,278218
123,124,124,Russell Knox,92,60.97,321454.5,527253
124,125,125,Justin Hicks,103,60.96,348902.6,572303
125,T126,T126,William McGirt,96,60.95,324095.7,531753
126,T126,T126,Ian Poulter,57,60.95,162307.7,266276
127,128,128,Robert Allenby,83,60.92,270779.1,444457
128,129,129,George McNeill,79,60.86,271451.9,446030
129,T130,T130,Pat Perez,84,60.84,291415.2,478982
130,T130,T130,Brandt Snedeker,89,60.84,256327.8,421307
131,132,132,Tim Wilkinson,86,60.82,274376.9,451143
132,133,133,Freddie Jacobson,91,60.78,313688.8,516136
133,134,134,John Merrick,87,60.73,280223.8,461393
134,135,135,Daniel Summerhays,98,60.71,341295.2,562197
135,136,136,Nicholas Thompson,85,60.68,269607.4,444292
136,137,137,Zach Johnson,97,60.67,326108.2,537503
137,138,138,Heath Slocum,71,60.66,238371.0,392991
138,139,139,Mark Wilson,69,60.65,218823.0,360813
139,140,140,Y.E. Yang,79,60.6,235235.5,388153
140,T141,T141,Roberto Castro,76,60.59,228676.9,377426
141,T141,T141,James Driscoll,71,60.59,222470.5,367197
142,143,143,Greg Chalmers,85,60.55,281076.1,464169
143,T144,T144,Brian Stuard,91,60.53,284545.7,470118
144,T144,T144,Cameron Tringale,111,60.53,379702.4,627315
145,146,146,D.A. Points,75,60.52,213624.9,352976
146,147,147,Jeff Maggert,54,60.5,168363.0,278290
147,148,148,Scott Langley,95,60.46,302149.6,499761
