,Driving_Accuracy_Percentage_RANK THIS WEEK,Driving_Accuracy_Percentage_RANK LAST WEEK,Driving_Accuracy_Percentage_PLAYER NAME,Driving_Accuracy_Percentage_ROUNDS,Driving_Accuracy_Percentage_%,Driving_Accuracy_Percentage_FAIRWAYS HIT,Driving_Accuracy_Percentage_POSSIBLE FAIRWAYS
0,1,1,David Toms,64,75.49,653,865
1,2,2,Tim Clark,75,74.02,775,1047
2,3,3,Justin Hicks,103,73.46,1013,1379
3,4,4,Jim Furyk,84,73.18,816,1115
4,5,5,Heath Slocum,71,72.41,698,964
5,6,6,Zach Johnson,97,70.51,949,1346
6,7,7,Billy Hurley III,86,70.44,846,1201
7,8,8,Ken Duke,80,70.18,765,1090
8,9,9,Ryan Moore,86,69.92,825,1180
9,10,10,Boo Weekley,73,69.57,702,1009
10,11,11,"Ted Potter, Jr.",68,69.56,658,946
11,12,12,Graeme McDowell,66,69.2,600,867
12,13,13,Jeff Maggert,54,68.83,519,754
13,14,14,Henrik Stenson,56,68.78,520,756
14,15,15,John Merrick,87,68.62,796,1160
15,16,16,Kevin Streelman,79,68.04,743,1092
16,17,17,Brendon de Jonge,109,67.87,1033,1522
17,18,18,Russell Knox,92,67.6,866,1281
18,19,19,David Hearn,97,67.48,913,1353
19,20,20,Matt Kuchar,91,67.37,830,1232
20,21,21,Brian Davis,93,67.23,872,1297
21,22,22,Nicholas Thompson,85,67.08,756,1127
22,23,23,Billy Horschel,92,67.04,846,1262
23,24,24,Mark Wilson,69,67.0,607,906
24,25,25,John Huh,87,66.87,775,1159
25,26,26,Scott Brown,100,66.55,931,1399
26,27,27,Jerry Kelly,80,66.49,740,1113
27,28,28,D.H. Lee,54,66.47,462,695
28,29,29,Ben Crane,81,66.4,749,1128
29,30,30,Daniel Summerhays,98,66.3,905,1365
30,T31,T31,Brian Stuard,91,66.14,803,1214
31,T31,T31,Andrew Svoboda,77,66.14,711,1075
32,33,33,William McGirt,96,65.94,883,1339
33,34,34,Y.E. Yang,79,65.41,711,1087
34,35,35,Chad Campbell,57,65.36,483,739
35,36,36,Hunter Mahan,88,65.1,774,1189
36,37,37,Danny Lee,84,65.05,726,1116
37,38,38,Justin Leonard,75,65.04,679,1044
38,39,39,Jason Bohn,81,64.95,732,1127
39,40,40,Spencer Levin,59,64.92,533,821
40,41,41,Kevin Chappell,100,64.9,869,1339
41,42,42,Brendon Todd,108,64.85,976,1505
42,43,43,Ben Curtis,77,64.8,659,1017
43,44,44,Will MacKenzie,82,64.5,736,1141
44,45,45,Derek Ernst,80,64.41,686,1065
45,46,46,J.J. Henry,91,64.39,781,1213
46,47,47,Ben Martin,80,64.34,718,1116
47,48,48,Kevin Na,94,64.32,842,1309
48,T49,T49,Kevin Stadler,90,64.28,799,1243
49,T49,T49,Hudson Swafford,75,64.28,637,991
50,51,51,John Senden,99,64.25,886,1379
51,52,52,K.J. Choi,80,64.22,716,1115
52,53,53,Shawn Stefani,60,64.17,539,840
53,54,54,Lucas Glover,68,64.02,589,920
54,55,55,John Peterson,62,64.0,535,836
55,56,56,Nick Watney,80,63.97,671,1049
56,57,57,Chris Stroud,88,63.93,787,1231
57,58,58,Cameron Tringale,111,63.87,988,1547
58,59,59,Jason Dufner,57,63.76,482,756
59,T60,T60,Briny Baird,50,63.7,444,697
60,T60,T60,Brandt Snedeker,89,63.7,774,1215
61,62,62,Russell Henley,92,63.67,822,1291
62,63,63,Roberto Castro,76,62.95,649,1031
63,64,64,Bill Haas,107,62.94,924,1468
64,65,65,Bo Van Pelt,83,62.83,727,1157
65,66,66,Chris Kirk,105,62.78,916,1459
66,T67,T67,Luke Donald,57,62.56,488,780
67,T67,T67,D.A. Points,75,62.56,640,1023
68,69,69,Keegan Bradley,89,62.36,767,1230
69,70,70,Webb Simpson,87,62.24,732,1176
70,T71,T71,George McNeill,79,62.22,685,1101
71,T71,T71,Michael Thompson,74,62.22,644,1035
72,73,73,Sergio Garcia,61,62.19,505,812
73,74,74,Jim Herman,62,62.18,503,809
74,75,75,Graham DeLaet,80,62.07,684,1102
75,76,76,Brian Gay,81,61.99,685,1105
76,77,77,Richard Lee,80,61.86,673,1088
77,78,78,Jonathan Byrd,76,61.58,617,1002
78,79,79,Hideki Matsuyama,82,61.52,689,1120
79,80,80,Adam Scott,68,61.51,588,956
80,81,81,Robert Allenby,83,61.47,694,1129
81,82,82,Woody Austin,63,61.45,507,825
82,T83,T83,Kevin Kisner,85,61.43,728,1185
83,T83,T83,Troy Merritt,62,61.43,532,866
84,85,85,Willy Wilcox,51,61.4,420,684
85,86,86,Sangmoon Bae,76,61.39,652,1062
86,87,87,Ian Poulter,57,61.35,481,784
87,88,88,Martin Kaymer,65,61.27,549,896
88,T89,T89,Martin Laird,66,61.26,533,870
89,T89,T89,Kyle Stanley,87,61.26,710,1159
90,T91,T91,Josh Teater,90,61.22,750,1225
91,T91,T91,Lee Westwood,57,61.22,480,784
92,93,93,Jhonattan Vegas,77,61.16,641,1048
93,T94,T94,Scott Langley,95,61.08,791,1295
94,T94,T94,Michael Putnam,106,61.08,868,1421
95,96,96,Wes Roach,67,61.05,536,878
96,97,97,Brian Harman,111,60.96,943,1547
97,98,98,Louis Oosthuizen,50,60.9,391,642
98,99,99,James Hahn,82,60.83,677,1113
99,100,100,Vijay Singh,83,60.66,703,1159
100,101,101,Paul Casey,56,60.49,473,782
101,102,102,Bubba Watson,76,60.47,618,1022
102,103,103,Stuart Appleby,92,60.42,757,1253
103,104,104,Brad Fritsch,50,60.24,403,669
