,Total_Distance_Efficiency_RANK THIS WEEK,Total_Distance_Efficiency_RANK LAST WEEK,Total_Distance_Efficiency_PLAYER NAME,Total_Distance_Efficiency_ROUNDS,Total_Distance_Efficiency_AVG.,Total_Distance_Efficiency_AVERAGE DISTANCE (YARDS),Total_Distance_Efficiency_AVERAGE CLUB HEAD SPEED,Total_Distance_Efficiency_TOTAL ATTEMPTS,Total_Distance_Efficiency_HIGHEST DIST. EFFICIENCY
0,1,1,Webb Simpson,87,2.639,293.233,111.109,73,2.9989999999999997
1,2,2,Bud Cauley,56,2.634,294.63,111.84299999999999,49,3.128
2,T3,T3,Zach Johnson,97,2.628,283.101,107.725,91,3.0639999999999996
3,T3,T3,Hunter Mahan,88,2.628,294.887,112.223,78,3.025
4,5,5,Jordan Spieth,102,2.625,292.839,111.56,87,3.053
5,T6,T6,Ernie Els,85,2.6210000000000004,293.569,111.994,65,3.0010000000000003
6,T6,T6,Davis Love III,74,2.6210000000000004,300.70599999999996,114.74,57,2.977
7,8,8,Heath Slocum,71,2.617,275.78700000000003,105.4,64,2.957
8,T9,T9,Brian Davis,93,2.611,278.177,106.537,92,3.0780000000000003
9,T9,T9,Mark Wilson,69,2.611,278.967,106.829,62,2.991
10,11,11,Hideki Matsuyama,82,2.6069999999999998,297.80400000000003,114.211,67,3.002
11,12,12,Brian Harman,111,2.6060000000000003,286.861,110.094,107,3.0
12,13,13,Jimmy Walker,98,2.605,304.926,117.06200000000001,71,3.147
13,14,14,Ryan Moore,86,2.6039999999999996,288.972,110.98899999999999,68,3.034
14,T15,T15,K.J. Choi,80,2.603,279.998,107.556,71,2.889
15,T15,T15,Geoff Ogilvy,84,2.603,296.78,114.006,71,3.035
16,17,17,Tim Clark,75,2.602,269.245,103.48299999999999,66,2.947
17,18,18,Jeff Maggert,54,2.6010000000000004,273.29400000000004,105.056,45,2.9160000000000004
18,19,19,Nicholas Thompson,85,2.5989999999999998,288.397,110.949,71,2.8939999999999997
19,T20,T20,Jonas Blixt,64,2.5980000000000003,288.222,110.949,38,2.9160000000000004
20,T20,T20,Tim Wilkinson,86,2.5980000000000003,280.509,107.988,78,3.218
21,T22,T22,Brian Gay,81,2.597,269.53,103.792,65,3.0860000000000003
22,T22,T22,Josh Teater,90,2.597,295.976,113.95700000000001,80,3.017
23,T24,T24,Billy Horschel,92,2.596,295.07,113.655,69,2.9960000000000004
24,T24,T24,Ryan Palmer,85,2.596,304.322,117.238,68,2.946
25,T24,T24,Wes Roach,67,2.596,291.216,112.19200000000001,54,3.19
26,T27,T27,Morgan Hoffmann,103,2.593,295.559,114.00200000000001,91,2.977
27,T27,T27,Chris Stroud,88,2.593,284.449,109.711,73,2.887
28,T29,T29,Ben Crane,81,2.591,276.332,106.641,85,2.898
29,T29,T29,Brice Garnett,92,2.591,289.248,111.648,82,3.0869999999999997
30,T29,T29,Bill Haas,107,2.591,294.327,113.6,81,2.898
31,T29,T29,Will MacKenzie,82,2.591,290.128,111.97,80,2.9419999999999997
32,T33,T33,Ben Curtis,77,2.589,277.05,106.99,70,2.945
33,T33,T33,Carl Pettersson,91,2.589,292.83299999999997,113.12299999999999,91,3.05
34,T35,T35,Robert Allenby,83,2.585,287.60200000000003,111.256,64,2.966
35,T35,T35,David Hearn,97,2.585,279.024,107.956,92,3.003
36,T35,T35,Chris Kirk,105,2.585,292.045,112.98899999999999,84,3.1689999999999996
37,T35,T35,Martin Laird,66,2.585,297.99,115.257,46,2.9330000000000003
38,T35,T35,Scott Langley,95,2.585,282.48900000000003,109.29799999999999,83,3.139
39,T35,T35,Louis Oosthuizen,50,2.585,298.436,115.43799999999999,27,2.9789999999999996
40,41,41,Ian Poulter,57,2.5839999999999996,289.325,111.948,42,2.931
41,T42,T42,Justin Hicks,103,2.583,282.945,109.556,104,3.07
42,T42,T42,Dustin Johnson,58,2.583,313.444,121.34299999999999,41,2.967
43,T42,T42,Jerry Kelly,80,2.583,276.249,106.931,71,2.935
44,T45,T45,J.B. Holmes,86,2.582,308.426,119.449,66,3.0610000000000004
45,T45,T45,Vijay Singh,83,2.582,287.672,111.425,75,2.997
46,47,47,Scott Brown,100,2.5810000000000004,288.67400000000004,111.83200000000001,83,3.0060000000000002
47,48,48,Scott Stallings,77,2.5789999999999997,300.933,116.68,64,3.008
48,T49,T49,Lucas Glover,68,2.577,300.469,116.6,50,2.93
49,T49,T49,Kevin Stadler,90,2.577,292.942,113.665,67,2.9619999999999997
50,51,51,Roberto Castro,76,2.575,282.814,109.823,60,2.92
51,52,52,Cameron Tringale,111,2.574,284.245,110.449,106,2.9989999999999997
52,53,53,Tommy Gainey,73,2.573,292.628,113.749,61,3.0610000000000004
53,54,54,Jason Day,54,2.572,302.186,117.48700000000001,28,2.867
54,T55,T55,Brandt Snedeker,89,2.571,283.402,110.21799999999999,67,3.069
55,T55,T55,Bubba Watson,76,2.571,318.0,123.697,52,3.412
56,57,57,Matt Kuchar,91,2.57,279.895,108.92,80,3.0439999999999996
57,58,58,Brian Stuard,91,2.569,280.394,109.13,84,3.03
58,T59,T59,Brendon Todd,108,2.568,278.034,108.285,92,2.948
59,T59,T59,Bo Van Pelt,83,2.568,290.32599999999996,113.053,73,3.049
60,T61,T61,Rory McIlroy,66,2.5660000000000003,311.92400000000004,121.55799999999999,48,3.08
61,T61,T61,Justin Rose,70,2.5660000000000003,294.422,114.741,54,2.878
62,63,63,Richard Lee,80,2.565,284.522,110.929,69,2.931
63,T64,T64,Steven Bowditch,93,2.563,298.013,116.296,81,2.983
64,T64,T64,Jim Herman,62,2.563,294.14099999999996,114.758,48,2.932
65,T64,T64,Jamie Lovemark,64,2.563,306.10900000000004,119.44,44,3.091
66,T67,T67,Chesson Hadley,84,2.562,289.20099999999996,112.87,80,2.965
67,T67,T67,Sean O'Hair,77,2.562,302.283,118.001,61,3.035
68,T67,T67,Andres Romero,81,2.562,295.158,115.195,61,2.9210000000000003
69,T70,T70,Kevin Kisner,85,2.5610000000000004,287.278,112.16799999999999,75,2.94
70,T70,T70,Daniel Summerhays,98,2.5610000000000004,280.788,109.619,100,3.056
71,72,72,Troy Matteson,62,2.56,292.791,114.359,50,3.032
72,T73,T73,J.J. Henry,91,2.559,291.018,113.721,75,3.022
73,T73,T73,David Lingmerth,80,2.559,287.10900000000004,112.212,72,3.1889999999999996
74,T73,T73,Camilo Villegas,95,2.559,291.731,114.00200000000001,94,3.073
75,76,76,Jeff Overton,80,2.5580000000000003,283.856,110.948,69,2.904
76,77,77,Jim Furyk,84,2.557,281.94,110.26299999999999,76,2.8710000000000004
77,T78,T78,James Hahn,82,2.556,290.111,113.515,73,2.884
78,T78,T78,Charles Howell III,106,2.556,303.086,118.579,101,3.092
79,T78,T78,Justin Leonard,75,2.556,266.77299999999997,104.37899999999999,68,2.966
