,Driving_Distance_RANK THIS WEEK,Driving_Distance_RANK LAST WEEK,Driving_Distance_PLAYER NAME,Driving_Distance_ROUNDS,Driving_Distance_AVG.,Driving_Distance_TOTAL DISTANCE,Driving_Distance_TOTAL DRIVES
0,1,1,Bubba Watson,76,314.3,40863,130
1,2,2,Dustin Johnson,58,311.0,32970,106
2,3,3,Rory McIlroy,66,310.5,37261,120
3,T4,T4,J.B. Holmes,86,308.0,52979,172
4,T4,T4,Andrew Loupe,65,308.0,37576,122
5,6,6,Brooks Koepka,56,307.0,34389,112
6,7,7,Robert Garrigus,80,306.1,48974,160
7,8,8,Jhonattan Vegas,77,304.8,45726,150
8,T9,T9,Charles Howell III,106,304.1,62028,204
9,T9,T9,Gary Woodland,93,304.1,53218,175
10,11,11,Charlie Beljan,76,303.8,43741,144
11,12,12,Ángel Cabrera,69,303.7,41915,138
12,13,13,Adam Scott,68,303.5,41275,136
13,T14,T14,Graham DeLaet,80,303.4,42781,141
14,T14,T14,Jason Kokrak,65,303.4,39447,130
15,16,16,Jamie Lovemark,64,302.4,36292,120
16,17,17,Keegan Bradley,89,302.2,48344,160
17,18,18,Jason Day,54,301.2,28914,96
18,19,19,Jimmy Walker,98,301.0,52978,176
19,20,20,Lucas Glover,68,300.6,37276,124
20,T21,T21,Sean O'Hair,77,300.5,46271,154
21,T21,T21,Louis Oosthuizen,50,300.5,25240,84
22,T23,T23,Ryan Palmer,85,300.4,48665,162
23,T23,T23,Scott Stallings,77,300.4,43257,144
24,25,25,Robert Streb,75,300.0,42598,142
25,T26,T26,Harris English,95,299.2,52660,176
26,T26,T26,Charley Hoffman,93,299.2,53254,178
27,28,28,Brendan Steele,89,298.9,48417,162
28,29,29,Steven Bowditch,93,298.1,55447,186
29,30,30,Charl Schwartzel,64,297.8,36930,124
30,31,31,Shawn Stefani,60,297.7,35723,120
31,32,32,Marc Leishman,81,297.6,45239,152
32,T33,T33,Rickie Fowler,91,297.5,45808,154
33,T33,T33,Kyle Stanley,87,297.5,47008,158
34,T33,T33,Hudson Swafford,75,297.5,42248,142
35,36,36,Willy Wilcox,51,297.3,29133,98
36,37,37,Martin Laird,66,297.2,34477,116
37,38,38,Derek Ernst,80,297.0,42770,144
38,39,39,Troy Matteson,62,296.7,34422,116
39,40,40,Seung-Yul Noh,92,296.5,54555,184
40,T41,T41,Matt Jones,83,296.3,46823,158
41,T41,T41,Davis Love III,74,296.3,42664,144
42,43,43,Kevin Chappell,100,296.2,54493,184
43,44,44,Martin Flores,85,296.0,47957,162
44,T45,T45,Hunter Mahan,88,295.8,50294,170
45,T45,T45,Nick Watney,80,295.8,39636,134
46,47,47,Carl Pettersson,91,295.5,53784,182
47,48,48,Morgan Hoffmann,103,295.4,58486,198
48,49,49,Justin Rose,70,295.1,37779,128
49,50,50,Martin Kaymer,65,294.9,35391,120
50,51,51,Hideki Matsuyama,82,294.8,44217,150
51,52,52,Jim Herman,62,294.7,34181,116
52,T53,T53,Andres Romero,81,294.6,45363,154
53,T53,T53,Josh Teater,90,294.6,49496,168
54,55,55,Kevin Tway,64,294.5,35342,120
55,56,56,Brad Fritsch,50,294.4,28267,96
56,57,57,Sergio Garcia,61,294.3,29425,100
57,58,58,Rory Sabbatini,82,294.2,43537,148
58,59,59,Tommy Gainey,73,294.0,40569,138
59,60,60,Aaron Baddeley,74,293.8,39950,136
60,T61,T61,Stewart Cink,91,293.7,51111,174
61,T61,T61,Russell Henley,92,293.7,51688,176
62,63,63,Bud Cauley,56,293.4,32856,112
63,64,64,Henrik Stenson,56,293.2,29322,100
64,T65,T65,Paul Casey,56,293.0,30475,104
65,T65,T65,Michael Putnam,106,293.0,59769,204
66,T65,T65,Wes Roach,67,293.0,36919,126
67,T68,T68,Geoff Ogilvy,84,292.5,46799,160
68,T68,T68,Camilo Villegas,95,292.5,53231,182
69,70,70,Phil Mickelson,71,292.4,36840,126
70,T71,T71,Patrick Reed,92,292.3,50267,172
71,T71,T71,Lee Westwood,57,292.3,30397,104
72,73,73,Bill Haas,107,291.9,56626,194
73,74,74,Trevor Immelman,84,291.8,46685,160
74,75,75,Ben Martin,80,291.7,46668,160
