,SG_Off-the-Tee_RANK THIS WEEK,SG_Off-the-Tee_RANK LAST WEEK,SG_Off-the-Tee_PLAYER NAME,SG_Off-the-Tee_ROUNDS,SG_Off-the-Tee_AVERAGE,SG_Off-the-Tee_TOTAL SG:OTT,SG_Off-the-Tee_MEASURED ROUNDS
164,165,165,Jonas Blixt,64,-0.434,-18.645,43
165,166,166,Retief Goosen,94,-0.44299999999999995,-34.531,78
166,167,167,Jason Bohn,81,-0.475,-34.701,73
167,168,168,Luke Donald,57,-0.493,-21.699,44
168,169,169,Greg Chalmers,85,-0.503,-36.739000000000004,73
169,170,170,Brian Gay,81,-0.508,-32.005,63
170,171,171,Aaron Baddeley,74,-0.589,-34.723,59
171,172,172,Chad Collins,78,-0.635,-38.714,61
172,173,173,James Driscoll,71,-0.6609999999999999,-38.328,58
173,174,174,Tyrone Van Aswegen,79,-0.735,-47.798,65
174,175,175,Justin Leonard,75,-0.752,-46.598,62
175,176,176,Bryce Molder,77,-0.763,-48.863,64
176,177,177,Mike Weir,69,-1.5819999999999999,-83.837,53
