,Longest_Drives_RANK THIS WEEK,Longest_Drives_RANK LAST WEEK,Longest_Drives_PLAYER NAME,Longest_Drives_ROUNDS,Longest_Drives_DISTANCE,Longest_Drives_TOURNAMENT,Longest_Drives_ROUND,Longest_Drives_HOLE,Longest_Drives_COURSE
0,1,1,Bubba Watson,76,424,World Golf Championships-Bridgestone Invitational,3,16,36
1,2,2,Webb Simpson,87,397,Hyundai Tournament of Champions,4,7,656
2,3,3,Jordan Spieth,102,396,Hyundai Tournament of Champions,4,7,656
3,4,4,Gonzalo Fernandez-Castaño,83,395,World Golf Championships-HSBC Champions,4,14,766
4,5,5,Scott Brown,100,390,Hyundai Tournament of Champions,4,7,656
5,T6,1,Bubba Watson,76,388,World Golf Championships-Bridgestone Invitational,2,18,36
6,T6,T6,Derek Ernst,80,388,Hyundai Tournament of Champions,4,17,656
7,8,8,Jimmy Walker,98,387,Hyundai Tournament of Champions,4,17,656
8,T9,T9,Robert Garrigus,80,385,Quicken Loans National,4,18,24
9,T9,T9,Martin Laird,66,385,Hyundai Tournament of Champions,4,12,656
10,11,11,Branden Grace,32,383,World Golf Championships-Cadillac Championship,2,5,8
11,T12,T12,Pat Perez,84,382,Waste Management Phoenix Open,2,8,510
12,T12,2,Webb Simpson,87,382,Hyundai Tournament of Champions,3,12,656
13,T14,T14,Bo Van Pelt,83,381,Wyndham Championship,1,5,752
14,T14,T14,Jason Dufner,57,381,World Golf Championships-Bridgestone Invitational,2,9,36
15,T14,T14,Gary Woodland,93,381,Hyundai Tournament of Champions,2,7,656
16,T17,T17,Jason Day,54,380,BMW Championship,1,1,505
17,T17,T17,Dustin Johnson,58,380,Hyundai Tournament of Champions,3,12,656
18,T17,T17,Bud Cauley,56,380,Wells Fargo Championship,4,16,698
19,T20,T20,Matt Jones,83,379,World Golf Championships-Bridgestone Invitational,3,16,36
20,T20,T20,Rory McIlroy,66,379,BMW Championship,1,10,505
21,T20,T20,Jamie Lovemark,64,379,HP Byron Nelson Championship,4,3,19
22,T20,T17,Dustin Johnson,58,379,Hyundai Tournament of Champions,2,12,656
23,T20,T17,Dustin Johnson,58,379,Hyundai Tournament of Champions,4,18,656
24,T25,T25,Johnson Wagner,69,378,Wyndham Championship,2,5,752
25,T25,T20,Rory McIlroy,66,378,Wells Fargo Championship,4,16,698
26,T25,T17,Dustin Johnson,58,378,World Golf Championships-Cadillac Championship,1,12,8
27,T25,T25,Russell Knox,92,378,Frys.com Open,2,18,775
28,T29,T29,Jason Kokrak,65,377,Frys.com Open,2,6,775
29,T29,T29,Andrew Loupe,65,377,Quicken Loans National,4,18,24
30,T31,T31,Henrik Stenson,56,376,World Golf Championships-Cadillac Championship,2,5,8
31,T31,T31,Troy Kelly,4,376,John Deere Classic,1,10,669
32,T31,T31,Rickie Fowler,91,376,Wells Fargo Championship,4,16,698
33,T31,3,Jordan Spieth,102,376,Hyundai Tournament of Champions,2,7,656
34,T31,T31,Dustin Morris,4,376,Zurich Classic of New Orleans,1,7,714
35,T36,T20,Rory McIlroy,66,375,Wells Fargo Championship,2,16,698
36,T36,T14,Gary Woodland,93,375,Quicken Loans National,3,18,24
37,T36,T14,Gary Woodland,93,375,Quicken Loans National,4,18,24
38,T36,T36,Charlie Beljan,76,375,Valspar Championship,2,11,665
39,T36,3,Jordan Spieth,102,375,Hyundai Tournament of Champions,3,12,656
40,T36,T36,Patrick Reed,92,375,Hyundai Tournament of Champions,4,17,656
41,T36,T36,Patrick Rodgers,23,375,Quicken Loans National,4,18,24
42,T43,T43,Greg Chalmers,85,374,Valero Texas Open,3,17,770
43,T43,T43,Sergio Garcia,61,374,World Golf Championships-Cadillac Championship,2,5,8
44,T43,T9,Robert Garrigus,80,374,Zurich Classic of New Orleans,4,18,714
45,T43,T43,D.A. Points,75,374,Hyundai Tournament of Champions,4,7,656
46,T43,T43,Hudson Swafford,75,374,The Greenbrier Classic,4,17,771
47,T43,T36,Patrick Reed,92,374,Hyundai Tournament of Champions,4,12,656
48,T49,T49,Ernie Els,85,373,Shell Houston Open,1,8,729
49,T49,T49,Stewart Cink,91,373,Wells Fargo Championship,3,16,698
50,T49,T49,Charles Howell III,106,373,The Greenbrier Classic,4,17,771
51,T49,T49,Andres Romero,81,373,Quicken Loans National,4,18,24
52,T49,1,Bubba Watson,76,373,BMW Championship,4,10,505
53,T49,T49,Sangmoon Bae,76,373,Hyundai Tournament of Champions,4,12,656
54,T49,T20,Jamie Lovemark,64,373,Travelers Championship,2,13,503
55,T49,11,Branden Grace,32,373,World Golf Championships-Bridgestone Invitational,3,16,36
56,T49,T17,Dustin Johnson,58,373,Hyundai Tournament of Champions,4,12,656
57,T49,T49,Michael Thompson,74,373,Hyundai Tournament of Champions,4,12,656
58,T59,T49,Ernie Els,85,372,Wells Fargo Championship,4,16,698
59,T59,T59,Ángel Cabrera,69,372,The Greenbrier Classic,3,6,771
60,T59,T49,Charles Howell III,106,372,HP Byron Nelson Championship,4,1,19
61,T59,T59,Nicolas Colsaerts,32,372,Valero Texas Open,1,9,770
62,T59,T59,Adam Scott,68,372,BMW Championship,4,1,505
63,T59,T59,Jhonattan Vegas,77,372,Waste Management Phoenix Open,3,15,510
64,T59,T17,Dustin Johnson,58,372,Hyundai Tournament of Champions,1,7,656
65,T59,T14,Gary Woodland,93,372,Hyundai Tournament of Champions,4,12,656
66,T59,T14,Gary Woodland,93,372,HP Byron Nelson Championship,4,1,19
67,T59,T59,Harris English,95,372,Hyundai Tournament of Champions,4,12,656
68,T69,1,Bubba Watson,76,371,BMW Championship,1,5,505
