,Distance_from_Center_of_Fairway_RANK THIS WEEK,Distance_from_Center_of_Fairway_RANK LAST WEEK,Distance_from_Center_of_Fairway_PLAYER NAME,Distance_from_Center_of_Fairway_EVENTS,Distance_from_Center_of_Fairway_AVG,Distance_from_Center_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Center_of_Fairway_TOTAL STROKES
0,1,1,"Ted Potter, Jr.",24,"22' 6""",12889.0,572
1,2,2,John Peterson,25,"22' 7""",10856.25,480
2,T3,T3,Robert Allenby,29,"22' 8""",13497.833,596
3,T3,T3,K.J. Choi,23,"22' 8""",13640.25,602
4,T3,T3,Billy Hurley III,26,"22' 8""",15912.917,701
5,6,6,Brian Harman,32,"22' 9""",19051.667,836
6,7,7,Justin Hicks,30,"22' 11""",20665.25,901
7,8,8,Shawn Stefani,17,"23' 0""",11538.083,502
8,T9,T9,Jason Bohn,25,"23' 3""",15055.417,648
9,T9,T9,Carl Pettersson,28,"23' 3""",15920.583,684
10,T11,T11,David Hearn,28,"23' 4""",17805.583,764
11,T11,T11,Geoff Ogilvy,26,"23' 4""",13543.667,580
12,T11,T11,Nicholas Thompson,30,"23' 4""",15188.417,650
13,T11,T11,Cameron Tringale,31,"23' 4""",20247.5,868
14,T15,T15,Ricky Barnes,27,"23' 5""",13538.667,578
15,T15,T15,Roberto Castro,27,"23' 5""",11913.0,509
16,T15,T15,Kevin Kisner,26,"23' 5""",13939.667,596
17,T15,T15,Jeff Maggert,19,"23' 5""",9308.333,398
18,T19,T19,Brian Davis,28,"23' 6""",17521.333,746
19,T19,T19,Andrew Svoboda,24,"23' 6""",13991.667,596
20,T21,T21,Martin Kaymer,19,"23' 7""",9357.333,397
21,T21,T21,David Lingmerth,26,"23' 7""",12914.917,547
22,23,23,Josh Teater,28,"23' 8""",14769.25,624
23,24,24,John Rollins,28,"23' 9""",12947.333,546
24,T25,T25,Ryo Ishikawa,24,"23' 10""",10215.583,428
25,T25,T25,Hunter Mahan,25,"23' 10""",15226.583,639
26,T25,T25,Mark Wilson,25,"23' 10""",12401.0,521
27,T28,T28,Retief Goosen,26,"23' 11""",14187.75,594
28,T28,T28,Russell Knox,26,"23' 11""",18227.0,763
29,T28,T28,Spencer Levin,20,"23' 11""",10308.0,431
