,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
0,1,1,Bubba Watson,76,305.1,239213,784
1,2,2,Rory McIlroy,66,301.5,202618,672
2,3,3,Dustin Johnson,58,298.7,172664,578
3,4,4,Jamie Lovemark,64,296.7,194901,657
4,5,5,J.B. Holmes,86,296.5,318422,1074
5,6,6,Andrew Loupe,65,296.1,206996,699
6,7,7,Charles Howell III,106,294.8,390288,1324
7,8,8,Jason Day,54,294.4,136019,462
8,9,9,Gary Woodland,93,293.9,299791,1020
9,10,10,Ángel Cabrera,69,292.8,249474,852
10,11,11,Jimmy Walker,98,292.6,300195,1026
11,12,12,Adam Scott,68,292.5,230490,788
12,13,13,Ryan Palmer,85,292.3,273585,936
13,T14,T14,Louis Oosthuizen,50,291.4,121811,418
14,T14,T14,Jhonattan Vegas,77,291.4,260531,894
15,16,16,Charlie Beljan,76,291.2,271975,934
16,T17,T17,Graham DeLaet,80,290.5,259145,892
17,T17,T17,Brooks Koepka,56,290.5,170208,586
18,T19,T19,Steven Bowditch,93,290.4,315968,1088
19,T19,T19,Rickie Fowler,91,290.4,251451,866
20,21,21,Charley Hoffman,93,290.3,307184,1058
21,22,22,Morgan Hoffmann,103,290.1,364132,1255
22,23,23,Robert Garrigus,80,289.9,294804,1017
23,T24,T24,Keegan Bradley,89,289.6,271098,936
24,T24,T24,Hunter Mahan,88,289.6,291877,1008
25,T26,T26,Matt Jones,83,289.5,242573,838
26,T26,T26,Sean O'Hair,77,289.5,270114,933
27,T26,T26,Robert Streb,75,289.5,259425,896
28,29,29,Justin Rose,70,289.2,209385,724
29,30,30,Jason Kokrak,65,288.6,245048,849
30,T31,T31,Charl Schwartzel,64,288.5,218128,756
31,T31,T31,Scott Stallings,77,288.5,253342,878
32,33,33,Phil Mickelson,71,288.2,201769,700
33,T34,T34,Harris English,95,288.1,297885,1034
34,T34,T34,Brendan Steele,89,288.1,282069,979
35,36,36,Martin Kaymer,65,287.8,193379,672
36,37,37,Ernie Els,85,287.4,252939,880
37,38,38,Carl Pettersson,91,287.2,340317,1185
38,T39,T39,Kyle Stanley,87,287.1,288857,1006
39,T39,T39,Willy Wilcox,51,287.1,160481,559
40,T41,T41,Lucas Glover,68,287.0,187992,655
41,T41,T41,Martin Laird,66,287.0,221593,772
42,T41,T41,Hideki Matsuyama,82,287.0,257171,896
43,T44,T44,Sergio Garcia,61,286.8,160611,560
44,T44,T44,Troy Matteson,62,286.8,196453,685
45,T46,T46,Derek Ernst,80,286.5,252940,883
46,T46,T46,Bill Haas,107,286.5,328377,1146
47,T46,T46,Kevin Stadler,90,286.5,260111,908
48,T46,T46,Henrik Stenson,56,286.5,152416,532
49,50,50,Russell Henley,92,286.3,301742,1054
50,51,51,Marc Leishman,81,286.2,275361,962
51,52,52,Billy Horschel,92,286.1,276940,968
52,53,53,Patrick Reed,92,285.9,296731,1038
53,T54,T54,Bud Cauley,56,285.8,183793,643
54,T54,T54,Seung-Yul Noh,92,285.8,299522,1048
55,T54,T54,Jordan Spieth,102,285.8,316048,1106
56,T57,T57,Kevin Chappell,100,285.6,346709,1214
57,T57,T57,Jim Herman,62,285.6,191350,670
58,59,59,Shawn Stefani,60,285.4,227780,798
59,60,60,Andres Romero,81,285.3,287020,1006
60,61,61,Lee Westwood,57,285.2,171680,602
61,62,62,Tommy Gainey,73,285.1,238058,835
62,T63,T63,Geoff Ogilvy,84,284.9,290361,1019
63,T63,T63,Josh Teater,90,284.9,297484,1044
64,T63,T63,Kevin Tway,64,284.9,187208,657
65,66,66,Kevin Streelman,79,284.7,239189,840
66,67,67,Hudson Swafford,75,284.5,230450,810
67,T68,T68,Davis Love III,74,284.4,249125,876
68,T68,T68,Nick Watney,80,284.4,222995,784
69,70,70,Rory Sabbatini,82,284.3,257010,904
70,71,71,Ryo Ishikawa,75,284.1,244925,862
71,72,72,Vijay Singh,83,284.0,301626,1062
72,73,73,John Peterson,62,283.9,217768,767
73,T74,T74,Martin Flores,85,283.4,268661,948
74,T74,T74,Webb Simpson,87,283.4,293631,1036
75,T76,T76,Brian Harman,111,282.9,398356,1408
76,T76,T76,David Lingmerth,80,282.9,263685,932
77,78,78,Ian Poulter,57,282.8,162322,574
78,79,79,Stewart Cink,91,282.6,283765,1004
79,T80,T80,Jason Dufner,57,282.5,166110,588
80,T80,T80,Brad Fritsch,50,282.5,153685,544
81,82,82,Sangmoon Bae,76,282.4,256664,909
82,T83,T83,Chris Kirk,105,282.3,340994,1208
83,T83,T83,Wes Roach,67,282.3,196749,697
84,T85,T85,Jeff Overton,80,282.2,259613,920
85,T85,T85,Camilo Villegas,95,282.2,330698,1172
