,Distance_to_Apex_RANK THIS WEEK,Distance_to_Apex_RANK LAST WEEK,Distance_to_Apex_PLAYER NAME,Distance_to_Apex_ROUNDS,Distance_to_Apex_AVG.,Distance_to_Apex_TOTAL APEX RANGE,Distance_to_Apex_TOTAL ATTEMPTS,Distance_to_Apex_LONGEST DIST. TO APEX,Distance_to_Apex_SHORTEST DIST. TO APEX
0,1,1,Bubba Watson,76,210.4,9889.8,47,225.4,194.3
1,2,2,Andrew Loupe,65,204.4,8789.3,43,217.0,162.8
2,3,3,Brooks Koepka,56,203.5,7732.0,38,221.0,184.0
3,4,4,Dustin Johnson,58,201.7,7865.3,39,211.6,182.3
4,T5,T5,Charlie Beljan,76,199.9,13990.5,70,214.0,178.7
5,T5,T5,Jhonattan Vegas,77,199.9,13191.4,66,218.5,171.1
6,7,7,Jason Kokrak,65,199.1,11351.1,57,213.5,153.3
7,8,8,Gary Woodland,93,198.8,12920.1,65,218.9,174.7
8,T9,T9,Graham DeLaet,80,198.1,10896.4,55,211.9,181.0
9,T9,T9,J.B. Holmes,86,198.1,12878.7,65,216.1,186.2
10,11,11,Henrik Stenson,56,198.0,5345.5,27,215.9,175.8
11,12,12,Sergio Garcia,61,197.5,6713.7,34,211.0,159.5
12,13,13,Jamie Lovemark,64,197.1,8671.8,44,213.4,180.5
13,14,14,Rory McIlroy,66,197.0,9258.3,47,222.4,161.5
14,15,15,Adam Scott,68,196.5,10220.1,52,218.3,169.2
15,16,16,Harris English,95,196.3,11977.2,61,209.4,178.3
16,17,17,Ángel Cabrera,69,196.2,12946.6,66,214.7,170.5
17,18,18,Hudson Swafford,75,196.0,10387.7,53,218.9,182.0
18,19,19,Charles Howell III,106,195.7,19374.0,99,215.0,171.2
19,20,20,Derek Ernst,80,195.6,11342.7,58,205.2,168.4
20,21,21,Robert Streb,75,195.0,13261.8,68,213.4,175.2
21,22,22,Ryan Palmer,85,194.9,12860.9,66,211.0,168.5
22,23,23,Rickie Fowler,91,194.8,12275.5,63,206.2,179.0
