,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
0,1,1,Bud Cauley,56,4,2,2
1,2,2,Hunter Mahan,88,6,3,3
2,3,3,Webb Simpson,87,9,8,1
3,4,4,Davis Love III,74,11,5,6
4,5,5,Mark Wilson,69,16,7,9
5,T6,T6,Ernie Els,85,28,22,6
6,T6,T6,Hideki Matsuyama,82,28,17,11
7,8,8,Ryan Palmer,85,30,6,24
8,T9,T9,Billy Horschel,92,32,8,24
9,T9,T9,Geoff Ogilvy,84,32,17,15
10,T11,T11,Zach Johnson,97,37,34,3
11,T11,T11,Josh Teater,90,37,15,22
12,13,13,Brian Davis,93,38,29,9
13,14,14,Morgan Hoffmann,103,39,12,27
14,15,15,Jordan Spieth,102,43,38,5
15,T16,T16,Ben Crane,81,48,19,29
16,T16,T16,Wes Roach,67,48,24,24
17,18,18,Will MacKenzie,82,49,20,29
18,19,19,Nicholas Thompson,85,53,34,19
19,20,20,Bill Haas,107,54,25,29
20,T21,T21,Jason Day,54,55,1,54
21,T21,T21,J.B. Holmes,86,55,10,45
22,T21,T21,Chris Kirk,105,55,20,35
23,24,24,Vijay Singh,83,58,13,45
24,T25,T25,Brian Harman,111,63,51,12
25,T25,T25,Heath Slocum,71,63,55,8
26,T25,T25,Tim Wilkinson,86,63,43,20
27,T28,T28,Dustin Johnson,58,64,22,42
28,T28,T28,Scott Stallings,77,64,16,48
29,30,30,Martin Laird,66,67,32,35
30,T31,T31,Jeff Maggert,54,69,51,18
31,T31,T31,Jimmy Walker,98,69,56,13
32,33,33,Sean O'Hair,77,71,4,67
33,34,34,Justin Rose,70,72,11,61
34,35,35,Brice Garnett,92,78,49,29
35,36,36,David Hearn,97,80,45,35
36,37,37,Bubba Watson,76,81,26,55
37,38,38,Ian Poulter,57,86,45,41
38,39,39,Jonas Blixt,64,87,67,20
39,T40,T40,Ryan Moore,86,92,78,14
40,T40,T40,Brandt Snedeker,89,92,37,55
41,42,42,Jamie Lovemark,64,93,29,64
42,43,43,Chris Stroud,88,97,70,27
43,44,44,Ben Curtis,77,99,66,33
44,45,45,Carl Pettersson,91,100,67,33
45,46,46,Richard Lee,80,103,40,63
46,47,47,David Lingmerth,80,104,31,73
47,48,48,Tim Clark,75,105,88,17
48,49,49,Brian Gay,81,108,86,22
49,50,50,Kevin Stadler,90,109,60,49
50,T51,T51,Roberto Castro,76,110,59,51
51,T51,T51,Louis Oosthuizen,50,110,75,35
52,53,53,Charley Hoffman,93,112,26,86
53,54,54,Tommy Gainey,73,113,60,53
54,T55,T55,Keegan Bradley,89,115,32,83
55,T55,T55,Bo Van Pelt,83,115,56,59
56,57,57,J.J. Henry,91,116,43,73
57,T58,T58,Scott Brown,100,117,70,47
58,T58,T58,Russell Henley,92,117,14,103
59,60,60,James Hahn,82,118,40,78
60,61,61,Robert Allenby,83,119,84,35
