,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Charles Howell III,106,-.093
1,2,2,Charl Schwartzel,64,-.092
2,T3,T3,Jhonattan Vegas,77,-.070
3,T3,T3,Bubba Watson,76,-.070
4,5,5,Rory McIlroy,66,-.066
5,6,6,Boo Weekley,73,-.060
6,7,7,Sergio Garcia,61,-.053
7,8,8,Heath Slocum,71,-.050
8,9,9,Jason Kokrak,65,-.043
9,10,10,Jamie Lovemark,64,-.037
10,11,11,Charley Hoffman,93,-.030
11,12,12,Brooks Koepka,56,-.024
12,13,13,Dustin Johnson,58,-.021
13,14,14,Hudson Swafford,75,-.019
14,15,15,Matt Jones,83,-.016
15,16,16,Ryan Palmer,85,-.013
16,T17,T17,Aaron Baddeley,74,-.011
17,T17,T17,Kevin Tway,64,-.011
18,19,19,Phil Mickelson,71,-.009
19,T20,T20,Matt Every,85,E
20,T20,T20,Ian Poulter,57,E
21,T22,T22,Ricky Barnes,92,+.006
22,T22,T22,Jimmy Walker,98,+.006
23,24,24,Chad Campbell,57,+.012
24,T25,T25,J.J. Henry,91,+.013
25,T25,T25,Troy Merritt,62,+.013
26,27,27,Brice Garnett,92,+.015
27,28,28,John Rollins,84,+.017
28,T29,T29,Bryce Molder,77,+.023
29,T29,T29,Willy Wilcox,51,+.023
30,31,31,Charlie Wi,72,+.027
31,32,32,Bill Haas,107,+.029
32,33,33,Martin Flores,85,+.030
33,34,34,Luke Guthrie,85,+.031
34,T35,T35,Zach Johnson,97,+.035
35,T35,T35,John Senden,99,+.035
36,T37,T37,Brendon de Jonge,109,+.038
37,T37,T37,Freddie Jacobson,91,+.038
38,39,39,Hideki Matsuyama,82,+.042
39,T40,T40,Retief Goosen,94,+.043
40,T40,T40,Shawn Stefani,60,+.043
41,T42,T42,Matt Kuchar,91,+.044
42,T42,T42,Justin Rose,70,+.044
43,44,44,Stewart Cink,91,+.046
44,45,45,Bronson La'Cassie,51,+.047
45,T46,T46,Kevin Na,94,+.050
46,T46,T46,Carl Pettersson,91,+.050
47,T46,T46,Andres Romero,81,+.050
48,T46,T46,Webb Simpson,87,+.050
49,T50,T50,Jerry Kelly,80,+.051
50,T50,T50,Daniel Summerhays,98,+.051
51,T52,T52,Marc Leishman,81,+.052
52,T52,T52,Andrew Loupe,65,+.052
53,T52,T52,Josh Teater,90,+.052
54,55,55,Brendon Todd,108,+.054
55,56,56,Brandt Snedeker,89,+.056
56,T57,T57,Adam Scott,68,+.057
57,T57,T57,Robert Streb,75,+.057
58,59,59,Kevin Chappell,100,+.058
59,60,60,Sangmoon Bae,76,+.061
60,61,61,Gary Woodland,93,+.062
61,T62,T62,Harris English,95,+.063
62,T62,T62,Kevin Kisner,85,+.063
63,T64,T64,Ben Martin,80,+.064
64,T64,T64,Jeff Overton,80,+.064
65,T66,T66,Robert Garrigus,80,+.065
66,T66,T66,Jim Herman,62,+.065
67,T68,T68,Brian Gay,81,+.066
68,T68,T68,Billy Horschel,92,+.066
69,T68,T68,Sean O'Hair,77,+.066
70,T71,T71,Jim Furyk,84,+.067
71,T71,T71,Vijay Singh,83,+.067
72,T73,T73,Russell Knox,92,+.068
73,T73,T73,Mark Wilson,69,+.068
74,75,75,Henrik Stenson,56,+.069
75,76,76,Scott Langley,95,+.070
76,T77,T77,Hunter Mahan,88,+.071
77,T77,T77,Cameron Tringale,111,+.071
78,T79,T79,Jonathan Byrd,76,+.073
79,T79,T79,Martin Laird,66,+.073
80,81,81,Chris Kirk,105,+.074
81,82,82,Y.E. Yang,79,+.075
82,T83,T83,Ángel Cabrera,69,+.076
83,T83,T83,Tyrone Van Aswegen,79,+.076
84,85,85,William McGirt,96,+.077
85,T86,T86,Robert Allenby,83,+.083
86,T86,T86,Graham DeLaet,80,+.083
87,T86,T86,Danny Lee,84,+.083
88,T86,T86,John Merrick,87,+.083
89,T90,T90,Patrick Reed,92,+.086
90,T90,T90,Bo Van Pelt,83,+.086
91,T92,T92,Charlie Beljan,76,+.090
92,T92,T92,Russell Henley,92,+.090
93,T92,T92,Brendan Steele,89,+.090
94,95,95,Trevor Immelman,84,+.092
95,T96,T96,Rickie Fowler,91,+.094
96,T96,T96,J.B. Holmes,86,+.094
97,T96,T96,Jim Renner,61,+.094
98,99,99,Seung-Yul Noh,92,+.095
99,100,100,Keegan Bradley,89,+.097
100,T101,T101,Ernie Els,85,+.098
101,T101,T101,James Hahn,82,+.098
102,103,103,Chris Stroud,88,+.100
103,T104,T104,Troy Matteson,62,+.102
104,T104,T104,"Ted Potter, Jr.",68,+.102
105,T106,T106,Roberto Castro,76,+.103
106,T106,T106,Brian Davis,93,+.103
107,T108,T108,Brad Fritsch,50,+.108
108,T108,T108,Michael Putnam,106,+.108
109,T110,T110,Justin Hicks,103,+.111
110,T110,T110,Mike Weir,69,+.111
111,T112,T112,Woody Austin,63,+.112
112,T112,T112,Steven Bowditch,93,+.112
113,114,114,Tommy Gainey,73,+.114
114,115,115,Ryo Ishikawa,75,+.116
115,T116,T116,Greg Chalmers,85,+.118
116,T116,T116,Tim Clark,75,+.118
117,118,118,Pat Perez,84,+.122
118,119,119,Graeme McDowell,66,+.123
119,120,120,Gonzalo Fernandez-Castaño,83,+.124
120,121,121,Andrew Svoboda,77,+.125
121,122,122,Jordan Spieth,102,+.126
122,T123,T123,Jonas Blixt,64,+.128
123,T123,T123,Geoff Ogilvy,84,+.128
124,T125,T125,Stuart Appleby,92,+.131
125,T125,T125,Scott Brown,100,+.131
126,127,127,Wes Roach,67,+.133
127,T128,T128,Brian Harman,111,+.134
128,T128,T128,Michael Thompson,74,+.134
129,130,130,Jeff Maggert,54,+.136
130,131,131,Ben Crane,81,+.137
131,132,132,Nick Watney,80,+.138
132,T133,T133,Jason Dufner,57,+.139
133,T133,T133,Morgan Hoffmann,103,+.139
134,T135,T135,Erik Compton,88,+.144
135,T135,T135,Justin Leonard,75,+.144
136,137,137,Kyle Stanley,87,+.145
137,138,138,Lee Westwood,57,+.147
138,T139,T139,Camilo Villegas,95,+.151
139,T139,T139,Tim Wilkinson,86,+.151
140,141,141,Bud Cauley,56,+.152
141,142,142,Richard Lee,80,+.153
142,T143,T143,Billy Hurley III,86,+.154
143,T143,T143,Johnson Wagner,69,+.154
144,145,145,Davis Love III,74,+.155
145,146,146,Chesson Hadley,84,+.156
146,147,147,David Lingmerth,80,+.158
147,148,148,Lucas Glover,68,+.159
148,149,149,Kevin Streelman,79,+.160
149,150,150,Kevin Stadler,90,+.164
150,151,151,George McNeill,79,+.165
151,T152,T152,Jason Bohn,81,+.167
152,T152,T152,Jason Day,54,+.167
153,154,154,Ryan Moore,86,+.168
154,155,155,Derek Ernst,80,+.170
155,T156,T156,Chad Collins,78,+.179
156,T156,T156,John Peterson,62,+.179
157,T158,T158,Ben Curtis,77,+.180
158,T158,T158,Brian Stuard,91,+.180
159,160,160,Rory Sabbatini,82,+.183
160,T161,T161,Briny Baird,50,+.184
161,T161,T161,K.J. Choi,80,+.184
162,T163,T163,Luke Donald,57,+.191
163,T163,T163,Spencer Levin,59,+.191
164,165,165,Will MacKenzie,82,+.194
165,166,166,Ken Duke,80,+.196
166,167,167,John Huh,87,+.198
167,168,168,James Driscoll,71,+.199
168,169,169,David Toms,64,+.200
169,170,170,D.H. Lee,54,+.205
170,171,171,David Hearn,97,+.208
171,172,172,Scott Stallings,77,+.221
172,173,173,D.A. Points,75,+.224
173,174,174,Paul Casey,56,+.235
174,175,175,Martin Kaymer,65,+.253
175,176,176,Nicholas Thompson,85,+.272
176,177,177,Louis Oosthuizen,50,+.284
