,Good_Drive_Percentage_RANK THIS WEEK,Good_Drive_Percentage_RANK LAST WEEK,Good_Drive_Percentage_PLAYER NAME,Good_Drive_Percentage_ROUNDS,Good_Drive_Percentage_%,Good_Drive_Percentage_# HIT,Good_Drive_Percentage_TOTAL ATTEMPTS
0,1,1,David Toms,64,89.13,771,865
1,2,2,Justin Hicks,103,89.05,1228,1379
2,3,3,Boo Weekley,73,87.51,883,1009
3,4,4,Jim Furyk,84,87.35,974,1115
4,5,5,Henrik Stenson,56,87.04,658,756
5,6,6,Heath Slocum,71,86.62,835,964
6,7,7,"Ted Potter, Jr.",68,86.47,818,946
7,T8,T8,Sergio Garcia,61,86.21,700,812
8,T8,T8,John Merrick,87,86.21,1000,1160
9,10,10,Daniel Summerhays,98,86.15,1176,1365
10,11,11,Jeff Maggert,54,85.94,648,754
11,12,12,Jhonattan Vegas,77,85.88,900,1048
12,13,13,Hunter Mahan,88,85.87,1021,1189
13,14,14,Andrew Svoboda,77,85.86,923,1075
14,15,15,Russell Knox,92,85.71,1098,1281
15,16,16,Ryan Moore,86,85.68,1011,1180
16,17,17,Ken Duke,80,85.5,932,1090
17,18,18,Billy Hurley III,86,85.43,1026,1201
18,19,19,Zach Johnson,97,85.36,1149,1346
19,20,20,Tim Clark,75,85.29,893,1047
20,T21,T21,Matt Kuchar,91,85.23,1050,1232
21,T21,T21,Bubba Watson,76,85.23,871,1022
22,23,23,Justin Rose,70,85.02,806,948
23,24,24,Kevin Chappell,100,84.84,1136,1339
24,T25,T25,Kevin Na,94,84.8,1110,1309
25,T25,T25,Kevin Streelman,79,84.8,926,1092
26,27,27,Kevin Stadler,90,84.79,1054,1243
27,T28,T28,Scott Brown,100,84.63,1184,1399
28,T28,T28,Billy Horschel,92,84.63,1068,1262
29,30,30,Jerry Kelly,80,84.55,941,1113
30,31,31,Shawn Stefani,60,84.52,710,840
31,32,32,Brian Stuard,91,84.51,1026,1214
32,T33,T33,David Hearn,97,84.48,1143,1353
33,T33,T33,Charley Hoffman,93,84.48,1094,1295
34,T35,T35,John Huh,87,84.47,979,1159
35,T35,T35,William McGirt,96,84.47,1131,1339
36,T35,T35,Nicholas Thompson,85,84.47,952,1127
37,38,38,Hudson Swafford,75,84.46,837,991
38,39,39,Chad Campbell,57,84.44,624,739
39,40,40,J.J. Henry,91,84.34,1023,1213
40,41,41,Stewart Cink,91,84.25,1070,1270
41,42,42,Danny Lee,84,84.23,940,1116
42,43,43,Kyle Stanley,87,84.21,976,1159
43,44,44,Graeme McDowell,66,84.2,730,867
44,45,45,Brendon de Jonge,109,84.17,1281,1522
45,T46,T46,Ben Martin,80,84.05,938,1116
46,T46,T46,Brendon Todd,108,84.05,1265,1505
47,48,48,John Peterson,62,83.97,702,836
48,49,49,Graham DeLaet,80,83.85,924,1102
49,50,50,Brian Davis,93,83.81,1087,1297
50,51,51,Lucas Glover,68,83.8,771,920
51,T52,T52,Briny Baird,50,83.79,584,697
52,T52,T52,Nick Watney,80,83.79,879,1049
53,54,54,Rory McIlroy,66,83.59,749,896
54,55,55,Will MacKenzie,82,83.52,953,1141
55,56,56,Adam Scott,68,83.47,798,956
56,57,57,Bill Haas,107,83.45,1225,1468
57,58,58,Mark Wilson,69,83.44,756,906
58,59,59,Bo Van Pelt,83,83.32,964,1157
59,60,60,Jonathan Byrd,76,83.23,834,1002
60,61,61,Charles Howell III,106,83.09,1228,1478
61,62,62,Jason Bohn,81,83.05,936,1127
62,63,63,Cameron Tringale,111,83.0,1284,1547
63,64,64,Ángel Cabrera,69,82.99,800,964
64,65,65,Robert Streb,75,82.88,823,993
65,66,66,Sangmoon Bae,76,82.86,880,1062
66,67,67,George McNeill,79,82.83,912,1101
67,68,68,Jim Herman,62,82.82,670,809
68,69,69,Jason Dufner,57,82.8,626,756
69,T70,T70,Charlie Beljan,76,82.75,830,1003
70,T70,T70,Willy Wilcox,51,82.75,566,684
71,72,72,Derek Ernst,80,82.63,880,1065
72,73,73,Michael Putnam,106,82.62,1174,1421
73,74,74,Paul Casey,56,82.61,646,782
74,75,75,Gary Woodland,93,82.58,1062,1286
75,76,76,Robert Allenby,83,82.46,931,1129
76,T77,T77,Keegan Bradley,89,82.44,1014,1230
77,T77,T77,Geoff Ogilvy,84,82.44,920,1116
78,79,79,Y.E. Yang,79,82.43,896,1087
79,80,80,Pat Perez,84,82.38,963,1169
80,81,81,Martin Kaymer,65,82.37,738,896
81,82,82,Carl Pettersson,91,82.35,1045,1269
82,83,83,Hideki Matsuyama,82,82.32,922,1120
83,84,84,Stuart Appleby,92,82.28,1031,1253
84,85,85,Ben Crane,81,82.27,928,1128
85,86,86,Wes Roach,67,82.23,722,878
86,87,87,Ryan Palmer,85,82.22,976,1187
87,88,88,Ben Curtis,77,82.2,836,1017
88,89,89,Harris English,95,82.19,1057,1286
89,90,90,D.H. Lee,54,82.16,571,695
90,91,91,Brendan Steele,89,82.15,976,1188
91,92,92,Michael Thompson,74,82.13,850,1035
92,93,93,Louis Oosthuizen,50,82.09,527,642
93,94,94,Brandt Snedeker,89,82.06,997,1215
94,95,95,Chris Stroud,88,82.05,1010,1231
95,96,96,Chris Kirk,105,82.04,1197,1459
96,T97,T97,James Hahn,82,82.03,913,1113
97,T97,T97,Russell Henley,92,82.03,1059,1291
98,T99,T99,Dustin Johnson,58,82.02,657,801
