,Launch_Angle_RANK THIS WEEK,Launch_Angle_RANK LAST WEEK,Launch_Angle_PLAYER NAME,Launch_Angle_ROUNDS,Launch_Angle_AVG.,Launch_Angle_TOTAL VERT. LAUNCH ANGLE,Launch_Angle_TOTAL ATTEMPTS,Launch_Angle_LOWEST LAUNCH ANGLE,Launch_Angle_STEEPEST LAUNCH ANGLE
0,1,1,Jeff Maggert,54,14.12,621.22,44,11.28,19.43
1,2,2,Mark Wilson,69,13.94,864.31,62,9.41,16.94
2,3,3,David Hearn,97,13.51,1242.88,92,9.73,16.67
3,4,4,Bud Cauley,56,13.41,657.27,49,10.07,17.33
4,5,5,David Toms,64,13.37,762.03,57,9.67,16.79
5,6,6,Nicholas Thompson,85,13.21,937.75,71,8.68,17.09
6,7,7,Sean O'Hair,77,13.19,817.89,62,7.88,17.04
7,8,8,Jason Day,54,13.07,365.95,28,10.52,16.32
8,9,9,Ben Crane,81,13.04,1108.75,85,9.65,16.46
9,10,10,Zach Johnson,97,12.99,1182.24,91,9.94,16.6
10,11,11,Tim Clark,75,12.96,855.16,66,11.04,15.5
11,12,12,Danny Lee,84,12.92,865.97,67,8.42,16.65
12,13,13,Phil Mickelson,71,12.88,644.14,50,9.11,17.0
13,14,14,Will MacKenzie,82,12.81,1025.01,80,9.55,18.42
14,15,15,Jonas Blixt,64,12.79,486.11,38,10.35,15.37
15,16,16,Charley Hoffman,93,12.77,1059.71,83,9.21,17.76
16,17,17,Morgan Hoffmann,103,12.75,1160.27,91,4.0,16.15
17,18,18,Davis Love III,74,12.72,725.23,57,9.36,16.81
18,19,19,Chris Kirk,105,12.7,1079.67,85,8.2,17.16
19,20,20,Hunter Mahan,88,12.63,985.08,78,7.57,15.97
20,21,21,Heath Slocum,71,12.61,807.33,64,8.71,16.5
21,22,22,Ernie Els,85,12.57,817.28,65,8.31,17.05
22,23,23,Brian Davis,93,12.56,1155.81,92,10.07,15.58
23,T24,T24,Brian Gay,81,12.47,810.63,65,8.03,15.82
24,T24,T24,James Hahn,82,12.47,910.05,73,8.48,16.54
25,26,26,Webb Simpson,87,12.43,907.52,73,8.49,17.9
26,27,27,Vijay Singh,83,12.4,905.08,73,8.23,19.05
27,28,28,Jamie Lovemark,64,12.38,544.62,44,9.22,15.62
28,29,29,J.B. Holmes,86,12.33,813.93,66,7.59,18.08
29,T30,T30,Tommy Gainey,73,12.22,745.37,61,9.5,16.52
30,T30,T30,Chesson Hadley,84,12.22,977.58,80,8.01,16.53
31,32,32,Troy Matteson,62,12.11,605.43,50,8.45,17.3
32,T33,T33,John Huh,87,12.06,856.44,71,9.49,15.57
33,T33,T33,Tim Wilkinson,86,12.06,940.68,78,8.58,16.08
34,35,35,Ryan Palmer,85,12.03,818.02,68,9.6,14.84
35,36,36,Hideki Matsuyama,82,12.02,805.47,67,8.39,15.61
36,T37,T37,Wes Roach,67,12.01,648.29,54,8.24,16.24
37,T37,T37,Justin Rose,70,12.01,648.58,54,8.46,16.01
38,39,39,Carl Pettersson,91,11.99,1090.82,91,8.19,17.33
39,T40,T40,Keegan Bradley,89,11.96,777.31,65,7.7,14.92
40,T40,T40,Louis Oosthuizen,50,11.96,322.9,27,7.49,15.12
41,42,42,Matt Kuchar,91,11.94,943.17,79,8.05,15.33
42,T43,T43,Robert Allenby,83,11.93,763.26,64,8.18,16.72
43,T43,T43,D.H. Lee,54,11.93,584.36,49,8.75,16.44
44,45,45,Retief Goosen,94,11.91,1048.15,88,7.3,17.91
45,46,46,Jerry Kelly,80,11.84,840.45,71,9.18,15.24
46,47,47,Richard Lee,80,11.78,812.48,69,8.15,16.62
47,T48,T48,Ben Curtis,77,11.77,824.0,70,9.08,18.31
48,T48,T48,Graham DeLaet,80,11.77,647.58,55,8.2,16.1
