,Carry_Distance_RANK THIS WEEK,Carry_Distance_RANK LAST WEEK,Carry_Distance_PLAYER NAME,Carry_Distance_ROUNDS,Carry_Distance_AVG.,Carry_Distance_TOTAL DIST. TO IMPACT,Carry_Distance_TOTAL ATTEMPTS,Carry_Distance_LONGEST CARRY DISTANCE,Carry_Distance_SHORTEST CARRY DISTANCE
0,1,1,Bubba Watson,76,305.0,11591.5,38,336.6,282.1
1,2,2,Dustin Johnson,58,299.6,7490.6,25,323.6,274.3
2,3,3,Jason Day,54,298.8,5975.3,20,335.9,268.3
3,4,4,Andrew Loupe,65,298.1,9242.6,31,329.3,244.4
4,5,5,J.B. Holmes,86,297.7,15482.1,52,347.3,258.2
5,6,6,Rory McIlroy,66,296.1,10954.7,37,342.7,244.8
6,7,7,Brooks Koepka,56,296.0,9471.9,32,321.7,263.7
7,T8,T8,Graham DeLaet,80,294.2,14710.1,50,324.8,251.1
8,T8,T8,Jamie Lovemark,64,294.2,11768.2,40,330.9,263.6
9,10,10,Ryan Palmer,85,293.5,16728.2,57,343.2,250.3
10,11,11,Gary Woodland,93,293.0,16116.1,55,330.1,261.1
11,12,12,Charlie Beljan,76,292.7,16389.9,56,320.9,261.7
12,13,13,Jhonattan Vegas,77,291.1,16886.2,58,314.0,253.3
13,14,14,Sean O'Hair,77,290.7,14534.0,50,323.7,256.8
14,15,15,Robert Garrigus,80,290.5,16270.1,56,313.0,249.9
15,16,16,Jason Kokrak,65,290.1,13636.3,47,321.8,251.5
16,17,17,Rickie Fowler,91,288.9,16177.1,56,322.4,241.6
17,18,18,Scott Stallings,77,288.7,14434.1,50,326.7,269.4
18,19,19,Harris English,95,288.5,16443.6,57,313.8,240.1
19,20,20,Ángel Cabrera,69,288.1,15846.0,55,319.9,246.4
20,21,21,Charles Howell III,106,288.0,25345.5,88,332.1,248.0
21,T22,T22,Keegan Bradley,89,287.6,14952.6,52,307.3,250.0
22,T22,T22,Davis Love III,74,287.6,13515.7,47,320.1,257.5
23,24,24,Charley Hoffman,93,287.2,20967.7,73,323.0,246.4
24,25,25,Henrik Stenson,56,287.0,6026.4,21,311.6,264.2
25,26,26,Brendan Steele,89,286.6,17198.2,60,316.5,256.3
26,27,27,Hudson Swafford,75,286.2,13739.5,48,329.8,248.2
27,28,28,Phil Mickelson,71,285.5,9420.7,33,305.9,259.7
28,29,29,Jimmy Walker,98,285.3,14836.3,52,316.5,249.8
29,30,30,Adam Scott,68,285.2,11410.0,40,328.6,249.1
30,31,31,Seung-Yul Noh,92,285.0,16244.5,57,309.3,235.6
31,T32,T32,Matt Jones,83,284.9,15099.6,53,311.4,249.0
32,T32,T32,Robert Streb,75,284.9,15102.0,53,342.4,251.6
33,34,34,Derek Ernst,80,284.8,13669.3,48,317.8,254.2
34,35,35,Willy Wilcox,51,284.6,9107.3,32,325.5,230.3
35,36,36,Justin Rose,70,284.5,12235.0,43,316.6,258.2
36,37,37,Kyle Stanley,87,283.9,17598.8,62,316.4,247.5
37,38,38,Billy Horschel,92,283.7,16169.4,57,324.6,250.7
38,39,39,Russell Henley,92,283.6,18716.0,66,321.1,258.1
39,T40,T40,Morgan Hoffmann,103,283.4,21820.7,77,318.1,244.4
40,T40,T40,Martin Laird,66,283.4,10770.8,38,307.7,249.7
41,42,42,Aaron Baddeley,74,283.3,13600.7,48,319.4,253.8
42,T43,T43,Marc Leishman,81,282.9,16972.9,60,324.2,252.2
43,T43,T43,Nick Watney,80,282.9,12165.4,43,309.9,256.2
44,45,45,Hideki Matsuyama,82,282.8,16966.5,60,314.0,256.7
45,46,46,Hunter Mahan,88,282.7,20074.1,71,311.5,252.9
46,47,47,Josh Teater,90,282.5,20340.8,72,312.8,244.6
47,T48,T48,Sergio Garcia,61,282.2,7055.7,25,310.2,252.6
48,T48,T48,Geoff Ogilvy,84,282.2,17213.9,61,314.3,247.0
49,50,50,Bud Cauley,56,281.7,12113.7,43,312.7,250.1
50,51,51,Patrick Reed,92,281.1,15178.7,54,309.6,249.9
