,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Sergio Garcia,61,-.096
1,2,2,Daniel Summerhays,98,-.051
2,3,3,Ángel Cabrera,69,-.030
3,4,4,Jason Kokrak,65,-.024
4,5,5,Justin Rose,70,-.022
5,6,6,Adam Scott,68,-.008
6,T7,T7,Andrew Loupe,65,-.007
7,T7,T7,Jamie Lovemark,64,-.007
8,T9,T9,Charley Hoffman,93,-.006
9,T9,T9,Rory Sabbatini,82,-.006
10,T11,T11,Paul Casey,56,E
11,T11,T11,Phil Mickelson,71,E
12,T13,T13,Brian Davis,93,+.008
13,T13,T13,Brian Stuard,91,+.008
14,15,15,Brooks Koepka,56,+.011
15,16,16,J.B. Holmes,86,+.018
16,T17,T17,Justin Hicks,103,+.022
17,T17,T17,Webb Simpson,87,+.022
18,T19,T19,Geoff Ogilvy,84,+.025
19,T19,T19,Robert Streb,75,+.025
20,T21,T21,Hideki Matsuyama,82,+.027
21,T21,T21,Ryan Palmer,85,+.027
22,23,23,Jimmy Walker,98,+.028
23,T24,T24,Freddie Jacobson,91,+.029
24,T24,T24,Mike Weir,69,+.029
25,26,26,Rory McIlroy,66,+.030
26,T27,T27,Jonas Blixt,64,+.033
27,T27,T27,Henrik Stenson,56,+.033
28,T29,T29,Keegan Bradley,89,+.039
29,T29,T29,Kevin Na,94,+.039
30,T31,T31,Brad Fritsch,50,+.041
31,T31,T31,Ryan Moore,86,+.041
32,33,33,Bronson La'Cassie,51,+.042
33,34,34,Pat Perez,84,+.045
34,35,35,Andres Romero,81,+.050
35,T36,T36,Jason Day,54,+.051
36,T36,T36,Matt Kuchar,91,+.051
37,T36,T36,Jeff Maggert,54,+.051
38,39,39,Kevin Stadler,90,+.052
39,40,40,Seung-Yul Noh,92,+.054
40,41,41,Davis Love III,74,+.055
41,T42,T42,Kevin Chappell,100,+.056
42,T42,T42,Tim Wilkinson,86,+.056
43,T44,T44,Stewart Cink,91,+.057
44,T44,T44,Luke Guthrie,85,+.057
45,T44,T44,Chris Kirk,105,+.057
46,47,47,Bubba Watson,76,+.058
47,T48,T48,Graham DeLaet,80,+.060
48,T48,T48,George McNeill,79,+.060
49,T48,T48,Vijay Singh,83,+.060
50,T51,T51,Bud Cauley,56,+.061
51,T51,T51,Martin Flores,85,+.061
52,T51,T51,Dustin Johnson,58,+.061
53,T51,T51,Scott Stallings,77,+.061
54,55,55,Y.E. Yang,79,+.065
55,T56,T56,Retief Goosen,94,+.066
56,T56,T56,Carl Pettersson,91,+.066
57,58,58,Sangmoon Bae,76,+.067
58,T59,T59,Ricky Barnes,92,+.068
59,T59,T59,Erik Compton,88,+.068
