,Fairway_Bunker_Tendency_RANK THIS WEEK,Fairway_Bunker_Tendency_RANK LAST WEEK,Fairway_Bunker_Tendency_PLAYER NAME,Fairway_Bunker_Tendency_ROUNDS,Fairway_Bunker_Tendency_%,Fairway_Bunker_Tendency_TOTAL FAIRWAY BUNKERS,Fairway_Bunker_Tendency_POSSIBLE FWYS,Fairway_Bunker_Tendency_RELATIVE TO PAR
0,1,1,Justin Hicks,103,3.4,42,1253,0.28600000000000003
1,2,2,Heath Slocum,71,3.6,31,867,0.258
2,T3,T3,Tim Clark,75,3.7,32,862,0.375
3,T3,T3,"Ted Potter, Jr.",68,3.7,31,834,0.129
4,5,5,David Toms,64,4.1,31,750,0.09699999999999999
5,6,6,John Huh,87,4.2,41,975,0.244
6,T7,T7,Brian Davis,93,4.3,48,1123,0.063
7,T7,T7,D.H. Lee,54,4.3,27,626,0.40700000000000003
8,T9,T9,Ken Duke,80,4.6,42,921,0.214
9,T9,T9,Bo Van Pelt,83,4.6,43,931,0.163
10,T11,T11,Dustin Johnson,58,4.7,27,573,0.259
11,T11,T11,Kevin Na,94,4.7,51,1078,0.17600000000000002
12,T13,T13,Ángel Cabrera,69,4.8,40,842,0.1
13,T13,T13,Henrik Stenson,56,4.8,25,526,0.2
14,T13,T13,Kevin Streelman,79,4.8,40,836,0.275
15,T16,T16,Jason Day,54,4.9,22,450,0.045
16,T16,T16,Zach Johnson,97,4.9,58,1174,0.345
17,T16,T16,Spencer Levin,59,4.9,34,691,-0.08800000000000001
18,T16,T16,Michael Putnam,106,4.9,62,1255,0.40299999999999997
19,T16,T16,Bubba Watson,76,4.9,38,776,0.237
20,T21,T21,Brendon de Jonge,109,5.0,64,1277,0.391
21,T21,T21,Scott Langley,95,5.0,55,1091,0.218
22,T23,T23,Jim Furyk,84,5.1,47,918,0.106
23,T23,T23,Brian Gay,81,5.1,45,875,0.267
24,T23,T23,Jamie Lovemark,64,5.1,33,647,0.485
25,T23,T23,Will MacKenzie,82,5.1,51,1006,0.314
26,T27,T27,Chad Collins,78,5.2,44,842,0.22699999999999998
27,T27,T27,Martin Laird,66,5.2,40,766,0.1
28,T27,T27,Webb Simpson,87,5.2,53,1026,0.245
29,T27,T27,Shawn Stefani,60,5.2,41,793,0.244
30,T27,T27,Willy Wilcox,51,5.2,29,559,0.31
31,T32,T32,Ben Curtis,77,5.3,47,885,0.191
32,T32,T32,Jim Herman,62,5.3,35,665,0.28600000000000003
33,T32,T32,Billy Hurley III,86,5.3,53,1003,0.28300000000000003
34,T32,T32,Daniel Summerhays,98,5.3,65,1226,0.2
35,T36,T36,Ben Crane,81,5.4,58,1078,0.172
36,T36,T36,Brad Fritsch,50,5.4,29,539,0.207
37,T36,T36,Bronson La'Cassie,51,5.4,27,498,0.14800000000000002
38,T36,T36,Jeff Maggert,54,5.4,33,612,0.152
39,T40,T40,Russell Henley,92,5.5,57,1040,0.228
40,T40,T40,William McGirt,96,5.5,64,1168,0.172
