,Carry_Efficiency_RANK THIS WEEK,Carry_Efficiency_RANK LAST WEEK,Carry_Efficiency_PLAYER NAME,Carry_Efficiency_ROUNDS,Carry_Efficiency_AVG.,Carry_Efficiency_AVERAGE CARRY DIST. YARDS,Carry_Efficiency_AVERAGE CLUB HEAD SPEED,Carry_Efficiency_TOTAL ATTEMPTS,Carry_Efficiency_HIGHEST CARRY EFFICIENCY
0,1,1,Jason Day,54,2.548,298.8,117.255,20,2.847
1,2,2,Bud Cauley,56,2.519,281.7,111.815,43,2.77
2,3,3,Hunter Mahan,88,2.517,282.7,112.34299999999999,71,2.7710000000000004
3,4,4,Sean O'Hair,77,2.509,290.7,115.867,50,2.803
4,5,5,Davis Love III,74,2.508,287.6,114.682,47,2.792
5,6,6,Ryan Palmer,85,2.505,293.5,117.156,57,2.8960000000000004
6,7,7,Mark Wilson,69,2.503,267.4,106.825,53,2.765
7,T8,T8,Billy Horschel,92,2.498,283.7,113.56200000000001,57,2.801
8,T8,T8,Webb Simpson,87,2.498,277.6,111.148,65,2.694
9,10,10,J.B. Holmes,86,2.4930000000000003,297.7,119.439,52,2.8960000000000004
10,11,11,Justin Rose,70,2.484,284.5,114.544,43,2.7
11,12,12,Morgan Hoffmann,103,2.483,283.4,114.13799999999999,77,2.779
12,13,13,Vijay Singh,83,2.481,276.6,111.515,62,2.742
13,14,14,Russell Henley,92,2.48,283.6,114.35799999999999,66,2.8139999999999996
14,15,15,Josh Teater,90,2.478,282.5,114.014,72,2.745
15,16,16,Scott Stallings,77,2.477,288.7,116.544,50,2.7760000000000002
16,T17,T17,Hideki Matsuyama,82,2.476,282.8,114.20299999999999,60,2.775
17,T17,T17,Geoff Ogilvy,84,2.476,282.2,113.964,61,2.7460000000000004
18,19,19,Ben Crane,81,2.474,263.7,106.568,78,2.668
19,T20,T20,Chris Kirk,105,2.4730000000000003,275.8,111.51100000000001,67,2.715
20,T20,T20,Will MacKenzie,82,2.4730000000000003,276.7,111.885,72,2.677
21,T22,T22,Ernie Els,85,2.472,277.0,112.053,56,2.74
22,T22,T22,Dustin Johnson,58,2.472,299.6,121.18299999999999,25,2.657
23,24,24,Wes Roach,67,2.471,276.7,111.98299999999999,42,2.7260000000000004
24,25,25,Bill Haas,107,2.47,280.3,113.51799999999999,71,2.725
25,T26,T26,Charley Hoffman,93,2.467,287.2,116.42399999999999,73,2.759
26,T26,T26,Bubba Watson,76,2.467,305.0,123.639,38,2.705
27,28,28,Phil Mickelson,71,2.465,285.5,115.816,33,2.6289999999999996
28,T29,T29,Brian Davis,93,2.464,262.3,106.45,83,2.668
29,T29,T29,Jamie Lovemark,64,2.464,294.2,119.40899999999999,40,2.7430000000000003
30,31,31,David Lingmerth,80,2.461,276.0,112.164,59,2.719
31,T32,T32,Keegan Bradley,89,2.46,287.6,116.897,52,2.622
32,T32,T32,Martin Laird,66,2.46,283.4,115.21,38,2.679
33,T34,T34,Zach Johnson,97,2.459,264.9,107.74799999999999,88,2.7030000000000003
34,T34,T34,Nicholas Thompson,85,2.459,272.7,110.87799999999999,62,2.889
35,36,36,Graham DeLaet,80,2.458,294.2,119.689,50,2.7039999999999997
36,37,37,Brandt Snedeker,89,2.457,270.7,110.195,61,2.693
37,T38,T38,Jordan Spieth,102,2.454,273.9,111.60799999999999,71,2.7310000000000003
38,T38,T38,Kyle Stanley,87,2.454,283.9,115.677,62,2.695
39,T40,T40,James Hahn,82,2.4530000000000003,278.0,113.355,61,2.645
40,T40,T40,Richard Lee,80,2.4530000000000003,272.3,110.98100000000001,61,2.6689999999999996
41,42,42,Rickie Fowler,91,2.451,288.9,117.85600000000001,56,2.682
42,T43,T43,J.J. Henry,91,2.45,278.7,113.726,67,2.603
43,T43,T43,Tim Wilkinson,86,2.45,264.2,107.84299999999999,63,2.679
44,T45,T45,David Hearn,97,2.447,264.0,107.928,83,2.615
45,T45,T45,Ian Poulter,57,2.447,274.3,112.072,37,2.608
46,T47,T47,Brendan Steele,89,2.4459999999999997,286.6,117.17399999999999,60,2.694
47,T47,T47,David Toms,64,2.4459999999999997,254.2,103.9,53,2.625
48,T49,T49,Brad Fritsch,50,2.445,278.2,113.78,32,2.676
49,T49,T49,Brice Garnett,92,2.445,272.8,111.556,72,2.8289999999999997
50,T51,T51,Brian Harman,111,2.444,268.8,110.01299999999999,96,2.6430000000000002
51,T51,T51,Jeff Maggert,54,2.444,256.7,105.024,41,2.6319999999999997
52,53,53,Andrew Loupe,65,2.443,298.1,122.035,31,2.653
53,54,54,D.H. Lee,54,2.4419999999999997,262.3,107.42,40,2.673
54,55,55,Heath Slocum,71,2.441,257.1,105.351,58,2.659
55,T56,T56,Tyrone Van Aswegen,79,2.439,280.7,115.09100000000001,40,2.656
56,T56,T56,Bo Van Pelt,83,2.439,275.9,113.12200000000001,62,2.6910000000000003
57,T56,T56,Jimmy Walker,98,2.439,285.3,116.985,52,2.662
58,59,59,Roberto Castro,76,2.438,267.9,109.914,55,2.6439999999999997
59,T60,T60,Ángel Cabrera,69,2.437,288.1,118.235,55,2.694
60,T60,T60,Tommy Gainey,73,2.437,277.2,113.775,52,2.6239999999999997
61,T60,T60,D.A. Points,75,2.437,270.5,110.99700000000001,42,2.6660000000000004
62,T60,T60,Kevin Stadler,90,2.437,277.4,113.83200000000001,57,2.6239999999999997
63,64,64,Rory McIlroy,66,2.436,296.1,121.53299999999999,37,2.765
