,Driving_Pct.__240_All_Drives_RANK THIS WEEK,Driving_Pct.__240_All_Drives_RANK LAST WEEK,Driving_Pct.__240_All_Drives_PLAYER NAME,Driving_Pct.__240_All_Drives_ROUNDS,Driving_Pct.__240_All_Drives_%,Driving_Pct.__240_All_Drives_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct.__240_All_Drives_RELATIVE TO PAR
0,1,1,Mike Weir,69,11.37,84,739,+0.476
1,2,2,Briny Baird,50,11.16,70,627,+0.243
2,3,3,Michael Thompson,74,10.24,86,840,+0.093
3,4,4,Luke Donald,57,9.64,59,612,+0.051
4,5,5,Ken Duke,80,9.32,86,923,+0.140
5,6,6,Brian Gay,81,9.07,80,882,+0.275
6,7,7,Scott Langley,95,9.0,99,1100,+0.162
7,8,8,Aaron Baddeley,74,8.99,74,823,+0.270
8,9,9,Justin Leonard,75,8.93,77,862,+0.286
9,10,10,Jim Furyk,84,8.91,82,920,-0.098
10,11,11,Graeme McDowell,66,8.7,56,644,-0.018
11,12,12,Woody Austin,63,8.65,69,798,+0.275
12,13,13,Bryce Molder,77,8.52,76,892,+0.158
13,14,14,Spencer Levin,59,8.33,58,696,+0.207
14,15,15,Y.E. Yang,79,8.24,70,849,+0.243
15,16,16,Trevor Immelman,84,8.11,76,937,+0.237
16,17,17,Chad Collins,78,8.02,68,848,+0.221
17,18,18,Gonzalo Fernandez-Castaño,83,7.97,77,966,+0.325
18,19,19,John Rollins,84,7.91,74,935,+0.365
19,20,20,"Ted Potter, Jr.",68,7.9,66,835,+0.136
20,21,21,Chesson Hadley,84,7.89,78,989,+0.269
21,22,22,James Driscoll,71,7.82,63,806,+0.333
22,23,23,Richard Lee,80,7.76,66,851,+0.167
23,24,24,Brandt Snedeker,89,7.7,71,922,+0.239
24,25,25,D.H. Lee,54,7.67,48,626,+0.458
25,26,26,Roberto Castro,76,7.54,62,822,+0.113
26,27,27,Jason Bohn,81,7.48,76,1016,+0.303
27,28,28,Tim Clark,75,7.4,64,865,+0.313
28,29,29,Brian Stuard,91,7.27,75,1032,+0.093
29,T30,T30,Jonathan Byrd,76,7.19,65,904,+0.246
30,T30,T30,James Hahn,82,7.19,73,1016,+0.137
31,32,32,Ben Curtis,77,7.18,64,891,+0.188
32,33,33,George McNeill,79,7.17,70,976,+0.014
33,34,34,John Merrick,87,7.16,72,1006,+0.181
34,T35,T35,David Hearn,97,7.09,81,1143,-0.123
35,T35,T35,Russell Knox,92,7.09,82,1156,-0.024
36,T35,T35,Pat Perez,84,7.09,74,1044,+0.176
37,T38,T38,Matt Every,85,7.08,64,904,+0.266
38,T38,T38,Jerry Kelly,80,7.08,65,918,+0.169
39,40,40,K.J. Choi,80,7.07,66,934,+0.136
40,41,41,Jason Kokrak,65,6.95,59,849,E
41,42,42,Michael Putnam,106,6.94,88,1268,+0.193
42,43,43,Johnson Wagner,69,6.93,56,808,+0.179
43,44,44,Stuart Appleby,92,6.92,81,1170,+0.198
44,45,45,David Toms,64,6.91,52,753,+0.058
45,46,46,Paul Casey,56,6.84,42,614,+0.071
46,T47,T47,Ben Crane,81,6.81,74,1086,+0.095
47,T47,T47,Retief Goosen,94,6.81,74,1087,+0.176
48,49,49,Derek Ernst,80,6.8,60,883,+0.217
49,T50,T50,Robert Allenby,83,6.77,66,975,+0.091
50,T50,T50,Billy Hurley III,86,6.77,68,1005,+0.059
51,T50,T50,Seung-Yul Noh,92,6.77,71,1048,+0.056
52,T53,T53,John Huh,87,6.75,66,978,+0.061
53,T53,T53,Jim Renner,61,6.75,49,726,+0.204
54,T55,T55,D.A. Points,75,6.74,52,772,+0.154
55,T55,T55,Wes Roach,67,6.74,47,697,+0.319
56,T55,T55,Brendan Steele,89,6.74,66,979,+0.045
57,T58,T58,Ricky Barnes,92,6.71,73,1088,+0.137
58,T58,T58,Chris Kirk,105,6.71,81,1208,+0.111
59,60,60,Robert Garrigus,80,6.69,68,1017,+0.191
60,61,61,Bo Van Pelt,83,6.64,62,934,+0.145
61,62,62,Lucas Glover,68,6.56,43,655,+0.163
62,T63,T63,Chad Campbell,57,6.54,42,642,+0.119
63,T63,T63,Sean O'Hair,77,6.54,61,933,+0.213
64,T63,T63,Mark Wilson,69,6.54,52,795,+0.077
65,66,66,Shawn Stefani,60,6.52,52,798,+0.154
66,67,67,Ben Martin,80,6.48,57,879,+0.175
67,68,68,Tim Wilkinson,86,6.45,64,993,+0.172
68,69,69,Ryan Moore,86,6.42,56,872,+0.036
69,70,70,Greg Chalmers,85,6.39,65,1017,+0.108
70,71,71,Ryo Ishikawa,75,6.38,55,862,+0.145
71,T72,T72,Freddie Jacobson,91,6.29,71,1128,+0.155
72,T72,T72,Charlie Wi,72,6.29,57,906,+0.123
73,74,74,Graham DeLaet,80,6.28,56,892,-0.143
74,75,75,Brad Fritsch,50,6.25,34,544,+0.206
75,76,76,Camilo Villegas,95,6.23,73,1172,+0.151
76,77,77,Adam Scott,68,6.22,49,788,+0.061
77,78,78,Tyrone Van Aswegen,79,6.17,56,908,+0.232
78,T79,T79,Chris Stroud,88,6.16,62,1007,+0.113
79,T79,T79,Nicholas Thompson,85,6.16,60,974,+0.200
80,81,81,Charlie Beljan,76,6.1,57,934,+0.263
81,82,82,Kevin Tway,64,6.09,40,657,+0.175
82,83,83,Brendon Todd,108,6.07,77,1268,+0.208
83,84,84,Marc Leishman,81,6.03,58,962,+0.121
84,85,85,Kevin Na,94,5.99,65,1086,+0.092
85,86,86,Stewart Cink,91,5.98,60,1004,+0.233
86,87,87,William McGirt,96,5.97,70,1172,+0.114
87,88,88,Josh Teater,90,5.94,62,1044,+0.097
88,89,89,Hudson Swafford,75,5.93,48,810,+0.146
89,90,90,Martin Flores,85,5.91,56,948,+0.125
90,91,91,Davis Love III,74,5.82,51,876,+0.137
91,92,92,David Lingmerth,80,5.79,54,932,+0.074
92,93,93,Tommy Gainey,73,5.75,48,835,+0.125
93,94,94,Cameron Tringale,111,5.71,78,1366,+0.154
94,95,95,Charl Schwartzel,64,5.69,43,756,+0.186
95,96,96,John Senden,99,5.67,64,1128,+0.078
96,97,97,Brooks Koepka,56,5.63,33,586,+0.091
97,T98,T98,Sangmoon Bae,76,5.61,51,909,+0.059
98,T98,T98,J.J. Henry,91,5.61,61,1088,+0.197
99,100,100,Brian Davis,93,5.58,63,1130,+0.270
100,101,101,Bronson La'Cassie,51,5.57,28,503,+0.143
101,102,102,Willy Wilcox,51,5.55,31,559,+0.032
