,Apex_Height_RANK THIS WEEK,Apex_Height_RANK LAST WEEK,Apex_Height_PLAYER NAME,Apex_Height_ROUNDS,Apex_Height_AVG.,Apex_Height_TOTAL APEX HEIGHT,Apex_Height_TOTAL ATTEMPTS,Apex_Height_HIGHEST APEX POINT,Apex_Height_LOWEST APEX POINT
0,1,1,Jamie Lovemark,64,"126' 1""","5548' 1""",44,"158' 3""","90' 1"""
1,2,2,Jason Day,54,"124' 11""","3498' 1""",28,"155' 3""","91' 5"""
2,3,3,Andrew Loupe,65,"123' 1""","5293' 1""",43,"161' 8""","69' 7"""
3,4,4,Rickie Fowler,91,"123' 0""","7749' 2""",63,"153' 3""","83' 4"""
4,5,5,Charley Hoffman,93,"122' 10""","9949' 2""",81,"155' 5""","84' 0"""
5,6,6,J.B. Holmes,86,"121' 6""","7897' 3""",65,"162' 11""","81' 8"""
6,7,7,Graham DeLaet,80,"120' 10""","6644' 0""",55,"161' 3""","93' 6"""
7,8,8,Bud Cauley,56,"118' 8""","5576' 3""",47,"156' 2""","91' 8"""
8,T9,T9,Keegan Bradley,89,"117' 7""","7408' 2""",63,"146' 3""","94' 11"""
9,T9,T9,Ángel Cabrera,69,"117' 7""","7759' 4""",66,"177' 4""","64' 4"""
10,T9,T9,Brooks Koepka,56,"117' 7""",4468',38,"162' 11""","69' 1"""
11,12,12,Hudson Swafford,75,"117' 0""","6200' 3""",53,"147' 6""","87' 1"""
12,13,13,Bubba Watson,76,"116' 7""","5480' 0""",47,"170' 10""","64' 5"""
13,14,14,Sean O'Hair,77,"115' 11""","6839' 0""",59,"154' 4""","68' 4"""
14,15,15,Kyle Stanley,87,"115' 2""",8520',74,"159' 10""","69' 6"""
15,16,16,James Hahn,82,"114' 10""","7924' 4""",69,"168' 3""","80' 0"""
16,17,17,Dustin Johnson,58,"114' 7""","4469' 8""",39,"148' 9""","74' 4"""
17,18,18,Will MacKenzie,82,"114' 4""","9033' 6""",79,"145' 6""","83' 4"""
18,19,19,Phil Mickelson,71,"114' 1""","5361' 2""",47,"139' 1""","90' 0"""
19,20,20,Ryan Palmer,85,"113' 6""","7490' 4""",66,"159' 1""","78' 1"""
20,21,21,Josh Teater,90,"112' 11""","8693' 3""",77,"164' 2""","78' 5"""
21,22,22,Troy Matteson,62,"112' 9""","5410' 2""",48,"158' 7""","61' 4"""
22,23,23,Hunter Mahan,88,"112' 8""","8674' 6""",77,"150' 3""","78' 11"""
23,24,24,Geoff Ogilvy,84,"112' 1""","7845' 0""",70,"145' 3""","83' 1"""
24,25,25,Jimmy Walker,98,"111' 4""","7350' 0""",66,"156' 11""","51' 8"""
25,T26,T26,Rory McIlroy,66,"111' 2""","5224' 1""",47,"148' 0""","50' 0"""
26,T26,T26,Mark Wilson,69,"111' 2""",6891',62,"133' 10""","79' 10"""
27,28,28,Davis Love III,74,"110' 9""","5981' 0""",54,"139' 10""","85' 8"""
28,29,29,Morgan Hoffmann,103,"110' 2""",9695',88,"154' 2""","62' 0"""
29,30,30,Bill Haas,107,"110' 1""","8807' 1""",80,"143' 10""","69' 0"""
30,31,31,Justin Rose,70,"110' 0""","5722' 0""",52,"142' 5""","76' 3"""
31,32,32,Robert Garrigus,80,"109' 11""","7255' 7""",66,"154' 8""","48' 5"""
32,33,33,Marc Leishman,81,"109' 7""","7344' 1""",67,"163' 10""","65' 7"""
33,34,34,Nicholas Thompson,85,"109' 6""","7556' 8""",69,"149' 0""","74' 9"""
34,35,35,Charlie Beljan,76,"109' 5""","7658' 1""",70,"144' 4""","72' 5"""
35,36,36,Scott Stallings,77,"109' 4""","6668' 2""",61,"161' 6""","75' 11"""
36,37,37,Luke Donald,57,"109' 3""","4259' 9""",39,"138' 2""","90' 0"""
37,38,38,Harris English,95,"109' 2""",6656',61,"136' 1""","87' 0"""
38,39,39,Louis Oosthuizen,50,"109' 1""",2944',27,"146' 9""","57' 0"""
39,40,40,Derek Ernst,80,"108' 7""","6299' 2""",58,"144' 8""","64' 5"""
40,41,41,Billy Horschel,92,"108' 4""","7474' 5""",69,"143' 5""","75' 6"""
41,42,42,Danny Lee,84,"108' 2""",7031',65,"140' 6""","76' 11"""
42,43,43,Jhonattan Vegas,77,"107' 9""","7111' 4""",66,"162' 3""","64' 4"""
43,44,44,Vijay Singh,83,"107' 6""","7849' 0""",73,"137' 4""","77' 10"""
44,45,45,Hideki Matsuyama,82,"107' 1""","7068' 4""",66,"138' 11""","75' 7"""
45,46,46,Sergio Garcia,61,"107' 0""","3637' 8""",34,"158' 3""","48' 7"""
46,T47,T47,J.J. Henry,91,"106' 7""","7780' 1""",73,"139' 6""","65' 1"""
47,T47,T47,David Lingmerth,80,"106' 7""",7355',69,"142' 4""","56' 8"""
48,49,49,Gary Woodland,93,"105' 11""","6884' 6""",65,"148' 7""","65' 6"""
49,50,50,Retief Goosen,94,"105' 6""","9177' 3""",87,"152' 1""","54' 9"""
50,51,51,Russell Henley,92,"105' 5""","8118' 9""",77,"134' 3""","69' 3"""
51,52,52,Richard Lee,80,"105' 2""",7152',68,"136' 2""","64' 11"""
52,T53,T53,Ernie Els,85,"105' 1""","6723' 3""",64,"144' 5""","68' 3"""
53,T53,T53,Brendan Steele,89,"105' 1""","7777' 8""",74,"131' 11""","76' 6"""
54,55,55,Ben Crane,81,"104' 11""","8812' 9""",84,"133' 6""","67' 11"""
55,56,56,John Rollins,84,"104' 7""",6484',62,"130' 4""","76' 3"""
56,57,57,Shawn Stefani,60,"104' 3""",5629',54,"148' 1""","72' 11"""
57,T58,T58,Webb Simpson,87,"104' 1""","7496' 0""",72,"147' 5""","74' 2"""
