,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL DISTANCE
0,1,1,Dustin Johnson,58,56.3,38711.4,68761
1,2,2,Bubba Watson,76,55.75,51679.7,92700
2,3,3,Andrew Loupe,65,55.13,44949.5,81533
3,4,4,Jhonattan Vegas,77,54.99,57965.9,105411
4,5,5,Jamie Lovemark,64,54.91,40922.4,74530
5,6,6,Rory McIlroy,66,54.75,45877.6,83802
6,7,7,Charlie Beljan,76,54.73,60921.3,111316
7,8,8,Robert Garrigus,80,54.7,69835.8,127672
8,9,9,J.B. Holmes,86,54.54,76897.5,140994
9,10,10,Charles Howell III,106,54.49,86971.8,159617
10,11,11,Brooks Koepka,56,54.47,37067.9,68054
11,12,12,Lucas Glover,68,54.37,46148.2,84876
12,13,13,Willy Wilcox,51,54.34,32926.9,60595
13,14,14,Sean O'Hair,77,54.29,59816.3,110182
14,15,15,Jason Kokrak,65,54.25,59105.3,108943
15,16,16,Harris English,95,54.12,65447.5,120920
16,17,17,Jason Day,54,54.0,29361.1,54374
17,18,18,Ryan Palmer,85,53.93,58578.7,108617
18,19,19,Gary Woodland,93,53.9,71024.6,131769
19,20,20,Graham DeLaet,80,53.89,58143.5,107897
20,T21,T21,Martin Laird,66,53.79,52640.1,97856
21,T21,T21,Adam Scott,68,53.79,49548.2,92114
22,23,23,Robert Streb,75,53.72,56065.8,104366
23,24,24,Matt Jones,83,53.7,56252.7,104750
24,25,25,Jim Herman,62,53.69,43154.6,80375
25,26,26,Brendan Steele,89,53.64,67779.8,126371
26,T27,T27,Keegan Bradley,89,53.54,62597.1,116906
27,T27,T27,Hudson Swafford,75,53.54,49108.0,91729
28,29,29,Ángel Cabrera,69,53.53,53077.0,99147
29,30,30,Derek Ernst,80,53.5,57042.5,106630
30,31,31,Scott Stallings,77,53.45,58738.5,109904
31,32,32,Jimmy Walker,98,53.43,65906.1,123348
32,33,33,Kevin Tway,64,53.38,40826.6,76490
33,34,34,Charley Hoffman,93,53.37,72984.3,136742
34,35,35,Brad Fritsch,50,53.3,32035.7,60106
35,36,36,Morgan Hoffmann,103,53.28,79192.7,148622
36,T37,T37,Bud Cauley,56,53.19,39082.0,73471
37,T37,T37,Kyle Stanley,87,53.19,64367.6,121004
38,39,39,Rickie Fowler,91,53.18,56975.0,107136
39,40,40,Tommy Gainey,73,53.16,51220.0,96349
40,41,41,Steven Bowditch,93,53.14,67312.5,126660
41,42,42,Davis Love III,74,53.11,57230.4,107756
42,43,43,Stewart Cink,91,53.09,67153.3,126497
43,44,44,Martin Flores,85,53.08,63402.1,119436
44,45,45,Seung-Yul Noh,92,52.99,67383.1,127170
45,46,46,Troy Matteson,62,52.95,41374.6,78146
46,47,47,Marc Leishman,81,52.93,59373.9,112180
47,48,48,Hideki Matsuyama,82,52.89,57210.9,108164
48,49,49,Nick Watney,80,52.86,49307.1,93286
49,50,50,Shawn Stefani,60,52.82,49931.5,94531
50,51,51,Carl Pettersson,91,52.8,72094.3,136543
51,52,52,Josh Teater,90,52.79,66059.9,125127
52,53,53,Andres Romero,81,52.76,62931.7,119278
53,54,54,Louis Oosthuizen,50,52.75,26483.2,50206
54,55,55,Charl Schwartzel,64,52.71,47420.4,89971
55,56,56,Michael Putnam,106,52.7,80785.7,153298
56,T57,T57,Aaron Baddeley,74,52.68,53341.0,101246
57,T57,T57,Martin Kaymer,65,52.68,41381.1,78547
58,59,59,Trevor Immelman,84,52.67,58148.3,110405
59,60,60,Paul Casey,56,52.63,37903.8,72019
60,61,61,Ryo Ishikawa,75,52.62,57595.3,109455
61,62,62,Billy Horschel,92,52.56,64562.3,122837
62,63,63,Ricky Barnes,92,52.52,65773.8,125224
63,T64,T64,Wes Roach,67,52.51,42719.3,81355
64,T64,T64,Camilo Villegas,95,52.51,73479.1,139932
65,66,66,Kevin Stadler,90,52.5,57731.5,109971
66,67,67,Rory Sabbatini,82,52.45,59726.6,113874
67,68,68,Hunter Mahan,88,52.4,65783.9,125535
68,69,69,Patrick Reed,92,52.37,63412.6,121087
69,70,70,Russell Henley,92,52.35,65902.7,125892
70,71,71,Justin Rose,70,52.32,49906.0,95384
71,72,72,Phil Mickelson,71,52.28,47578.0,91006
72,73,73,Ben Martin,80,52.26,57847.1,110698
73,74,74,Kevin Chappell,100,52.25,80752.7,154542
74,75,75,Will MacKenzie,82,52.17,67183.2,128773
75,T76,T76,Ernie Els,85,52.15,58391.3,111969
76,T76,T76,Vijay Singh,83,52.15,64270.3,123247
77,78,78,Bo Van Pelt,83,52.13,61372.5,117721
78,79,79,J.J. Henry,91,52.11,66568.7,127744
79,80,80,James Hahn,82,52.08,60619.4,116390
80,81,81,David Lingmerth,80,52.06,59291.5,113897
81,82,82,Sangmoon Bae,76,52.05,59004.0,113359
82,83,83,Henrik Stenson,56,52.04,35472.2,68159
83,84,84,Chesson Hadley,84,52.03,61838.0,118856
84,85,85,Brice Garnett,92,52.02,65130.8,125210
85,86,86,Chad Campbell,57,51.94,35746.1,68818
86,87,87,Bill Haas,107,51.92,75506.8,145431
87,88,88,John Rollins,84,51.87,56158.6,108277
88,T89,T89,Matt Every,85,51.84,54005.3,104170
89,T89,T89,Luke Guthrie,85,51.84,66377.6,128049
90,91,91,Jim Renner,61,51.82,45088.9,87004
91,92,92,John Senden,99,51.81,68088.5,131416
92,T93,T93,Chris Kirk,105,51.78,74358.2,143594
93,T93,T93,Geoff Ogilvy,84,51.78,65365.6,126244
94,95,95,Jordan Spieth,102,51.77,72030.7,139149
95,96,96,Kevin Kisner,85,51.71,60748.1,117489
96,T97,T97,John Peterson,62,51.69,46924.3,90777
97,T97,T97,Johnson Wagner,69,51.69,48010.7,92879
98,T97,T97,Boo Weekley,73,51.69,46469.1,89894
