,Missed_Fairway_Percent_-_Other_RANK THIS WEEK,Missed_Fairway_Percent_-_Other_RANK LAST WEEK,Missed_Fairway_Percent_-_Other_PLAYER NAME,Missed_Fairway_Percent_-_Other_ROUNDS,Missed_Fairway_Percent_-_Other_%,Missed_Fairway_Percent_-_Other_TOTAL MISSED,Missed_Fairway_Percent_-_Other_TOTAL FWYS,Missed_Fairway_Percent_-_Other_RELATIVE TO PAR
0,1,1,Jason Dufner,57,1.37,8,586,0.5
1,2,2,Brendon Todd,108,1.5,19,1263,0.37
2,3,3,J.J. Henry,91,1.58,17,1078,0.94
3,4,4,Jim Furyk,84,1.74,16,918,0.25
4,5,5,Boo Weekley,73,1.78,14,785,0.43
5,6,6,Andrew Svoboda,77,1.85,17,918,0.59
6,T7,T7,Sangmoon Bae,76,1.88,17,904,0.24
7,T7,T7,Graeme McDowell,66,1.88,12,640,0.75
8,9,9,Heath Slocum,71,1.96,17,867,0.71
9,T10,T10,Matt Kuchar,91,1.99,21,1056,0.43
10,T10,T10,Danny Lee,84,1.99,19,956,0.63
11,12,12,David Toms,64,2.0,15,750,0.73
12,T13,T13,David Hearn,97,2.12,24,1134,0.79
13,T13,T13,Jeff Maggert,54,2.12,13,612,0.77
14,15,15,Zach Johnson,97,2.13,25,1174,0.4
15,16,16,Jerry Kelly,80,2.18,20,916,0.3
16,17,17,Billy Hurley III,86,2.19,22,1003,0.73
17,18,18,Cameron Tringale,111,2.21,30,1356,0.57
18,T19,T19,Paul Casey,56,2.3,14,609,0.86
19,T19,T19,Ryan Moore,86,2.3,20,869,0.3
20,21,21,Justin Hicks,103,2.31,29,1253,0.69
21,22,22,Ken Duke,80,2.39,22,921,0.59
22,23,23,Charl Schwartzel,64,2.41,18,748,0.5
23,T24,T24,Brian Stuard,91,2.43,25,1028,0.24
24,T24,T24,Nick Watney,80,2.43,19,783,0.84
25,26,26,Ian Poulter,57,2.48,14,565,0.36
26,27,27,Hudson Swafford,75,2.5,20,801,0.7
27,28,28,Kevin Stadler,90,2.54,23,905,0.65
28,29,29,Tim Clark,75,2.55,22,862,0.95
29,30,30,William McGirt,96,2.57,30,1168,0.23
30,31,31,John Merrick,87,2.59,26,1002,1.04
31,32,32,Russell Knox,92,2.6,30,1155,0.4
32,T33,T33,Brendon de Jonge,109,2.66,34,1277,0.44
33,T33,T33,Bill Haas,107,2.66,30,1129,0.3
34,T35,T35,Scott Brown,100,2.67,31,1160,0.58
35,T35,T35,Jason Day,54,2.67,12,450,0.58
36,37,37,Billy Horschel,92,2.7,26,963,0.73
37,38,38,Roberto Castro,76,2.71,22,811,0.68
38,T39,T39,Scott Langley,95,2.75,30,1091,0.83
39,T39,T39,D.A. Points,75,2.75,21,763,0.81
40,41,41,John Senden,99,2.76,31,1122,0.65
41,42,42,Ben Crane,81,2.78,30,1078,0.63
42,T43,T43,Derek Ernst,80,2.84,25,879,1.12
43,T43,T43,David Lingmerth,80,2.84,26,915,0.62
44,45,45,John Huh,87,2.87,28,975,0.68
45,46,46,Nicholas Thompson,85,2.89,28,969,0.68
46,T47,T47,Woody Austin,63,2.9,23,792,0.87
47,T47,T47,Jonathan Byrd,76,2.9,26,898,0.46
48,T47,T47,Hunter Mahan,88,2.9,29,1001,0.17
49,50,50,Justin Leonard,75,2.91,25,858,1.0
50,51,51,Robert Streb,75,2.93,26,887,0.12
51,52,52,Kevin Na,94,2.97,32,1078,0.53
52,53,53,Rory McIlroy,66,3.01,20,665,0.1
53,T54,T54,Keegan Bradley,89,3.02,28,928,0.61
54,T54,T54,Daniel Summerhays,98,3.02,37,1226,0.49
55,T56,T56,Brian Davis,93,3.03,34,1123,0.65
56,T56,T56,Tim Wilkinson,86,3.03,30,990,0.33
57,T58,T58,Spencer Levin,59,3.04,21,691,0.86
58,T58,T58,Mark Wilson,69,3.04,24,790,0.83
59,60,60,George McNeill,79,3.1,30,968,0.53
60,T61,T61,Chad Campbell,57,3.12,20,642,0.65
61,T61,T61,"Ted Potter, Jr.",68,3.12,26,834,0.88
62,T61,T61,Patrick Reed,92,3.12,32,1027,0.53
63,T64,T64,Ben Curtis,77,3.16,28,885,0.79
64,T64,T64,Jim Herman,62,3.16,21,665,0.43
65,66,66,D.H. Lee,54,3.19,20,626,1.2
66,67,67,Jordan Spieth,102,3.2,35,1094,0.4
67,T68,T68,Davis Love III,74,3.25,28,862,0.54
68,T68,T68,Hideki Matsuyama,82,3.25,29,893,0.38
69,T68,T68,Kevin Tway,64,3.25,21,647,0.81
70,T71,T71,Jason Bohn,81,3.27,33,1010,0.64
71,T71,T71,John Peterson,62,3.27,25,764,0.76
72,73,73,Will MacKenzie,82,3.28,33,1006,0.24
73,74,74,Robert Allenby,83,3.32,32,965,0.44
74,75,75,Chris Kirk,105,3.34,40,1199,0.48
75,T76,T76,Stuart Appleby,92,3.35,39,1164,0.54
76,T76,T76,Kevin Streelman,79,3.35,28,836,0.43
77,78,78,Brandt Snedeker,89,3.39,31,914,0.58
78,T79,T79,Matt Jones,83,3.4,28,823,0.71
79,T79,T79,Brendan Steele,89,3.4,33,971,0.33
80,81,81,Webb Simpson,87,3.41,35,1026,0.54
81,82,82,Sergio Garcia,61,3.44,19,552,0.42
82,T83,T83,Ryan Palmer,85,3.45,32,928,0.28
83,T83,T83,Y.E. Yang,79,3.45,29,841,0.76
84,85,85,Trevor Immelman,84,3.46,32,925,0.31
85,86,86,Graham DeLaet,80,3.5,31,885,0.77
86,87,87,Jhonattan Vegas,77,3.51,31,882,0.55
87,T88,T88,Briny Baird,50,3.53,22,624,0.77
88,T88,T88,Luke Guthrie,85,3.53,37,1048,0.73
89,90,90,K.J. Choi,80,3.57,33,925,0.67
90,T91,T91,Adam Scott,68,3.58,28,783,0.18
91,T91,T91,Willy Wilcox,51,3.58,20,559,0.75
92,T93,T93,Greg Chalmers,85,3.59,36,1003,0.75
93,T93,T93,Scott Stallings,77,3.59,31,863,0.68
94,95,95,Erik Compton,88,3.6,37,1029,0.7
95,96,96,Ricky Barnes,92,3.62,39,1077,0.59
96,T97,T97,Richard Lee,80,3.66,31,846,0.42
97,T97,T97,Ben Martin,80,3.66,32,875,0.63
98,T97,T97,Shawn Stefani,60,3.66,29,793,0.83
99,100,100,Josh Teater,90,3.67,38,1036,0.66
100,101,101,Lee Westwood,57,3.69,22,597,0.64
101,102,102,Vijay Singh,83,3.7,39,1053,0.64
102,103,103,Stewart Cink,91,3.73,37,991,0.51
103,T104,T104,Kevin Chappell,100,3.75,45,1199,0.58
104,T104,T104,Johnson Wagner,69,3.75,30,801,0.97
105,T106,T106,Brian Gay,81,3.77,33,875,0.64
106,T106,T106,Justin Rose,70,3.77,27,717,0.41
107,T106,T106,Charlie Wi,72,3.77,34,901,0.59
108,109,109,Brian Harman,111,3.78,53,1403,0.49
109,T110,T110,Luke Donald,57,3.8,23,606,0.52
110,T110,T110,Henrik Stenson,56,3.8,20,526,0.7
111,112,112,Michael Putnam,106,3.82,48,1255,0.52
112,113,113,Russell Henley,92,3.85,40,1040,0.55
113,T114,T114,Tommy Gainey,73,3.86,32,828,0.69
114,T114,T114,Louis Oosthuizen,50,3.86,16,415,0.44
115,116,116,Bubba Watson,76,3.87,30,776,0.63
116,117,117,Brice Garnett,92,3.89,42,1080,0.76
117,118,118,Brad Fritsch,50,3.9,21,539,0.71
118,T119,T119,Carl Pettersson,91,3.91,46,1175,0.54
119,T119,T119,Jim Renner,61,3.91,28,716,1.0
120,121,121,Kevin Kisner,85,3.93,38,966,0.63
121,122,122,Gary Woodland,93,3.96,40,1010,0.38
122,123,123,Andres Romero,81,3.97,39,982,0.62
123,124,124,Chris Stroud,88,4.0,40,1001,0.58
124,125,125,Chad Collins,78,4.04,34,842,0.79
125,126,126,Freddie Jacobson,91,4.05,45,1110,0.51
126,127,127,Jeff Overton,80,4.16,38,914,0.37
127,T128,T128,Bryce Molder,77,4.19,37,883,0.7
128,T128,T128,Bo Van Pelt,83,4.19,39,931,0.79
129,130,130,Bronson La'Cassie,51,4.22,21,498,0.67
130,131,131,Marc Leishman,81,4.23,40,945,0.28
131,132,132,James Hahn,82,4.26,43,1010,0.53
132,133,133,Sean O'Hair,77,4.38,40,914,0.9
133,134,134,Camilo Villegas,95,4.41,51,1156,0.61
134,135,135,Wes Roach,67,4.45,31,696,1.1
135,T136,T136,Retief Goosen,94,4.47,48,1073,1.13
136,T136,T136,Geoff Ogilvy,84,4.47,45,1007,0.29
