,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
0,1,1,Lucas Glover,26,74,20,54
1,2,2,Henrik Stenson,15,78,64,14
2,3,3,Hunter Mahan,25,81,45,36
3,4,4,Hudson Swafford,26,82,33,49
4,5,5,Derek Ernst,28,83,38,45
5,T6,T6,Kevin Chappell,28,84,43,41
6,T6,T6,Shawn Stefani,17,84,31,53
7,8,8,Keegan Bradley,26,86,17,69
8,9,9,Graham DeLaet,24,89,14,75
9,10,10,Adam Scott,17,93,13,80
10,11,11,Billy Horschel,27,99,76,23
11,T12,T12,Jhonattan Vegas,23,101,8,93
12,T12,T12,Nick Watney,25,101,45,56
13,14,14,Bubba Watson,21,103,1,102
14,15,15,Boo Weekley,24,110,100,10
15,16,16,Rory McIlroy,17,111,3,108
16,17,17,Kevin Streelman,24,113,97,16
17,18,18,Louis Oosthuizen,16,119,21,98
18,19,19,Willy Wilcox,16,121,36,85
19,T20,T20,Ben Martin,26,122,75,47
20,T20,T20,Kyle Stanley,28,122,33,89
21,T22,T22,Brendon de Jonge,31,123,106,17
22,T22,T22,Russell Henley,29,123,61,62
23,24,24,Kevin Stadler,26,125,76,49
24,T25,T25,Jim Herman,21,126,52,74
25,T25,T25,Martin Laird,20,126,37,89
26,T27,T27,J.J. Henry,28,128,82,46
27,T27,T27,Justin Hicks,30,128,125,3
28,T27,T27,Will MacKenzie,27,128,84,44
29,T27,T27,Gary Woodland,25,128,9,119
30,T31,T31,Sergio Garcia,16,130,57,73
31,T31,T31,Hideki Matsuyama,24,130,51,79
32,33,33,Harris English,28,132,26,106
33,T34,T34,Charlie Beljan,26,136,11,125
34,T34,T34,Nicholas Thompson,30,136,114,22
35,T36,T36,Bill Haas,28,137,73,64
36,T36,T36,John Merrick,25,137,122,15
37,T38,T38,Scott Brown,30,138,112,26
38,T38,T38,Martin Kaymer,19,138,50,88
39,T38,T38,Russell Knox,26,138,120,18
40,T38,T38,Ryan Moore,24,138,129,9
41,T42,T42,Rickie Fowler,26,141,33,108
42,T42,T42,Robert Streb,21,141,25,116
43,T44,T44,Chad Campbell,18,142,107,35
44,T44,T44,Andrew Svoboda,24,142,111,31
45,46,46,Bo Van Pelt,25,143,78,65
46,47,47,Josh Teater,28,144,53,91
47,48,48,Brendan Steele,26,145,28,117
48,T49,T49,Chris Kirk,28,146,80,66
49,T49,T49,John Senden,27,146,95,51
50,51,51,Zach Johnson,26,147,141,6
51,52,52,Dustin Johnson,17,148,2,146
52,53,53,Jason Day,15,149,18,131
53,T54,T54,Ángel Cabrera,23,151,12,139
54,T54,T54,Charl Schwartzel,18,151,30,121
55,56,56,Robert Garrigus,25,153,7,146
56,T57,T57,Brooks Koepka,16,156,6,150
57,T57,T57,Matt Kuchar,24,156,136,20
58,T57,T57,Ryan Palmer,23,156,23,133
59,60,60,John Peterson,25,157,102,55
60,61,61,Charley Hoffman,25,158,26,132
61,T62,T62,Jim Furyk,21,159,155,4
62,T62,T62,John Huh,28,159,134,25
63,T62,T62,Michael Putnam,30,159,65,94
64,T65,T65,Brad Fritsch,18,160,56,104
65,T65,T65,Justin Rose,19,160,49,111
66,67,67,Wes Roach,22,161,65,96
67,68,68,Lee Westwood,18,162,71,91
68,69,69,Michael Thompson,22,164,93,71
69,70,70,Davis Love III,22,165,41,124
70,71,71,Paul Casey,16,166,65,101
71,T72,T72,J.B. Holmes,24,168,4,164
72,T72,T72,Webb Simpson,25,168,98,70
73,T72,T72,Brian Stuard,29,168,137,31
74,75,75,Danny Lee,28,169,132,37
75,T76,T76,Jason Kokrak,19,171,14,157
76,T76,T76,Heath Slocum,23,171,166,5
77,T76,T76,Daniel Summerhays,27,171,141,30
78,T79,T79,Marc Leishman,24,173,32,141
79,T79,T79,"Ted Potter, Jr.",24,173,162,11
80,T81,T81,David Toms,20,174,173,1
81,T81,T81,Camilo Villegas,29,174,68,106
82,T83,T83,David Hearn,28,175,156,19
83,T83,T83,Billy Hurley III,26,175,168,7
84,T85,T85,Tim Clark,26,176,174,2
85,T85,T85,Carl Pettersson,28,176,47,129
86,T85,T85,Chris Stroud,25,176,119,57
87,T88,T88,Matt Jones,25,177,41,136
88,T88,T88,Graeme McDowell,17,177,165,12
89,T88,T88,Mark Wilson,25,177,153,24
90,T88,T88,Y.E. Yang,28,177,143,34
91,92,92,Scott Stallings,28,178,23,155
92,93,93,Ken Duke,25,179,171,8
93,94,94,Jonathan Byrd,24,180,102,78
94,T95,T95,Jason Dufner,17,181,122,59
95,T95,T95,Charles Howell III,29,181,9,172
96,T95,T95,Andrew Loupe,22,181,4,177
97,T95,T95,Brandt Snedeker,25,181,121,60
98,T99,T99,Stewart Cink,25,182,61,121
99,T99,T99,Jamie Lovemark,20,182,16,166
100,T99,T99,Jeff Maggert,19,182,169,13
101,T99,T99,Kevin Tway,23,182,55,127
102,T103,T103,Sangmoon Bae,24,184,98,86
103,T103,T103,Brian Davis,28,184,163,21
104,105,105,Ben Crane,25,186,157,29
105,T106,T106,George McNeill,24,188,117,71
106,T106,T106,Sean O'Hair,25,188,21,167
107,T108,T108,Steven Bowditch,30,189,29,160
108,T108,T108,Ian Poulter,17,189,102,87
109,T108,T108,Vijay Singh,25,189,89,100
110,T111,T111,Jason Bohn,25,190,151,39
111,T111,T111,James Hahn,27,190,91,99
112,T111,T111,Kevin Kisner,26,190,107,83
113,T111,T111,Spencer Levin,20,190,150,40
114,T111,T111,Brendon Todd,29,190,148,42
115,116,116,Brian Harman,32,191,94,97
116,117,117,William McGirt,29,193,160,33
117,118,118,Jerry Kelly,23,194,167,27
118,119,119,Jimmy Walker,27,195,19,176
119,T120,T120,Martin Flores,26,196,44,152
120,T120,T120,Kevin Na,27,196,148,48
121,T122,T122,Roberto Castro,27,197,134,63
122,T122,T122,Ben Curtis,24,197,154,43
123,T122,T122,Cameron Tringale,31,197,139,58
124,T125,T125,D.H. Lee,20,198,170,28
125,T125,T125,D.A. Points,27,198,131,67
126,127,127,John Rollins,28,199,86,113
127,128,128,David Lingmerth,26,200,88,112
128,T129,T129,Tommy Gainey,26,201,59,142
129,T129,T129,Seung-Yul Noh,27,201,40,161
130,T131,T131,Richard Lee,27,202,125,77
131,T131,T131,Geoff Ogilvy,26,202,68,134
132,T133,T133,Briny Baird,17,204,144,60
133,T133,T133,K.J. Choi,23,204,152,52
134,T135,T135,Bud Cauley,19,207,63,144
135,T135,T135,Troy Merritt,20,207,124,83
136,137,137,Robert Allenby,29,208,127,81
137,T138,T138,Gonzalo Fernandez-Castaño,25,210,102,108
138,T138,T138,Trevor Immelman,28,210,74,136
139,T138,T138,Troy Matteson,23,210,39,171
140,T138,T138,Phil Mickelson,21,210,70,140
141,142,142,Morgan Hoffmann,32,213,48,165
142,143,143,Justin Leonard,22,215,177,38
143,144,144,Andres Romero,26,216,53,163
144,145,145,Rory Sabbatini,26,217,58,159
145,146,146,Jordan Spieth,27,218,89,129
146,T147,T147,Brice Garnett,28,220,92,128
147,T147,T147,Pat Perez,25,220,115,105
148,149,149,Patrick Reed,28,229,71,158
149,150,150,Luke Donald,17,231,164,67
150,151,151,Chesson Hadley,29,232,84,148
151,T152,T152,Aaron Baddeley,24,235,60,175
152,T152,T152,Luke Guthrie,26,235,109,126
153,154,154,Scott Langley,29,239,145,94
154,155,155,Bronson La'Cassie,18,241,127,114
155,156,156,Woody Austin,22,242,160,82
156,157,157,Ricky Barnes,27,244,82,162
157,158,158,Ernie Els,24,248,79,169
158,159,159,Ryo Ishikawa,24,249,80,169
159,160,160,Brian Gay,26,251,175,76
160,161,161,Retief Goosen,26,252,96,156
161,162,162,Freddie Jacobson,27,253,130,123
162,163,163,Jim Renner,25,254,101,153
163,T164,T164,Jeff Overton,24,255,110,145
164,T164,T164,Tyrone Van Aswegen,25,255,87,168
165,166,166,Tim Wilkinson,25,257,140,117
166,T167,T167,Stuart Appleby,29,262,159,103
167,T167,T167,Johnson Wagner,24,262,113,149
168,169,169,Matt Every,26,267,116,151
169,170,170,Jonas Blixt,21,271,117,154
170,171,171,Erik Compton,28,276,138,138
171,172,172,Bryce Molder,25,277,158,119
172,173,173,Greg Chalmers,27,281,147,134
173,174,174,Chad Collins,28,287,172,115
174,175,175,Charlie Wi,25,289,146,143
175,176,176,James Driscoll,25,306,132,174
176,177,177,Mike Weir,25,349,176,173
