,SG_Tee-to-Green_RANK THIS WEEK,SG_Tee-to-Green_RANK LAST WEEK,SG_Tee-to-Green_PLAYER NAME,SG_Tee-to-Green_ROUNDS,SG_Tee-to-Green_AVERAGE,SG_Tee-to-Green_SG:OTT,SG_Tee-to-Green_SG:APR,SG_Tee-to-Green_SG:ARG,SG_Tee-to-Green_MEASURED ROUNDS
0,1,1,Rory McIlroy,66,1.992,1.367,0.602,0.022000000000000002,48
1,2,2,Sergio Garcia,61,1.818,0.382,1.15,0.28600000000000003,40
2,3,3,Jim Furyk,84,1.705,0.121,1.175,0.408,66
3,4,4,Hideki Matsuyama,82,1.545,0.325,1.022,0.198,64
4,5,5,Justin Rose,70,1.506,0.402,0.7440000000000001,0.36,52
5,6,6,Adam Scott,68,1.5,0.725,0.61,0.166,56
6,7,7,Bubba Watson,76,1.402,0.9670000000000001,0.324,0.111,56
7,8,8,Charl Schwartzel,64,1.286,0.55,0.315,0.42100000000000004,54
8,9,9,Graham DeLaet,80,1.262,0.36,0.895,0.006999999999999999,64
9,10,10,Dustin Johnson,58,1.249,0.73,0.5329999999999999,-0.015,41
10,11,11,Henrik Stenson,56,1.162,0.65,0.575,-0.064,38
11,12,12,Matt Kuchar,91,1.117,0.21,0.527,0.38,76
12,13,13,Jason Dufner,57,1.0979999999999999,0.316,0.59,0.192,42
13,14,14,Jason Day,54,1.073,0.495,0.17600000000000002,0.402,33
14,15,15,Gary Woodland,93,1.0490000000000002,0.581,0.381,0.087,73
15,16,16,Ryan Palmer,85,0.971,0.76,0.133,0.078,67
16,17,17,Kevin Chappell,100,0.97,0.386,0.526,0.057999999999999996,87
17,18,18,Bill Haas,107,0.943,0.29600000000000004,0.382,0.265,82
18,19,19,Russell Knox,92,0.938,0.221,0.502,0.215,83
19,20,20,Kevin Stadler,90,0.878,0.505,0.386,-0.012,65
20,21,21,Boo Weekley,73,0.875,0.732,0.044000000000000004,0.099,56
21,22,22,Brooks Koepka,56,0.797,0.425,0.598,-0.226,42
22,23,23,Ryan Moore,86,0.794,0.253,0.499,0.040999999999999995,62
23,24,24,Jimmy Walker,98,0.774,0.11900000000000001,0.608,0.048,73
24,25,25,Marc Leishman,81,0.7659999999999999,0.16399999999999998,0.546,0.055999999999999994,69
25,26,26,Zach Johnson,97,0.7509999999999999,0.145,0.513,0.09300000000000001,84
26,27,27,Keegan Bradley,89,0.74,0.43,0.5,-0.19,67
27,28,28,Paul Casey,56,0.725,-0.013000000000000001,0.762,-0.024,44
28,29,29,Charles Howell III,106,0.7170000000000001,0.498,0.017,0.201,95
29,30,30,Chad Campbell,57,0.7090000000000001,0.055999999999999994,0.6409999999999999,0.011000000000000001,46
30,31,31,Harris English,95,0.706,0.193,0.465,0.047,74
31,32,32,Charley Hoffman,93,0.691,0.415,0.301,-0.026000000000000002,76
32,33,33,Nick Watney,80,0.687,0.298,0.648,-0.258,56
33,34,34,Jason Kokrak,65,0.6859999999999999,0.284,0.47600000000000003,-0.07400000000000001,61
34,35,35,Ernie Els,85,0.654,-0.016,0.141,0.529,63
35,36,36,Kevin Na,94,0.638,-0.1,0.341,0.397,78
36,37,37,Phil Mickelson,71,0.634,0.201,0.166,0.266,50
37,38,38,Jordan Spieth,102,0.581,0.034,0.28600000000000003,0.26,79
38,39,39,Webb Simpson,87,0.58,-0.027000000000000003,0.33299999999999996,0.275,74
39,40,40,Shawn Stefani,60,0.564,0.41200000000000003,0.065,0.086,57
40,41,41,Cameron Tringale,111,0.56,0.008,0.322,0.23,98
41,42,42,Vijay Singh,83,0.5539999999999999,0.16699999999999998,0.126,0.261,76
42,T43,T43,Kyle Stanley,87,0.552,0.44,0.623,-0.511,72
43,T43,T43,Willy Wilcox,51,0.552,0.48700000000000004,0.203,-0.138,40
44,45,45,Lucas Glover,68,0.539,0.335,0.469,-0.265,47
45,46,46,George McNeill,79,0.528,-0.061,0.537,0.053,70
46,47,47,Billy Horschel,92,0.518,0.473,0.132,-0.087,69
47,48,48,Michael Putnam,106,0.517,0.111,0.469,-0.063,91
48,49,49,Lee Westwood,57,0.495,0.33399999999999996,0.037000000000000005,0.124,43
49,50,50,Chris Kirk,105,0.489,0.033,0.287,0.16899999999999998,86
50,51,51,Rickie Fowler,91,0.48,0.264,0.213,0.003,62
51,52,52,J.B. Holmes,86,0.47600000000000003,0.509,-0.317,0.28300000000000003,77
52,53,53,Bo Van Pelt,83,0.431,0.048,0.46799999999999997,-0.085,67
53,54,54,Seung-Yul Noh,92,0.42700000000000005,-0.268,0.447,0.248,75
54,55,55,David Toms,64,0.405,0.083,0.203,0.12,54
55,56,56,Brian Harman,111,0.40299999999999997,-0.013999999999999999,0.29600000000000004,0.121,101
56,57,57,Steven Bowditch,93,0.39899999999999997,-0.002,0.094,0.307,78
57,58,58,Brendan Steele,89,0.39799999999999996,0.237,0.222,-0.062,70
58,59,59,Carl Pettersson,91,0.397,0.294,0.096,0.006,85
59,60,60,Robert Garrigus,80,0.382,0.36200000000000004,0.156,-0.136,73
60,61,61,Andrew Svoboda,77,0.37,0.111,0.32299999999999995,-0.064,66
61,62,62,Martin Flores,85,0.36200000000000004,-0.001,0.391,-0.028999999999999998,68
62,63,63,Martin Kaymer,65,0.355,0.27899999999999997,0.37,-0.294,48
63,64,64,John Peterson,62,0.34,0.415,0.539,-0.614,55
64,65,65,John Senden,99,0.32799999999999996,0.22399999999999998,0.127,-0.023,81
65,66,66,Heath Slocum,71,0.327,0.203,0.083,0.040999999999999995,62
66,67,67,Robert Streb,75,0.319,0.461,-0.259,0.11699999999999999,64
67,68,68,Brandt Snedeker,89,0.318,-0.043,0.14300000000000002,0.217,66
68,69,69,Camilo Villegas,95,0.316,-0.159,0.413,0.061,84
69,T70,T70,Hunter Mahan,88,0.314,0.687,-0.221,-0.153,72
70,T70,T70,Jhonattan Vegas,77,0.314,0.628,-0.439,0.125,64
71,72,72,Graeme McDowell,66,0.289,-0.034,0.379,-0.055,46
72,73,73,Jerry Kelly,80,0.28800000000000003,-0.08900000000000001,0.218,0.16,66
73,74,74,Bud Cauley,56,0.284,-0.073,-0.109,0.467,46
74,75,75,Billy Hurley III,86,0.27,-0.10300000000000001,0.25,0.12300000000000001,72
75,76,76,Robert Allenby,83,0.26899999999999996,-0.05,0.552,-0.23399999999999999,70
76,77,77,Brendon de Jonge,109,0.256,0.33899999999999997,-0.012,-0.071,92
77,78,78,Stewart Cink,91,0.243,-0.006999999999999999,0.442,-0.192,72
78,79,79,Chris Stroud,88,0.23600000000000002,-0.174,0.132,0.278,72
79,80,80,Jamie Lovemark,64,0.235,0.374,-0.321,0.18100000000000002,47
80,81,81,Ryo Ishikawa,75,0.231,-0.259,0.395,0.095,62
81,82,82,Ken Duke,80,0.23,-0.092,0.32899999999999996,-0.006,66
82,83,83,Louis Oosthuizen,50,0.212,0.7240000000000001,-0.145,-0.36700000000000005,30
83,84,84,Ángel Cabrera,69,0.198,0.5539999999999999,0.078,-0.434,61
84,85,85,Daniel Summerhays,98,0.184,0.04,0.138,0.005,88
85,86,86,Luke Donald,57,0.17300000000000001,-0.493,0.315,0.35100000000000003,44
86,87,87,Trevor Immelman,84,0.157,-0.006,-0.013000000000000001,0.17600000000000002,67
87,88,88,Ricky Barnes,92,0.145,-0.267,0.396,0.015,78
88,89,89,David Hearn,97,0.136,-0.11800000000000001,0.146,0.10800000000000001,82
89,90,90,Scott Brown,100,0.134,0.27699999999999997,-0.139,-0.005,83
90,91,91,Ben Martin,80,0.13,0.213,-0.09699999999999999,0.015,63
91,92,92,Brendon Todd,108,0.129,0.015,-0.174,0.289,91
92,93,93,"Ted Potter, Jr.",68,0.125,0.134,0.096,-0.10400000000000001,60
93,94,94,Brad Fritsch,50,0.11,-0.048,0.098,0.06,39
94,95,95,Luke Guthrie,85,0.109,-0.231,0.113,0.228,76
95,96,96,Nicholas Thompson,85,0.105,0.174,0.301,-0.371,70
96,97,97,Roberto Castro,76,0.084,-0.122,-0.159,0.365,59
97,98,98,Patrick Reed,92,0.081,0.04,-0.35200000000000004,0.39299999999999996,74
98,99,99,Josh Teater,90,0.076,0.239,-0.091,-0.07200000000000001,75
99,T100,T100,James Hahn,82,0.07,0.162,0.009000000000000001,-0.102,73
100,T100,T100,Will MacKenzie,82,0.07,0.044000000000000004,-0.040999999999999995,0.067,73
101,102,102,Kevin Streelman,79,0.068,0.47100000000000003,-0.242,-0.162,60
102,103,103,Tim Clark,75,0.061,-0.28600000000000003,0.253,0.094,62
103,104,104,John Merrick,87,0.051,0.129,0.252,-0.32899999999999996,72
