,Driving_Pct._300_Measured_RANK THIS WEEK,Driving_Pct._300_Measured_RANK LAST WEEK,Driving_Pct._300_Measured_PLAYER NAME,Driving_Pct._300_Measured_ROUNDS,Driving_Pct._300_Measured_%,Driving_Pct._300_Measured_TOTAL DRIVES FOR 300+,Driving_Pct._300_Measured_TOTAL DRVS - OVERALL,Driving_Pct._300_Measured_RELATIVE TO PAR
0,1,1,Bubba Watson,76,77.19,88,114,-0.34
1,2,2,J.B. Holmes,86,68.75,110,160,-0.24
2,3,3,Dustin Johnson,58,68.6,59,86,-0.32
3,4,4,Andrew Loupe,65,64.75,79,122,-0.23
4,5,5,Jhonattan Vegas,77,64.67,97,150,-0.25
5,6,6,Rory McIlroy,66,64.58,62,96,-0.15
6,T7,T7,Charlie Beljan,76,62.5,90,144,-0.28
7,T7,T7,Jason Day,54,62.5,45,72,-0.09
8,T7,T7,Gary Woodland,93,62.5,95,152,-0.16
9,10,10,Brooks Koepka,56,61.46,59,96,-0.31
10,11,11,Robert Garrigus,80,61.25,98,160,-0.23
11,12,12,Graham DeLaet,80,60.0,78,130,-0.18
12,13,13,Charles Howell III,106,58.33,119,204,-0.22
13,14,14,Lucas Glover,68,58.04,65,112,-0.22
14,15,15,Ryan Palmer,85,58.0,87,150,-0.30
15,16,16,Adam Scott,68,57.14,64,112,-0.22
16,17,17,Jason Kokrak,65,56.92,74,130,-0.27
17,18,18,Jamie Lovemark,64,55.0,66,120,-0.36
18,19,19,Ángel Cabrera,69,54.92,67,122,-0.27
19,20,20,Robert Streb,75,53.52,76,142,-0.21
20,21,21,Jimmy Walker,98,53.29,81,152,-0.28
21,22,22,Harris English,95,53.13,85,160,-0.36
22,23,23,Charley Hoffman,93,51.76,88,170,-0.34
23,24,24,Louis Oosthuizen,50,51.67,31,60,-0.19
24,25,25,Brendan Steele,89,51.27,81,158,-0.28
25,26,26,Justin Rose,70,50.96,53,104,-0.15
26,27,27,Scott Stallings,77,50.74,69,136,-0.23
27,28,28,Hudson Swafford,75,50.72,70,138,-0.29
28,T29,T29,Keegan Bradley,89,50.0,70,140,-0.26
29,T29,T29,Sean O'Hair,77,50.0,77,154,-0.16
30,31,31,Steven Bowditch,93,48.88,87,178,-0.22
31,32,32,Willy Wilcox,51,47.96,47,98,-0.40
32,33,33,Martin Laird,66,47.41,55,116,-0.38
33,34,34,Charl Schwartzel,64,47.22,51,108,-0.22
34,T35,T35,Derek Ernst,80,47.14,66,140,-0.17
35,T35,T35,Marc Leishman,81,47.14,66,140,-0.29
36,37,37,Nick Watney,80,46.61,55,118,-0.13
37,38,38,Martin Flores,85,45.68,74,162,-0.28
38,39,39,Kyle Stanley,87,45.57,72,158,-0.15
39,40,40,Rickie Fowler,91,45.38,59,130,-0.27
40,41,41,Seung-Yul Noh,92,44.32,78,176,-0.36
41,42,42,Ryo Ishikawa,75,44.2,61,138,-0.34
42,43,43,Kevin Chappell,100,44.02,81,184,-0.30
43,44,44,Martin Kaymer,65,43.75,42,96,-0.14
44,T45,T45,Troy Matteson,62,43.1,50,116,-0.22
45,T45,T45,Shawn Stefani,60,43.1,50,116,-0.18
46,47,47,Matt Jones,83,42.96,61,142,-0.25
47,48,48,Carl Pettersson,91,42.86,78,182,-0.42
48,49,49,Morgan Hoffmann,103,42.42,84,198,-0.17
49,50,50,Hideki Matsuyama,82,42.31,55,130,-0.31
50,51,51,Jim Herman,62,41.38,48,116,-0.23
51,52,52,Kevin Tway,64,41.07,46,112,-0.15
52,53,53,Aaron Baddeley,74,40.63,52,128,-0.19
53,54,54,Patrick Reed,92,39.74,62,156,-0.31
54,55,55,Andres Romero,81,39.61,61,154,-0.21
55,56,56,Michael Putnam,106,39.22,80,204,-0.34
56,57,57,Camilo Villegas,95,39.01,71,182,-0.08
57,58,58,Davis Love III,74,38.89,56,144,-0.04
58,59,59,Brad Fritsch,50,38.54,37,96,-0.16
59,60,60,Russell Henley,92,37.82,59,156,-0.14
60,61,61,Stewart Cink,91,37.33,56,150,-0.34
61,62,62,Kevin Stadler,90,36.99,54,146,-0.15
62,63,63,Hunter Mahan,88,36.67,55,150,-0.20
63,64,64,Wes Roach,67,36.51,46,126,-0.09
64,65,65,Rory Sabbatini,82,36.49,54,148,-0.30
65,66,66,Bill Haas,107,35.88,61,170,-0.21
66,67,67,Bud Cauley,56,35.71,40,112,-0.18
67,68,68,Sergio Garcia,61,35.0,28,80,-0.25
68,69,69,Tommy Gainey,73,34.78,48,138,-0.29
69,70,70,Geoff Ogilvy,84,34.62,54,156,-0.19
70,71,71,Billy Horschel,92,34.03,49,144,-0.27
71,72,72,Tyrone Van Aswegen,79,33.97,53,156,-0.25
72,73,73,Phil Mickelson,71,33.96,36,106,-0.11
73,74,74,Bo Van Pelt,83,33.8,48,142,-0.27
74,75,75,Chris Kirk,105,33.52,59,176,-0.20
75,76,76,Josh Teater,90,33.33,56,168,-0.16
76,77,77,Paul Casey,56,32.95,29,88,-0.10
77,78,78,Retief Goosen,94,32.93,54,164,-0.20
78,79,79,Webb Simpson,87,32.89,50,152,-0.02
79,80,80,J.J. Henry,91,32.76,57,174,-0.28
80,81,81,Ernie Els,85,32.54,41,126,-0.17
81,82,82,Kevin Streelman,79,32.5,39,120,+0.05
82,83,83,Ricky Barnes,92,32.39,57,176,-0.26
83,84,84,Ben Martin,80,32.24,49,152,-0.43
84,85,85,Trevor Immelman,84,32.05,50,156,-0.32
85,86,86,David Lingmerth,80,31.25,45,144,-0.20
86,87,87,Chesson Hadley,84,31.1,51,164,-0.18
87,88,88,Vijay Singh,83,30.38,48,158,-0.31
88,89,89,Michael Thompson,74,30.3,40,132,-0.28
89,90,90,Kevin Kisner,85,30.12,50,166,-0.30
90,91,91,John Rollins,84,29.61,45,152,-0.16
91,92,92,Will MacKenzie,82,29.27,48,164,-0.23
92,93,93,Henrik Stenson,56,28.95,22,76,-0.23
93,94,94,James Hahn,82,28.75,46,160,-0.26
94,95,95,John Senden,99,28.65,51,178,-0.31
95,T96,T96,Brice Garnett,92,28.41,50,176,-0.28
96,T96,T96,Lee Westwood,57,28.41,25,88,-0.16
97,T98,T98,Sangmoon Bae,76,27.14,38,140,-0.45
98,T98,T98,Gonzalo Fernandez-Castaño,83,27.14,38,140,-0.18
99,100,100,Brian Harman,111,26.64,57,214,-0.30
100,101,101,Jordan Spieth,102,26.22,43,164,-0.21
101,102,102,Jason Dufner,57,26.19,22,84,-0.23
102,103,103,Jeff Overton,80,25.69,37,144,-0.22
103,104,104,Pat Perez,84,25.6,43,168,-0.21
104,T105,T105,Troy Merritt,62,25.0,31,124,-0.29
105,T105,T105,Boo Weekley,73,25.0,28,112,-0.39
106,107,107,Andrew Svoboda,77,24.03,37,154,-0.16
107,108,108,John Merrick,87,24.0,36,150,+0.11
108,109,109,Richard Lee,80,23.65,35,148,-0.09
109,110,110,Robert Allenby,83,23.42,37,158,-0.35
110,111,111,Russell Knox,92,23.37,43,184,-0.19
111,112,112,John Peterson,62,23.33,28,120,-0.18
112,113,113,Jonathan Byrd,76,22.92,33,144,-0.33
113,114,114,John Huh,87,22.73,35,154,-0.31
114,115,115,Roberto Castro,76,22.66,29,128,-0.24
115,116,116,Matt Every,85,22.6,33,146,-0.18
116,117,117,Scott Brown,100,22.4,43,192,-0.14
117,118,118,Nicholas Thompson,85,22.08,34,154,-0.41
118,119,119,Jonas Blixt,64,21.74,20,92,-0.30
119,120,120,Chad Campbell,57,21.7,23,106,-0.30
120,121,121,Johnson Wagner,69,21.54,28,130,E
121,122,122,Bronson La'Cassie,51,21.28,20,94,-0.30
122,123,123,Ryan Moore,86,21.21,28,132,-0.21
123,124,124,James Driscoll,71,21.13,30,142,-0.10
124,125,125,Luke Guthrie,85,21.08,35,166,-0.40
125,126,126,Jim Renner,61,21.05,24,114,-0.21
126,127,127,Y.E. Yang,79,20.83,30,144,-0.13
127,128,128,Freddie Jacobson,91,20.79,37,178,-0.19
128,129,129,George McNeill,79,20.78,32,154,-0.13
129,130,130,Brendon de Jonge,109,20.53,39,190,-0.21
130,131,131,Matt Kuchar,91,19.74,30,152,-0.33
131,132,132,D.A. Points,75,19.3,22,114,-0.05
132,133,133,Brandt Snedeker,89,19.01,27,142,-0.11
133,134,134,Erik Compton,88,18.9,31,164,-0.32
134,135,135,Justin Hicks,103,18.69,37,198,-0.27
135,136,136,Scott Langley,95,18.54,33,178,-0.30
136,137,137,Brian Stuard,91,18.24,31,170,-0.16
137,138,138,Bryce Molder,77,18.12,25,138,-0.44
138,139,139,Cameron Tringale,111,17.62,37,210,-0.22
139,T140,T140,Greg Chalmers,85,16.67,27,162,-0.37
140,T140,T140,Ian Poulter,57,16.67,14,84,E
141,142,142,Daniel Summerhays,98,16.49,31,188,-0.19
142,143,143,Tim Wilkinson,86,16.46,27,164,-0.19
143,144,144,Briny Baird,50,16.0,16,100,-0.25
144,145,145,Charlie Wi,72,15.71,22,140,-0.27
145,146,146,Danny Lee,84,15.63,25,160,-0.08
146,147,147,"Ted Potter, Jr.",68,15.44,21,136,-0.14
147,148,148,Chris Stroud,88,15.24,25,164,-0.20
148,149,149,William McGirt,96,14.58,28,192,-0.18
149,150,150,Zach Johnson,97,14.53,25,172,-0.20
150,151,151,Woody Austin,63,14.41,17,118,-0.12
151,152,152,K.J. Choi,80,14.29,20,140,-0.30
152,153,153,Jason Bohn,81,14.2,23,162,-0.30
153,154,154,Kevin Na,94,13.95,24,172,-0.25
154,155,155,Spencer Levin,59,13.56,16,118,-0.25
155,156,156,Brendon Todd,108,13.5,27,200,-0.07
156,157,157,Billy Hurley III,86,12.82,20,156,-0.20
157,158,158,Stuart Appleby,92,12.78,23,180,-0.13
158,159,159,Ben Curtis,77,12.68,18,142,-0.44
159,160,160,Brian Davis,93,12.36,22,178,-0.41
160,161,161,Ben Crane,81,12.35,20,162,-0.20
161,162,162,Mark Wilson,69,11.9,15,126,-0.13
162,163,163,Jeff Maggert,54,11.54,12,104,+0.08
163,164,164,Luke Donald,57,11.36,10,88,-0.40
164,165,165,David Hearn,97,11.24,20,178,-0.30
165,166,166,D.H. Lee,54,11.0,11,100,-0.18
166,167,167,Jerry Kelly,80,10.53,16,152,E
167,168,168,Jim Furyk,84,10.29,14,136,-0.21
168,169,169,Graeme McDowell,66,9.38,9,96,-0.11
169,170,170,David Toms,64,9.17,11,120,-0.73
170,171,171,Tim Clark,75,8.7,12,138,+0.08
171,172,172,Chad Collins,78,8.33,12,144,+0.17
172,173,173,Heath Slocum,71,7.97,11,138,+0.09
173,174,174,Ken Duke,80,7.14,10,140,-0.20
174,175,175,Justin Leonard,75,6.52,9,138,-0.33
175,176,176,Brian Gay,81,4.23,6,142,+0.17
176,177,177,Mike Weir,69,4.1,5,122,-0.20
