,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
0,1,1,Henrik Stenson,56,10,2,8
1,2,2,Graham DeLaet,80,12,9,3
2,T3,T3,Billy Horschel,92,15,11,4
3,T3,T3,Hudson Swafford,75,15,4,11
4,5,5,Jhonattan Vegas,77,19,12,7
5,6,6,Adam Scott,68,20,10,10
6,7,7,Rory McIlroy,66,22,16,6
7,8,8,Justin Hicks,103,29,27,2
8,9,9,J.J. Henry,91,32,27,5
9,10,10,Kevin Stadler,90,33,24,9
10,11,11,Kevin Chappell,100,34,6,28
11,12,12,Boo Weekley,73,35,15,20
12,T13,T13,Lucas Glover,68,38,1,37
13,T13,T13,Bubba Watson,76,38,14,24
14,15,15,Nick Watney,80,44,12,32
15,T16,T16,Chad Campbell,57,45,44,1
16,T16,T16,Sergio Garcia,61,45,31,14
17,18,18,Hunter Mahan,88,49,3,46
18,19,19,Harris English,95,50,33,17
19,20,20,Bill Haas,107,51,36,15
20,21,21,Keegan Bradley,89,54,8,46
21,22,22,John Merrick,87,55,36,19
22,23,23,Russell Knox,92,60,38,22
23,T24,T24,Ryan Moore,86,61,38,23
24,T24,T24,Willy Wilcox,51,61,19,42
25,T26,T26,Andrew Svoboda,77,62,44,18
26,T26,T26,Bo Van Pelt,83,62,46,16
27,28,28,Kyle Stanley,87,64,20,44
28,29,29,Shawn Stefani,60,66,6,60
29,30,30,Louis Oosthuizen,50,72,18,54
30,31,31,Dustin Johnson,58,73,52,21
31,T32,T32,Jim Furyk,84,74,62,12
32,T32,T32,John Senden,99,74,49,25
33,34,34,Gary Woodland,93,78,27,51
34,T35,T35,Jim Herman,62,80,25,55
35,T35,T35,Nicholas Thompson,85,80,34,46
36,T37,T37,Zach Johnson,97,82,51,31
37,T37,T37,Ben Martin,80,82,20,62
38,39,39,Martin Laird,66,83,25,58
39,40,40,David Toms,64,94,81,13
40,41,41,Charley Hoffman,93,96,61,35
41,T42,T42,Matt Kuchar,91,97,57,40
42,T42,T42,Will MacKenzie,82,97,27,70
43,44,44,Michael Putnam,106,98,62,36
44,45,45,Brendan Steele,89,101,48,53
45,46,46,Ryan Palmer,85,103,57,46
46,47,47,Justin Rose,70,106,65,41
47,48,48,Heath Slocum,71,109,76,33
48,49,49,Robert Streb,75,111,42,69
49,50,50,Charlie Beljan,76,116,34,82
50,51,51,Daniel Summerhays,98,118,76,42
51,52,52,Camilo Villegas,95,120,81,39
52,53,53,Charles Howell III,106,121,95,26
53,54,54,Brendon de Jonge,109,125,22,103
54,T55,T55,Scott Brown,100,127,38,89
55,T55,T55,Ken Duke,80,127,93,34
56,T57,T57,John Peterson,62,131,60,71
57,T57,T57,Carl Pettersson,91,131,85,46
58,T59,T59,Derek Ernst,80,133,5,128
59,T59,T59,Josh Teater,90,133,47,86
60,61,61,Paul Casey,56,136,71,65
61,T62,T62,Martin Kaymer,65,137,38,99
62,T62,T62,Michael Thompson,74,137,69,68
63,64,64,David Hearn,97,138,83,55
64,65,65,Robert Garrigus,80,140,56,84
65,66,66,Rickie Fowler,91,142,42,100
66,67,67,Ángel Cabrera,69,144,54,90
67,68,68,Billy Hurley III,86,146,83,63
68,T69,T69,Brooks Koepka,56,147,57,90
69,T69,T69,Hideki Matsuyama,82,147,31,116
70,T69,T69,Jimmy Walker,98,147,119,28
71,72,72,Webb Simpson,87,149,72,77
72,73,73,Jason Kokrak,65,150,76,74
