,Scoring_Average_RANK THIS WEEK,Scoring_Average_RANK LAST WEEK,Scoring_Average_PLAYER NAME,Scoring_Average_ROUNDS,Scoring_Average_AVG,Scoring_Average_TOTAL STROKES,Scoring_Average_TOTAL ADJUSTMENT,Scoring_Average_TOTAL ROUNDS
0,1,1,Steve Stricker,51,68.893,3252,- 14.042,47
1,2,2,Tiger Woods,61,68.944,4193,- 56.376,60
2,3,3,Justin Rose,62,69.225,4198,- 44.511,60
3,4,4,Henrik Stenson,65,69.248,4476,- 44.104,64
4,5,5,Adam Scott,61,69.3,4215,- 57.011,60
5,6,6,Sergio Garcia,65,69.543,4435,- 53.761,63
6,7,7,Matt Kuchar,93,69.561,6091,- 39.200,87
7,8,8,Charl Schwartzel,69,69.65100000000001,4791,- 54.726,68
8,9,9,Jordan Spieth,82,69.668,5738,- 25.220,82
9,10,10,Keegan Bradley,88,69.72399999999999,6091,- 25.013,87
10,11,11,Jason Day,86,69.732,5634,- 55.453,80
11,12,12,Phil Mickelson,78,69.742,5467,- 27.152,78
12,13,13,Webb Simpson,92,69.783,6183,- 42.076,88
13,14,14,Brandt Snedeker,79,69.791,5545,- 31.497,79
14,15,15,Luke Donald,60,69.793,4097,- 48.984,58
15,16,16,Jim Furyk,80,69.828,5497,- 50.441,78
16,17,17,Jason Dufner,78,69.91199999999999,5432,- 48.797,77
17,18,18,Bill Haas,85,70.023,5912,- 30.058,84
18,19,19,Zach Johnson,84,70.07300000000001,5845,- 28.937,83
19,20,20,Graham DeLaet,94,70.089,6599,- 10.604,94
20,21,21,Hunter Mahan,91,70.10600000000001,6003,- 44.004,85
21,22,22,Freddie Jacobson,63,70.108,4252,- 45.509,60
22,23,23,Dustin Johnson,71,70.115,4953,- 44.971,70
23,24,24,Brendon de Jonge,110,70.154,7701,15.926,110
24,25,25,Lee Westwood,70,70.158,4899,- 58.114,69
25,26,26,Ryan Palmer,79,70.167,5555,- 11.823,79
26,27,27,Chris Kirk,89,70.206,6231,17.375,89
27,28,28,Rickie Fowler,75,70.212,5245,- 49.294,74
