,First_Tee_Early_Round_2_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_2_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_2_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_2_Scoring_Average_AVG,First_Tee_Early_Round_2_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Erik Compton,66.67,200,3
1,2,2,Charlie Wi,67.25,269,4
2,3,3,David Lingmerth,67.67,203,3
3,T4,T4,Nicolas Colsaerts,68.0,68,1
4,T4,T4,Jason Dufner,68.0,272,4
5,T4,T4,David Mathis,68.0,272,4
6,T4,T4,Daniel Summerhays,68.0,204,3
7,T4,T4,Lee Westwood,68.0,68,1
8,T9,T9,Chad Campbell,68.5,411,6
9,T9,T9,Jerry Kelly,68.5,274,4
10,T9,T9,Cameron Percy,68.5,548,8
11,12,12,D.H. Lee,68.71,481,7
12,13,13,Gary Woodland,68.8,344,5
13,T14,T14,Keegan Bradley,69.0,138,2
14,T14,T14,Ryan Palmer,69.0,345,5
15,T14,T14,Steve Stricker,69.0,138,2
16,T14,T14,D.J. Trahan,69.0,69,1
17,18,18,Cameron Tringale,69.11,622,9
18,19,19,Henrik Norlander,69.17,415,6
19,20,20,John Merrick,69.2,692,10
20,21,21,Billy Horschel,69.25,277,4
21,T22,T22,Robert Streb,69.33,416,6
22,T22,T22,Josh Teater,69.33,208,3
23,24,24,Aaron Watkins,69.4,347,5
24,T25,T25,John Huh,69.43,486,7
25,T25,T25,Darron Stiles,69.43,486,7
26,27,27,John Senden,69.44,625,9
27,T28,T28,Ken Duke,69.5,695,10
28,T28,T28,Graeme McDowell,69.5,139,2
29,T28,T28,Camilo Villegas,69.5,278,4
30,31,31,Charl Schwartzel,69.6,348,5
31,32,32,Chris Kirk,69.64,975,14
32,T33,T33,Harris English,69.67,418,6
33,T33,T33,Fabián Gómez,69.67,209,3
34,T33,T33,Tim Herron,69.67,209,3
35,T33,T33,Jason Kokrak,69.67,418,6
36,T33,T33,Nick Watney,69.67,418,6
