,Par_Breakers_RANK THIS WEEK,Par_Breakers_RANK LAST WEEK,Par_Breakers_PLAYER NAME,Par_Breakers_ROUNDS,Par_Breakers_%,Par_Breakers_# BIRDIES/EAGLES,Par_Breakers_# HOLES
0,1,1,Phil Mickelson,78,23.86,335,1404
1,2,2,Steve Stricker,51,23.76,201,846
2,3,3,Tiger Woods,61,23.33,252,1080
3,4,4,Rory Sabbatini,86,23.17,342,1476
4,5,5,Charl Schwartzel,69,22.79,279,1224
5,6,6,Brandt Snedeker,79,22.57,321,1422
6,7,7,Rory McIlroy,56,22.53,223,990
7,T8,T8,Charley Hoffman,84,22.49,340,1512
8,T8,T8,Jordan Spieth,82,22.49,332,1476
9,10,10,Ryan Palmer,79,22.36,318,1422
10,11,11,Chris Kirk,89,22.35,358,1602
11,12,12,Billy Horschel,96,22.28,385,1728
12,T13,T13,Morgan Hoffmann,64,22.22,256,1152
13,T13,T13,Justin Rose,62,22.22,240,1080
14,15,15,Kevin Stadler,83,22.15,315,1422
15,16,16,Sangmoon Bae,83,22.09,330,1494
16,17,17,Harris English,95,21.93,375,1710
17,18,18,Dustin Johnson,71,21.9,276,1260
18,19,19,Henrik Stenson,65,21.7,250,1152
19,20,20,Graham DeLaet,94,21.69,367,1692
20,21,21,Matt Every,89,21.66,347,1602
21,22,22,Robert Garrigus,69,21.62,253,1170
22,23,23,Webb Simpson,92,21.59,342,1584
23,24,24,Keegan Bradley,88,21.58,338,1566
24,25,25,Bubba Watson,76,21.54,283,1314
25,26,26,Jimmy Walker,84,21.43,324,1512
26,27,27,Gary Woodland,94,21.3,345,1620
27,28,28,Adam Scott,61,21.2,229,1080
28,T29,T29,David Hearn,88,21.15,335,1584
29,T29,T29,Daniel Summerhays,83,21.15,316,1494
30,31,31,Vaughn Taylor,50,21.14,175,828
31,32,32,James Hahn,78,21.1,281,1332
32,33,33,Andres Romero,63,21.09,224,1062
33,34,34,Russell Henley,80,21.08,296,1404
34,35,35,Jason Bohn,70,21.03,265,1260
35,36,36,Brian Davis,91,21.0,344,1638
36,37,37,Charles Howell III,87,20.98,321,1530
37,T38,T38,Bryce Molder,82,20.97,302,1440
38,T38,T38,Charlie Wi,75,20.97,268,1278
39,40,40,Jason Kokrak,78,20.94,294,1404
40,41,41,Camilo Villegas,79,20.89,282,1350
41,T42,T42,Luke Donald,60,20.88,218,1044
42,T42,T42,Patrick Reed,83,20.88,312,1494
43,T44,T44,Brad Fritsch,81,20.85,289,1386
44,T44,T44,Pat Perez,69,20.85,259,1242
45,46,46,James Driscoll,76,20.83,270,1296
46,47,47,Matt Kuchar,93,20.82,326,1566
47,48,48,Sergio Garcia,65,20.81,236,1134
48,49,49,Steven Bowditch,67,20.77,243,1170
49,50,50,Scott Piercy,78,20.74,280,1350
50,51,51,Hunter Mahan,91,20.72,317,1530
51,52,52,Matt Jones,83,20.68,309,1494
52,53,53,David Lingmerth,68,20.67,253,1224
53,54,54,Brendon de Jonge,110,20.61,408,1980
54,55,55,Rickie Fowler,75,20.57,274,1332
