,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
0,1,1,Steve Stricker,51,12.29,104,846
1,2,2,Bob Estes,66,13.55,161,1188
2,3,3,Brendon de Jonge,110,13.79,273,1980
3,4,4,Matt Kuchar,93,13.92,218,1566
4,5,5,Charles Howell III,87,13.99,214,1530
5,6,6,Chris Kirk,89,14.04,225,1602
6,7,7,Bill Haas,85,14.22,215,1512
7,8,8,Henrik Stenson,65,14.58,168,1152
8,9,9,Stuart Appleby,88,14.62,221,1512
9,10,10,Richard Lee,81,14.65,203,1386
10,11,11,Chris Stroud,88,14.71,233,1584
11,12,12,Matt Jones,83,14.73,220,1494
12,13,13,Keegan Bradley,88,14.94,234,1566
13,14,14,Jim Furyk,80,14.96,210,1404
14,15,15,Tiger Woods,61,15.09,163,1080
15,16,16,Jerry Kelly,75,15.11,204,1350
16,17,17,Roberto Castro,97,15.12,264,1746
17,18,18,Graham DeLaet,94,15.13,256,1692
18,19,19,Justin Rose,62,15.28,165,1080
19,20,20,Jordan Spieth,82,15.31,226,1476
20,21,21,Cameron Tringale,80,15.35,221,1440
21,22,22,Zach Johnson,84,15.39,230,1494
22,23,23,Brian Stuard,78,15.47,206,1332
23,24,24,Chez Reavie,72,15.51,201,1296
24,25,25,Martin Flores,83,15.53,232,1494
25,26,26,Jimmy Walker,84,15.54,235,1512
26,27,27,Sergio Garcia,65,15.61,177,1134
27,28,28,K.J. Choi,85,15.67,237,1512
28,29,29,Adam Scott,61,15.74,170,1080
29,T30,T30,Phil Mickelson,78,15.81,222,1404
30,T30,T30,Mark Wilson,56,15.81,148,936
31,32,32,Brandt Snedeker,79,15.82,225,1422
32,33,33,Bryce Molder,82,15.83,228,1440
33,34,34,William McGirt,75,15.85,214,1350
34,35,35,Hunter Mahan,91,15.88,243,1530
35,36,36,Ben Crane,62,15.9,166,1044
36,37,37,John Rollins,77,16.06,211,1314
37,T38,T38,Jeff Overton,78,16.1,226,1404
38,T38,T38,Pat Perez,69,16.1,200,1242
39,T38,T38,Kevin Stadler,83,16.1,229,1422
40,41,41,Jason Day,86,16.11,232,1440
41,42,42,Kevin Streelman,86,16.15,250,1548
42,43,43,Chad Campbell,78,16.23,222,1368
43,44,44,J.J. Henry,83,16.26,237,1458
44,45,45,Erik Compton,74,16.29,217,1332
45,46,46,Jeff Maggert,63,16.31,185,1134
46,T47,T47,Cameron Percy,68,16.33,194,1188
47,T47,T47,Daniel Summerhays,83,16.33,244,1494
