,Late_Round_4_Scoring_Average_RANK THIS WEEK,Late_Round_4_Scoring_Average_RANK LAST WEEK,Late_Round_4_Scoring_Average_PLAYER NAME,Late_Round_4_Scoring_Average_AVG,Late_Round_4_Scoring_Average_TOTAL STROKES,Late_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Brian Gay,63.0,63,1
1,2,2,Justin Bolli,65.5,131,2
2,3,3,David Toms,67.25,269,4
3,T4,T4,Charlie Beljan,68.0,136,2
4,T4,T4,Bobby Gates,68.0,136,2
5,6,6,Jeff Overton,68.38,547,8
6,T7,T7,Scott Stallings,68.5,274,4
7,T7,T7,Boo Weekley,68.5,548,8
8,9,9,Scott Piercy,68.71,481,7
9,10,10,David Hearn,68.75,275,4
10,11,11,Kevin Stadler,68.86,482,7
11,T12,T12,Martin Laird,69.0,276,4
12,T12,T12,Geoff Ogilvy,69.0,69,1
13,T12,T12,Jin Park,69.0,138,2
14,T12,T12,D.A. Points,69.0,414,6
15,T12,T12,Patrick Reed,69.0,483,7
16,T12,T12,Brian Stuard,69.0,483,7
17,18,18,Jordan Spieth,69.08,829,12
18,19,19,Rory Sabbatini,69.11,622,9
19,20,20,Morgan Hoffmann,69.17,415,6
20,21,21,Michael Thompson,69.25,277,4
21,22,22,Webb Simpson,69.38,902,13
22,23,23,John Rollins,69.43,486,7
23,T24,T24,Russell Henley,69.5,556,8
24,T24,T24,Martin Kaymer,69.5,278,4
25,T24,T24,Seung-Yul Noh,69.5,139,2
26,27,27,Stewart Cink,69.6,348,5
27,T28,T28,Zach Johnson,69.64,975,14
28,T28,T28,Phil Mickelson,69.64,766,11
29,T30,T30,Derek Ernst,69.67,209,3
30,T30,T30,Dicky Pride,69.67,418,6
31,32,32,Charles Howell III,69.7,697,10
32,T33,T33,Chris Kirk,69.75,558,8
33,T33,T33,D.J. Trahan,69.75,279,4
34,T35,T35,Sangmoon Bae,69.8,349,5
35,T35,T35,Graham DeLaet,69.8,1047,15
36,T35,T35,Adam Scott,69.8,698,10
37,T35,T35,Robert Streb,69.8,349,5
38,39,39,"Ted Potter, Jr.",69.83,419,6
39,40,40,Tim Clark,69.86,489,7
40,41,41,Ryan Palmer,69.88,559,8
41,42,42,Henrik Stenson,69.89,629,9
42,T43,T43,Jason Bohn,70.0,280,4
43,T43,T43,Keegan Bradley,70.0,840,12
44,T43,T43,Brendon de Jonge,70.0,560,8
45,T43,T43,Harris English,70.0,700,10
46,T43,T43,Martin Flores,70.0,350,5
47,T43,T43,Robert Garrigus,70.0,280,4
48,T43,T43,Matt Jones,70.0,630,9
49,T43,T43,Brendan Steele,70.0,350,5
50,T43,T43,Josh Teater,70.0,420,6
51,T52,T52,Pat Perez,70.14,491,7
52,T52,T52,Chris Stroud,70.14,491,7
53,54,54,Chez Reavie,70.17,421,6
54,55,55,Kevin Streelman,70.18,772,11
55,56,56,David Lingmerth,70.2,351,5
56,57,57,Brian Davis,70.22,632,9
57,T58,T58,Dustin Johnson,70.25,562,8
58,T58,T58,William McGirt,70.25,281,4
59,T58,T58,Cameron Tringale,70.25,281,4
60,61,61,Jason Day,70.27,773,11
61,62,62,Justin Rose,70.31,914,13
62,T63,T63,Scott Gardiner,70.33,211,3
63,T63,T63,David Mathis,70.33,211,3
64,65,65,Marc Leishman,70.36,774,11
65,66,66,Greg Owen,70.4,352,5
66,67,67,Matt Every,70.45,775,11
67,68,68,Jason Kokrak,70.46,916,13
68,T69,T69,Ernie Els,70.5,282,4
69,T69,T69,Jim Herman,70.5,423,6
70,T69,T69,Tim Herron,70.5,141,2
71,T72,T72,Steven Bowditch,70.6,353,5
72,T72,T72,Brian Harman,70.6,353,5
73,T74,T74,Lucas Glover,70.67,424,6
74,T74,T74,Luke List,70.67,212,3
75,T74,T74,Rory McIlroy,70.67,636,9
76,77,77,Matt Kuchar,70.69,919,13
77,78,78,Steve Stricker,70.7,707,10
78,79,79,Scott Brown,70.71,495,7
79,80,80,Brandt Snedeker,70.73,778,11
80,T81,T81,K.J. Choi,70.75,283,4
81,T81,T81,Jeff Maggert,70.75,283,4
82,83,83,Billy Horschel,70.79,991,14
83,84,84,Chad Campbell,70.8,354,5
84,85,85,Nick Watney,70.9,709,10
85,T86,T86,Stuart Appleby,71.0,426,6
86,T86,T86,Ricky Barnes,71.0,142,2
87,T86,T86,Kevin Chappell,71.0,284,4
88,T86,T86,Mike Weir,71.0,71,1
89,90,90,Bill Haas,71.07,1066,15
90,91,91,Roberto Castro,71.08,853,12
91,92,92,John Huh,71.13,569,8
92,93,93,David Lynn,71.14,498,7
93,T94,T94,Freddie Jacobson,71.17,427,6
94,T94,T94,Richard Lee,71.17,427,6
95,T94,T94,Troy Matteson,71.17,427,6
96,97,97,Tiger Woods,71.18,783,11
97,98,98,Jimmy Walker,71.2,712,10
98,T99,T99,Ben Crane,71.25,285,4
99,T99,T99,Mark Wilson,71.25,285,4
100,101,101,James Hahn,71.3,713,10
101,T102,T102,George McNeill,71.33,428,6
102,T102,T102,Bryce Molder,71.33,428,6
103,T102,T102,Cameron Percy,71.33,428,6
104,T105,T105,Jim Furyk,71.36,999,14
105,T105,T105,Daniel Summerhays,71.36,785,11
106,107,107,Charl Schwartzel,71.42,857,12
107,108,108,Jerry Kelly,71.43,500,7
108,109,109,Ryan Moore,71.44,643,9
109,T110,T110,Bud Cauley,71.5,286,4
110,T110,T110,Nicolas Colsaerts,71.5,286,4
111,T110,T110,Robert Karlsson,71.5,143,2
112,T110,T110,Scott Langley,71.5,286,4
113,T110,T110,Graeme McDowell,71.5,429,6
114,T110,T110,Kyle Stanley,71.5,429,6
115,T110,T110,Shawn Stefani,71.5,286,4
116,T110,T110,Charlie Wi,71.5,286,4
117,118,118,James Driscoll,71.57,501,7
118,119,119,Tag Ridings,71.6,358,5
119,T120,T120,Jonas Blixt,71.67,430,6
120,T120,T120,Ben Curtis,71.67,215,3
121,T120,T120,Jason Dufner,71.67,645,9
122,T120,T120,D.H. Lee,71.67,430,6
123,T120,T120,Nicholas Thompson,71.67,645,9
124,T125,T125,Luke Donald,71.83,431,6
125,T125,T125,Hunter Mahan,71.83,862,12
126,127,127,Ian Poulter,71.9,719,10
127,T128,T128,Aaron Baddeley,72.0,360,5
128,T128,T128,Erik Compton,72.0,360,5
129,T128,T128,J.J. Henry,72.0,576,8
130,T128,T128,Rod Pampling,72.0,72,1
131,T128,T128,Carl Pettersson,72.0,216,3
132,T128,T128,Andres Romero,72.0,360,5
133,T128,T128,Bo Van Pelt,72.0,360,5
134,T128,T128,Lee Williams,72.0,144,2
135,T136,T136,Sergio Garcia,72.17,866,12
136,T136,T136,John Merrick,72.17,433,6
137,T136,T136,Camilo Villegas,72.17,433,6
138,139,139,Bob Estes,72.2,361,5
139,140,140,Vaughn Taylor,72.25,289,4
140,T141,T141,Peter Hanson,72.33,434,6
141,T141,T141,Brandt Jobe,72.33,217,3
142,T141,T141,Colt Knost,72.33,217,3
