,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
0,1,1,Steve Stricker,51,22.45,22,98
1,2,2,Dustin Johnson,71,22.08,53,240
2,3,3,Rory McIlroy,56,22.07,32,145
3,4,4,Freddie Jacobson,63,20.97,39,186
4,5,5,Sergio Garcia,65,20.35,35,172
5,6,6,Luke List,65,19.85,53,267
6,7,7,Ernie Els,63,19.5,31,159
7,8,8,Adam Scott,61,19.33,29,150
8,9,9,Kevin Stadler,83,19.01,46,242
9,10,10,Phil Mickelson,78,18.83,45,239
10,11,11,Andres Romero,63,18.59,37,199
11,12,12,Robert Garrigus,69,18.48,39,211
12,13,13,Rory Sabbatini,86,18.4,53,288
13,14,14,Scott Piercy,78,18.29,45,246
14,15,15,Sangmoon Bae,83,18.24,54,296
15,16,16,Webb Simpson,92,18.22,43,236
16,17,17,Jordan Spieth,82,18.14,37,204
17,18,18,Aaron Baddeley,68,17.86,45,252
18,19,19,Graham DeLaet,94,17.84,43,241
19,20,20,Tiger Woods,61,17.83,23,129
20,T21,T21,Camilo Villegas,79,17.7,43,243
21,T21,T21,Bubba Watson,76,17.7,40,226
22,23,23,David Lingmerth,68,17.65,36,204
23,24,24,Luke Guthrie,82,17.6,44,250
24,25,25,Patrick Reed,83,17.57,55,313
25,26,26,K.J. Choi,85,17.51,31,177
26,27,27,Jimmy Walker,84,17.43,53,304
27,28,28,Russell Henley,80,17.37,37,213
28,T29,T29,Jason Kokrak,78,17.35,51,294
29,T29,T29,Pat Perez,69,17.35,38,219
30,31,31,Zach Johnson,84,17.17,34,198
31,32,32,James Hahn,78,17.13,43,251
32,33,33,Ángel Cabrera,73,17.08,41,240
33,T34,T34,Matt Every,89,17.05,52,305
34,T34,T34,Josh Teater,86,17.05,37,217
35,36,36,Ryan Palmer,79,16.98,45,265
36,37,37,D.A. Points,87,16.89,37,219
37,38,38,Peter Hanson,45,16.88,26,154
38,39,39,Charles Howell III,87,16.72,54,323
39,T40,T40,Harris English,95,16.67,48,288
40,T40,T40,Charley Hoffman,84,16.67,40,240
41,T40,T40,Justin Rose,62,16.67,25,150
42,43,43,Marc Leishman,77,16.6,42,253
43,44,44,Matt Jones,83,16.45,38,231
44,45,45,Jason Bohn,70,16.43,34,207
45,46,46,Hunter Mahan,91,16.36,36,220
46,47,47,Kevin Streelman,86,16.28,35,215
47,48,48,Chris Stroud,88,16.27,41,252
48,49,49,Charl Schwartzel,69,16.13,30,186
49,50,50,Greg Chalmers,77,16.1,38,236
50,T51,T51,Chris Kirk,89,15.99,43,269
51,T51,T51,Cameron Tringale,80,15.99,43,269
52,T53,T53,Billy Horschel,96,15.97,42,263
53,T53,T53,Matt Kuchar,93,15.97,42,263
54,55,55,Shawn Stefani,63,15.94,33,207
55,56,56,Scott Gardiner,61,15.91,35,220
56,57,57,Henrik Norlander,70,15.88,37,233
57,58,58,Stephen Ames,49,15.85,26,164
58,59,59,Troy Matteson,68,15.81,34,215
59,60,60,Graeme McDowell,53,15.79,15,95
60,61,61,James Driscoll,76,15.73,39,248
61,62,62,Cameron Percy,68,15.67,34,217
62,63,63,Luke Donald,60,15.65,23,147
63,64,64,Jim Herman,59,15.61,27,173
64,65,65,Jason Day,86,15.58,36,231
65,T66,T66,Daniel Summerhays,83,15.44,44,285
66,T66,T66,Bo Van Pelt,72,15.44,23,149
67,68,68,Charlie Beljan,62,15.35,31,202
68,69,69,Chez Reavie,72,15.18,29,191
69,70,70,Nicholas Thompson,99,15.15,45,297
70,71,71,Jason Dufner,78,15.14,33,218
71,72,72,John Rollins,77,14.96,38,254
72,73,73,Richard Lee,81,14.95,32,214
73,74,74,John Merrick,79,14.88,36,242
