,First_Tee_Late_Round_4_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_4_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_4_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_4_Scoring_Average_AVG,First_Tee_Late_Round_4_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Brian Gay,63.0,63,1
1,2,2,Justin Bolli,65.5,131,2
2,3,3,Bobby Gates,66.0,66,1
3,4,4,David Toms,67.0,67,1
4,T5,T5,Martin Laird,67.67,203,3
5,T5,T5,Dicky Pride,67.67,203,3
6,7,7,Boo Weekley,67.83,407,6
7,8,8,Charlie Beljan,68.0,136,2
8,9,9,Scott Stallings,68.5,274,4
9,10,10,D.A. Points,68.6,343,5
10,11,11,Scott Piercy,68.71,481,7
11,12,12,David Hearn,68.75,275,4
12,13,13,Zach Johnson,68.82,757,11
13,14,14,Kevin Stadler,68.86,482,7
14,T15,T15,Steven Bowditch,69.0,207,3
15,T15,T15,Geoff Ogilvy,69.0,69,1
16,T15,T15,Jin Park,69.0,138,2
17,T15,T15,Patrick Reed,69.0,414,6
18,T15,T15,Brian Stuard,69.0,483,7
19,20,20,Morgan Hoffmann,69.17,415,6
20,21,21,Jordan Spieth,69.18,761,11
21,22,22,Rory Sabbatini,69.25,554,8
22,23,23,Russell Henley,69.29,485,7
23,T24,T24,Webb Simpson,69.33,832,12
24,T24,T24,D.J. Trahan,69.33,208,3
25,T26,T26,Jeff Overton,69.5,278,4
26,T26,T26,Josh Teater,69.5,278,4
27,T28,T28,Stewart Cink,69.6,348,5
28,T28,T28,Phil Mickelson,69.6,696,10
29,T30,T30,Martin Kaymer,69.67,209,3
30,T30,T30,John Rollins,69.67,418,6
31,32,32,Chris Kirk,69.75,558,8
32,T33,T33,Pat Perez,69.8,349,5
33,T33,T33,Adam Scott,69.8,698,10
34,35,35,"Ted Potter, Jr.",69.83,419,6
35,36,36,Ryan Palmer,69.86,489,7
36,37,37,Henrik Stenson,69.89,629,9
37,T38,T38,Jason Bohn,70.0,140,2
38,T38,T38,Keegan Bradley,70.0,840,12
39,T38,T38,Chad Campbell,70.0,280,4
40,T38,T38,Brendon de Jonge,70.0,560,8
41,T38,T38,Graham DeLaet,70.0,910,13
42,T38,T38,Harris English,70.0,700,10
43,T38,T38,Derek Ernst,70.0,70,1
44,T38,T38,Martin Flores,70.0,350,5
45,T38,T38,Robert Garrigus,70.0,280,4
46,T38,T38,Doug LaBelle II,70.0,70,1
47,T38,T38,Seung-Yul Noh,70.0,70,1
48,T38,T38,Henrik Norlander,70.0,70,1
49,50,50,Charles Howell III,70.11,631,9
50,51,51,Chris Stroud,70.14,491,7
51,T52,T52,David Lingmerth,70.2,351,5
52,T52,T52,Chez Reavie,70.2,351,5
53,T54,T54,Brian Davis,70.22,632,9
54,T54,T54,Matt Every,70.22,632,9
55,T56,T56,Dustin Johnson,70.25,562,8
56,T56,T56,Robert Streb,70.25,281,4
57,58,58,Kevin Streelman,70.3,703,10
58,59,59,Justin Rose,70.31,914,13
59,T60,T60,William McGirt,70.33,211,3
60,T60,T60,Michael Thompson,70.33,211,3
61,T60,T60,Cameron Tringale,70.33,211,3
62,T63,T63,Sangmoon Bae,70.5,282,4
63,T63,T63,Ernie Els,70.5,282,4
64,T63,T63,Jim Herman,70.5,423,6
65,T63,T63,Tim Herron,70.5,141,2
66,T63,T63,Jason Kokrak,70.5,705,10
67,T63,T63,Rory McIlroy,70.5,564,8
68,69,69,Nick Watney,70.56,635,9
69,70,70,Matt Jones,70.57,494,7
70,T71,T71,Brian Harman,70.6,353,5
71,T71,T71,Marc Leishman,70.6,706,10
72,T73,T73,Roberto Castro,70.64,777,11
73,T73,T73,Billy Horschel,70.64,777,11
74,75,75,Kevin Chappell,70.67,212,3
75,76,76,Matt Kuchar,70.69,919,13
76,77,77,Steve Stricker,70.7,707,10
77,78,78,Brandt Snedeker,70.73,778,11
78,T79,T79,K.J. Choi,70.75,283,4
79,T79,T79,Brendan Steele,70.75,283,4
80,T81,T81,Ricky Barnes,71.0,142,2
81,T81,T81,Tim Clark,71.0,355,5
82,T81,T81,Scott Gardiner,71.0,71,1
83,T81,T81,Scott Langley,71.0,213,3
84,T81,T81,Jeff Maggert,71.0,213,3
85,T81,T81,Lee Williams,71.0,71,1
86,87,87,Bill Haas,71.07,1066,15
87,88,88,Tiger Woods,71.1,711,10
88,89,89,Jason Day,71.11,640,9
89,90,90,John Huh,71.13,569,8
90,T91,T91,David Lynn,71.14,498,7
91,T91,T91,Jimmy Walker,71.14,498,7
92,T93,T93,Freddie Jacobson,71.17,427,6
93,T93,T93,Richard Lee,71.17,427,6
94,95,95,Daniel Summerhays,71.2,712,10
95,T96,T96,Ben Crane,71.25,285,4
96,T96,T96,Andres Romero,71.25,285,4
97,T96,T96,Mark Wilson,71.25,285,4
98,99,99,Bud Cauley,71.33,214,3
99,T100,T100,Lucas Glover,71.4,357,5
100,T100,T100,Bryce Molder,71.4,357,5
101,T100,T100,Kyle Stanley,71.4,357,5
102,103,103,Charl Schwartzel,71.42,857,12
103,104,104,Ryan Moore,71.44,643,9
104,T105,T105,Ben Curtis,71.5,143,2
105,T105,T105,Troy Matteson,71.5,286,4
106,T105,T105,Graeme McDowell,71.5,429,6
107,108,108,Jim Furyk,71.54,930,13
108,109,109,Scott Brown,71.6,358,5
109,T110,T110,Jason Dufner,71.67,645,9
110,T110,T110,Trevor Immelman,71.67,215,3
111,T110,T110,Charlie Wi,71.67,215,3
112,113,113,Jonas Blixt,71.75,287,4
113,114,114,James Hahn,71.8,359,5
114,T115,T115,Luke Donald,71.83,431,6
115,T115,T115,Jerry Kelly,71.83,431,6
116,T115,T115,Hunter Mahan,71.83,862,12
117,118,118,Nicholas Thompson,71.88,575,8
118,T119,T119,Michael Bradley,72.0,72,1
119,T119,T119,Erik Compton,72.0,360,5
120,T119,T119,Robert Karlsson,72.0,72,1
121,T119,T119,Luke List,72.0,72,1
122,T119,T119,David Mathis,72.0,72,1
123,T119,T119,Greg Owen,72.0,216,3
124,T119,T119,Rod Pampling,72.0,72,1
125,T119,T119,Cameron Percy,72.0,216,3
126,T119,T119,Bo Van Pelt,72.0,360,5
127,T128,T128,James Driscoll,72.17,433,6
128,T128,T128,Sergio Garcia,72.17,866,12
129,T128,T128,Camilo Villegas,72.17,433,6
130,T131,T131,Bob Estes,72.2,361,5
131,T131,T131,Justin Hicks,72.2,361,5
132,133,133,Ian Poulter,72.22,650,9
133,134,134,Vaughn Taylor,72.25,289,4
134,135,135,Ángel Cabrera,72.29,506,7
135,136,136,Nicolas Colsaerts,72.33,217,3
136,137,137,Luke Guthrie,72.43,507,7
137,T138,T138,Stuart Appleby,72.5,145,2
138,T138,T138,Darron Stiles,72.5,145,2
139,T140,T140,Ken Duke,72.6,363,5
140,T140,T140,Padraig Harrington,72.6,363,5
