,Final_Round_Performance_RANK THIS WEEK,Final_Round_Performance_RANK LAST WEEK,Final_Round_Performance_PLAYER NAME,Final_Round_Performance_EVENTS,Final_Round_Performance_%
0,1,1,Aaron Watkins,19,100.0
1,2,2,Henrik Stenson,18,86.67
2,T3,T3,Derek Ernst,21,85.71
3,T3,T3,Patrick Reed,26,85.71
4,T5,T5,Ernie Els,19,84.62
5,T5,T5,Doug LaBelle II,23,84.62
6,7,7,Michael Thompson,22,81.82
7,T8,T8,Jason Day,21,80.0
8,T8,T8,Dustin Johnson,22,80.0
9,10,10,Geoff Ogilvy,19,77.78
10,T11,T11,Martin Kaymer,17,76.92
11,T11,T11,Scott Stallings,27,76.92
12,T13,T13,Keegan Bradley,25,75.0
13,T13,T13,Bobby Gates,20,75.0
14,15,15,Boo Weekley,27,73.91
15,T16,T16,Scott Brown,21,72.73
16,T16,T16,"Ted Potter, Jr.",22,72.73
17,18,18,Kevin Streelman,25,72.22
18,T19,T19,John Rollins,24,71.43
19,T19,T19,D.J. Trahan,16,71.43
20,T19,T19,Mike Weir,22,71.43
21,T22,T22,Ryan Palmer,22,70.59
22,T22,T22,Brandt Snedeker,23,70.59
23,T24,T24,Stewart Cink,22,69.23
24,T24,T24,Brian Stuard,25,69.23
25,T26,T26,Marc Leishman,23,68.75
26,T26,T26,Camilo Villegas,23,68.75
27,T28,T28,Jason Bohn,23,66.67
28,T28,T28,Graeme McDowell,16,66.67
29,T28,T28,Phil Mickelson,21,66.67
30,T28,T28,Jordan Spieth,23,66.67
31,T28,T28,Robert Streb,25,66.67
32,T28,T28,Daniel Summerhays,26,66.67
33,T28,T28,Mark Wilson,19,66.67
34,T28,T28,Tiger Woods,16,66.67
35,36,36,Bryce Molder,24,64.71
36,37,37,Jonas Blixt,24,64.29
37,T38,T38,Matt Kuchar,23,63.64
38,T38,T38,Dicky Pride,23,63.64
39,40,40,K.J. Choi,24,63.16
40,41,41,Johnson Wagner,24,62.5
41,42,42,Graham DeLaet,26,61.9
42,T43,T43,Luke Donald,17,61.54
43,T43,T43,James Hahn,26,61.54
44,T43,T43,Rory McIlroy,16,61.54
45,T46,T46,Jim Furyk,22,61.11
