,Rounds_in_the_60s_RANK THIS WEEK,Rounds_in_the_60s_RANK LAST WEEK,Rounds_in_the_60s_PLAYER NAME,Rounds_in_the_60s_EVENTS,Rounds_in_the_60s_TOTAL RNDS
0,1,1,Brendon de Jonge,30,48
1,2,2,Billy Horschel,26,42
2,3,3,Jordan Spieth,23,41
3,4,4,Chris Kirk,24,40
4,T5,T5,Keegan Bradley,25,39
5,T5,T5,Harris English,26,39
6,T5,T5,Zach Johnson,24,39
7,T8,T8,Roberto Castro,29,38
8,T8,T8,Rory Sabbatini,27,38
9,T10,T10,Graham DeLaet,26,37
10,T10,T10,Charles Howell III,26,37
11,T12,T12,Matt Jones,24,36
12,T12,T12,Hunter Mahan,25,36
13,T12,T12,Bryce Molder,24,36
14,T15,T15,Matt Kuchar,23,35
15,T15,T15,Jimmy Walker,24,35
16,T15,T15,Boo Weekley,27,35
17,T18,T18,Chris Stroud,26,34
18,T18,T18,Daniel Summerhays,26,34
19,T18,T18,Nicholas Thompson,29,34
20,T21,T21,Brian Davis,28,33
21,T21,T21,Jim Furyk,22,33
22,T21,T21,Bill Haas,25,33
23,T21,T21,Brandt Snedeker,23,33
24,T21,T21,Kevin Stadler,25,33
25,T26,T26,Matt Every,28,32
26,T26,T26,David Hearn,26,32
27,T26,T26,Webb Simpson,25,32
28,T26,T26,Nick Watney,26,32
29,30,30,Kevin Streelman,25,31
30,T31,T31,Stuart Appleby,25,30
31,T31,T31,Phil Mickelson,21,30
32,T31,T31,Jeff Overton,24,30
33,T31,T31,Camilo Villegas,23,30
34,T31,T31,Gary Woodland,26,30
35,T36,T36,Jason Day,21,29
36,T36,T36,Bob Estes,18,29
37,T36,T36,Charley Hoffman,23,29
38,T36,T36,Dustin Johnson,22,29
39,T36,T36,John Merrick,23,29
40,T36,T36,Henrik Stenson,18,29
41,T36,T36,Brian Stuard,25,29
42,T43,T43,Steven Bowditch,22,28
43,T43,T43,Kevin Chappell,24,28
44,T43,T43,Martin Flores,25,28
45,T43,T43,Richard Lee,24,28
46,T43,T43,Ryan Palmer,22,28
47,T43,T43,Patrick Reed,26,28
48,T43,T43,John Rollins,24,28
49,T50,T50,Jason Dufner,22,27
50,T50,T50,Luke Guthrie,27,27
51,T50,T50,Morgan Hoffmann,20,27
52,T50,T50,Jerry Kelly,22,27
53,T50,T50,Justin Rose,17,27
54,T50,T50,Brendan Steele,26,27
55,T50,T50,Cameron Tringale,24,27
56,T57,T57,Greg Chalmers,25,26
57,T57,T57,K.J. Choi,24,26
58,T57,T57,James Driscoll,23,26
59,T57,T57,Sergio Garcia,17,26
60,T57,T57,Brian Harman,29,26
61,T57,T57,Justin Hicks,25,26
62,T57,T57,John Huh,28,26
63,T57,T57,Jason Kokrak,25,26
64,T57,T57,Charl Schwartzel,19,26
65,T57,T57,Steve Stricker,13,26
66,T67,T67,Jonas Blixt,24,25
67,T67,T67,Ken Duke,28,25
68,T67,T67,Russell Henley,24,25
69,T67,T67,J.J. Henry,26,25
70,T67,T67,Justin Leonard,24,25
71,T67,T67,George McNeill,21,25
72,T67,T67,Ryan Moore,22,25
73,T67,T67,Adam Scott,16,25
74,T75,T75,Sangmoon Bae,26,24
75,T75,T75,Rickie Fowler,22,24
76,T75,T75,William McGirt,24,24
77,T75,T75,Scott Piercy,24,24
78,T75,T75,D.A. Points,28,24
79,T75,T75,Chez Reavie,22,24
80,T75,T75,Bubba Watson,21,24
81,T75,T75,Tiger Woods,16,24
82,T83,T83,Ángel Cabrera,21,23
83,T83,T83,Chad Campbell,25,23
84,T83,T83,Erik Compton,24,23
85,T83,T83,Brad Fritsch,24,23
86,T83,T83,Brian Gay,24,23
87,T83,T83,Ben Kohles,25,23
88,T83,T83,D.H. Lee,22,23
89,T83,T83,Greg Owen,24,23
90,T83,T83,Robert Streb,25,23
91,T83,T83,Josh Teater,24,23
92,T83,T83,Bo Van Pelt,22,23
93,T83,T83,Lee Westwood,19,23
94,T95,T95,Aaron Baddeley,24,22
95,T95,T95,Jason Bohn,23,22
96,T95,T95,Tim Clark,20,22
97,T95,T95,Jim Herman,19,22
98,T95,T95,Martin Kaymer,17,22
99,T95,T95,Marc Leishman,23,22
100,T95,T95,David Lingmerth,23,22
101,T95,T95,Pat Perez,22,22
102,T95,T95,Scott Stallings,27,22
103,T104,T104,Ricky Barnes,26,21
104,T104,T104,Ben Crane,21,21
105,T104,T104,Robert Garrigus,22,21
106,T104,T104,Fabián Gómez,23,21
107,T104,T104,Steve LeBrun,21,21
108,T109,T109,Stewart Cink,22,20
109,T109,T109,Tom Gillis,22,20
110,T109,T109,James Hahn,26,20
111,T109,T109,Ryo Ishikawa,23,20
112,T109,T109,Freddie Jacobson,19,20
113,T109,T109,Doug LaBelle II,23,20
114,T109,T109,Cameron Percy,21,20
115,T109,T109,"Ted Potter, Jr.",22,20
116,T109,T109,Kyle Stanley,24,20
117,T109,T109,Shawn Stefani,21,20
118,T109,T109,Charlie Wi,23,20
119,T120,T120,Luke Donald,17,19
120,T120,T120,Jeff Maggert,21,19
121,T120,T120,Dicky Pride,23,19
122,T123,T123,Scott Brown,21,18
123,T123,T123,Brandt Jobe,19,18
124,T123,T123,David Lynn,22,18
125,T123,T123,Carl Pettersson,24,18
126,T123,T123,Ian Poulter,16,18
127,T123,T123,Tag Ridings,24,18
128,T123,T123,Andres Romero,21,18
129,T123,T123,John Senden,25,18
130,T123,T123,Casey Wittenberg,27,18
131,T132,T132,Stephen Ames,19,17
132,T132,T132,Will Claxton,24,17
133,T132,T132,Tommy Gainey,28,17
134,T132,T132,Colt Knost,25,17
135,T132,T132,Seung-Yul Noh,25,17
136,T132,T132,Nick O'Hern,10,17
137,T132,T132,Michael Thompson,22,17
138,T139,T139,Charlie Beljan,24,16
139,T139,T139,Justin Bolli,23,16
140,T139,T139,Ernie Els,19,16
141,T139,T139,Lucas Glover,23,16
142,T139,T139,Robert Karlsson,18,16
143,T139,T139,Scott Langley,27,16
144,T139,T139,Henrik Norlander,22,16
145,T139,T139,Vijay Singh,19,16
146,T139,T139,Vaughn Taylor,16,16
147,T139,T139,Brendon Todd,10,16
148,T139,T139,Lee Williams,22,16
149,T139,T139,Mark Wilson,19,16
150,T151,T151,Bud Cauley,24,15
151,T151,T151,Russell Knox,11,15
152,T151,T151,Troy Matteson,24,15
153,T151,T151,Rory McIlroy,16,15
154,T151,T151,Alistair Presnell,23,15
155,T151,T151,David Toms,16,15
156,T157,T157,Scott Gardiner,23,14
157,T157,T157,Martin Laird,21,14
158,T157,T157,David Mathis,24,14
159,T157,T157,Graeme McDowell,16,14
160,T157,T157,D.J. Trahan,16,14
161,T157,T157,Mike Weir,22,14
162,T163,T163,Luke List,24,13
163,T163,T163,Y.E. Yang,19,13
164,T165,T165,Peter Hanson,15,12
165,T165,T165,Tim Herron,15,12
166,T165,T165,Michael Letzig,17,12
167,T165,T165,Tim Petrovic,12,12
168,T165,T165,Peter Tomasulo,10,12
169,T170,T170,Derek Ernst,21,11
170,T170,T170,Ross Fisher,15,11
171,T170,T170,Davis Love III,15,11
172,T170,T170,Sean O'Hair,22,11
173,T170,T170,Darron Stiles,20,11
174,T170,T170,Aaron Watkins,19,11
175,T176,T176,Nicolas Colsaerts,17,10
176,T176,T176,Andres Gonzales,17,10
177,T176,T176,Trevor Immelman,24,10
178,T176,T176,John Mallinger,12,10
179,T176,T176,Geoff Ogilvy,19,10
180,T176,T176,Louis Oosthuizen,12,10
181,T176,T176,Jin Park,20,10
182,T176,T176,Kevin Sutherland,13,10
183,T176,T176,Andrew Svoboda,18,10
184,T176,T176,Johnson Wagner,24,10
185,T186,T186,Michael Bradley,21,9
186,T186,T186,Jonathan Byrd,16,9
187,T186,T186,Chris DiMarco,11,9
188,T186,T186,Padraig Harrington,17,9
189,T186,T186,Steve Marino,12,9
190,T186,T186,Hideki Matsuyama,7,9
191,T186,T186,Eric Meierdierks,19,9
192,T186,T186,Rod Pampling,16,9
193,T186,T186,Heath Slocum,9,9
194,T186,T186,Joey Snyder III,15,9
195,T196,T196,Woody Austin,8,8
196,T196,T196,Steve Flesch,6,8
197,T196,T196,Retief Goosen,9,8
198,T196,T196,Nathan Green,9,8
199,T196,T196,Paul Haley II,18,8
200,T196,T196,Jeff Klauk,8,8
201,T196,T196,Joe Ogilvie,15,8
202,T196,T196,Marcel Siem,9,8
203,T196,T196,Scott Verplank,14,8
204,T205,T205,Joe Affrunti,5,7
205,T205,T205,Robert Allenby,24,7
206,T205,T205,Gary Christian,10,7
207,T205,T205,Ben Curtis,20,7
208,T205,T205,Bill Lunde,10,7
209,T205,T205,Kevin Na,8,7
210,T205,T205,"Wes Short, Jr.",15,7
211,T212,T212,Matt Bettencourt,9,6
212,T212,T212,George Coetzee,11,6
213,T212,T212,John Daly,12,6
214,T212,T212,Miguel Angel Jiménez,3,6
215,T212,T212,Billy Mayfair,14,6
216,T212,T212,Thorbjørn Olesen,11,6
217,T212,T212,Kyle Reifers,4,6
218,T219,T219,Patrick Cantlay,7,5
219,T219,T219,Donald Constable,16,5
220,T219,T219,Glen Day,6,5
221,T219,T219,Stephen Gallacher,5,5
222,T219,T219,Jeff Gove,17,5
223,T219,T219,Ken Looper,2,5
224,T219,T219,Kenny Perry,3,5
225,T226,T226,Arjun Atwal,8,4
226,T226,T226,Shane Bertsch,1,4
227,T226,T226,Gonzalo Fernandez-Castaño,12,4
228,T226,T226,Bobby Gates,20,4
229,T226,T226,Hank Kuehne,5,4
230,T226,T226,Danny Lee,1,4
