,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
0,1,1,Steve Stricker,51,69.19,3252,47
1,2,2,Tiger Woods,61,69.88,4193,60
2,3,3,Henrik Stenson,65,69.94,4476,64
3,4,4,Justin Rose,62,69.97,4198,60
4,5,5,Jordan Spieth,82,69.98,5738,82
5,T6,T6,Keegan Bradley,88,70.01,6091,87
6,T6,T6,Brendon de Jonge,110,70.01,7701,110
7,T6,T6,Chris Kirk,89,70.01,6231,89
8,T6,T6,Matt Kuchar,93,70.01,6091,87
9,10,10,Charles Howell III,87,70.07,5956,85
10,11,11,Phil Mickelson,78,70.09,5467,78
11,12,12,Matt Jones,83,70.17,5824,83
12,13,13,Brandt Snedeker,79,70.19,5545,79
13,14,14,Graham DeLaet,94,70.2,6599,94
14,15,15,Adam Scott,61,70.25,4215,60
15,T16,T16,Bryce Molder,82,70.26,5621,80
16,T16,T16,Rory Sabbatini,86,70.26,5761,82
17,T16,T16,Webb Simpson,92,70.26,6183,88
18,19,19,Ryan Palmer,79,70.32,5555,79
19,T20,T20,Roberto Castro,97,70.35,6824,97
20,T20,T20,Kevin Stadler,83,70.35,5558,79
21,22,22,Bill Haas,85,70.38,5912,84
22,T23,T23,Sergio Garcia,65,70.4,4435,63
23,T23,T23,Jimmy Walker,84,70.4,5914,84
24,25,25,Morgan Hoffmann,64,70.41,4506,64
25,T26,T26,Bob Estes,66,70.42,4648,66
26,T26,T26,Zach Johnson,84,70.42,5845,83
27,28,28,Jason Day,86,70.43,5634,80
28,29,29,Martin Flores,83,70.45,5847,83
29,T30,T30,Harris English,95,70.46,6694,95
30,T30,T30,Charl Schwartzel,69,70.46,4791,68
31,32,32,Jim Furyk,80,70.47,5497,78
32,33,33,Billy Horschel,96,70.49,6767,96
33,34,34,Chris Stroud,88,70.52,6206,88
34,T35,T35,Jason Dufner,78,70.55,5432,77
