,Lowest_Round_RANK THIS WEEK,Lowest_Round_RANK LAST WEEK,Lowest_Round_PLAYER NAME,Lowest_Round_ROUNDS,Lowest_Round_VALUE,Lowest_Round_TOURN/COURSE,Lowest_Round_ROUND
0,1,1,Jim Furyk,80,59,BMW Champ/Conwa,2
1,T2,T2,Keegan Bradley,88,60,HP Byron Nelson,1
2,T2,T2,Phil Mickelson,78,60,Phoenix Open/TP,1
3,T4,T4,Charley Hoffman,84,61,Travelers Champ,1
4,T4,T4,Matt Kuchar,93,61,BMW Champ/Conwa,3
5,T4,T4,Scott Piercy,78,61,Phoenix Open/TP,4
6,T4,T4,Chez Reavie,72,61,John Deere Clas,2
7,T4,T4,Tiger Woods,61,61,WGC-Bridgestone,2
8,T9,T9,Kevin Chappell,80,62,The Barclays/Li,3
9,T9,T9,Franklin Corpening,4,62,Crowne Plaza/Co,4
10,T9,T9,Graham DeLaet,94,62,Deutsche Bank/T,3
11,T9,T9,Harris English,95,62,Sony Open/Waial,3
12,T9,T9,Matt Every,89,62,The Greenbrier/,2
13,T9,T9,Tommy Gainey,84,62,The Greenbrier/,1
14,T9,T9,Lucas Glover,65,62,John Deere Clas,2
15,T9,T9,James Hahn,78,62,Phoenix Open/TP,4
16,T9,T9,John Huh,88,62,Wyndham Champ/S,2
17,T9,T9,Matt Jones,83,62,Wyndham Champ/S,4
18,T9,T9,Chris Kirk,89,62,Sony Open/Waial,2
19,T9,T9,Scott Langley,79,62,Sony Open/Waial,1
20,T9,T9,David Lingmerth,68,62,Humana/PGA West,4
21,T9,T9,Hunter Mahan,91,62,Travelers Champ,1
22,T9,T9,Billy Mayfair,34,62,Sanderson Farms,2
23,T9,T9,John Merrick,79,62,Canadian Open/G,2
24,T9,T9,Ryan Palmer,79,62,Crowne Plaza/Co,1
25,T9,T9,Jordan Spieth,82,62,Deutsche Bank/T,4
26,T9,T9,Brian Stuard,78,62,Humana/PGA West,3
27,T9,T9,Daniel Summerhays,83,62,John Deere Clas,3
28,T9,T9,David Toms,49,62,Wyndham Champ/S,4
29,T9,T9,Johnson Wagner,64,62,The Greenbrier/,1
30,T31,T31,Scott Brown,65,63,Puerto Rico/Tru,2
31,T31,T31,Ángel Cabrera,73,63,Travelers Champ,4
32,T31,T31,Roberto Castro,97,63,THE PLAYERS/TPC,1
33,T31,T31,Bud Cauley,67,63,Humana/PGA West,2
