,First_Tee_Early_Round_1_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_1_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_1_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_1_Scoring_Average_AVG,First_Tee_Early_Round_1_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Matt Kuchar,67.0,134,2
1,2,2,Camilo Villegas,67.33,404,6
2,3,3,Jeff Overton,67.75,271,4
3,T4,T4,Sergio Garcia,68.0,68,1
4,T4,T4,Jim Herman,68.0,136,2
5,6,6,Zach Johnson,68.29,478,7
6,7,7,Morgan Hoffmann,68.63,549,8
7,8,8,Charles Howell III,68.67,206,3
8,9,9,Alistair Presnell,68.75,275,4
9,T10,T10,Bob Estes,68.8,344,5
10,T10,T10,Jeff Maggert,68.8,344,5
11,T12,T12,Kevin Chappell,69.0,483,7
12,T12,T12,Freddie Jacobson,69.0,414,6
13,T12,T12,Matt Jones,69.0,414,6
14,15,15,Jason Kokrak,69.17,415,6
15,T16,T16,Billy Horschel,69.2,346,5
16,T16,T16,Henrik Stenson,69.2,346,5
17,T18,T18,Brandt Snedeker,69.25,277,4
18,T18,T18,Boo Weekley,69.25,554,8
19,20,20,Jerry Kelly,69.36,763,11
20,21,21,Daniel Summerhays,69.4,694,10
21,22,22,Jonas Blixt,69.43,486,7
22,23,23,Scott Piercy,69.5,556,8
23,24,24,Ben Kohles,69.57,487,7
24,T25,T25,Brendon de Jonge,69.67,627,9
25,T25,T25,Brandt Jobe,69.67,209,3
26,T25,T25,Dustin Johnson,69.67,209,3
27,T25,T25,Robert Karlsson,69.67,209,3
28,T29,T29,Brad Fritsch,69.75,279,4
29,T29,T29,Jim Furyk,69.75,279,4
30,T29,T29,Gary Woodland,69.75,558,8
31,T32,T32,Charley Hoffman,69.8,349,5
32,T32,T32,Hunter Mahan,69.8,349,5
33,34,34,Y.E. Yang,69.83,419,6
34,35,35,Bryce Molder,69.89,629,9
35,T36,T36,Charl Schwartzel,70.0,280,4
36,T36,T36,Cameron Tringale,70.0,280,4
37,T36,T36,Tiger Woods,70.0,70,1
38,T39,T39,Jin Park,70.17,421,6
39,T39,T39,Dicky Pride,70.17,421,6
40,41,41,Chez Reavie,70.2,351,5
41,42,42,Graham DeLaet,70.22,632,9
42,43,43,D.J. Trahan,70.25,281,4
43,T44,T44,Chris Kirk,70.29,492,7
44,T44,T44,Lee Westwood,70.29,492,7
45,T46,T46,Harris English,70.33,211,3
46,T46,T46,Rickie Fowler,70.33,211,3
47,T46,T46,Bill Haas,70.33,422,6
48,T46,T46,Kevin Stadler,70.33,633,9
49,T46,T46,Charlie Wi,70.33,211,3
50,T51,T51,Tommy Gainey,70.38,563,8
51,T51,T51,Russell Henley,70.38,563,8
52,T53,T53,Tim Herron,70.4,352,5
53,T53,T53,D.H. Lee,70.4,352,5
54,55,55,Roberto Castro,70.44,634,9
55,T56,T56,James Driscoll,70.5,423,6
56,T56,T56,Tom Gillis,70.5,282,4
57,T56,T56,Phil Mickelson,70.5,141,2
58,T56,T56,Seung-Yul Noh,70.5,282,4
59,T56,T56,Jordan Spieth,70.5,141,2
60,61,61,Rory Sabbatini,70.55,776,11
61,T62,T62,Ryan Moore,70.56,635,9
62,T62,T62,Robert Streb,70.56,635,9
63,T64,T64,Michael Thompson,70.57,494,7
64,T64,T64,Jimmy Walker,70.57,494,7
65,T64,T64,Nick Watney,70.57,494,7
66,T67,T67,Scott Langley,70.6,353,5
67,T67,T67,Justin Leonard,70.6,353,5
68,T67,T67,Ryan Palmer,70.6,353,5
69,T67,T67,Kyle Stanley,70.6,353,5
70,T67,T67,Andrew Svoboda,70.6,353,5
71,T72,T72,Matt Every,70.67,424,6
72,T72,T72,Vaughn Taylor,70.67,424,6
73,74,74,Jason Dufner,70.71,495,7
74,T75,T75,Justin Bolli,70.75,283,4
75,T75,T75,Nicholas Thompson,70.75,566,8
76,77,77,Marc Leishman,70.78,637,9
77,78,78,Jason Bohn,70.8,354,5
78,T79,T79,Brian Davis,70.83,425,6
79,T79,T79,Peter Hanson,70.83,425,6
