,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
0,1,1,D.H. Lee,65,69.09,1520,22
1,2,2,Daniel Summerhays,83,69.27,1524,22
2,3,3,Robert Streb,75,69.64,1741,25
3,4,4,Steve Stricker,51,69.67,209,3
4,5,5,Camilo Villegas,79,69.68,1533,22
5,6,6,Brandt Snedeker,79,69.71,1185,17
6,7,7,Jason Kokrak,78,69.73,1046,15
7,8,8,Cameron Tringale,80,69.76,2023,29
8,9,9,Webb Simpson,92,69.85,1397,20
9,10,10,Jason Day,86,69.86,1537,22
10,11,11,Jerry Kelly,75,69.88,1817,26
11,12,12,Morgan Hoffmann,64,69.9,1468,21
12,13,13,Sergio Garcia,65,69.92,909,13
13,14,14,Matt Every,89,69.94,1259,18
14,15,15,Brendon de Jonge,110,69.95,2588,37
15,16,16,Jimmy Walker,84,69.96,1959,28
16,T17,T17,Matt Jones,83,70.0,1890,27
17,T17,T17,Matt Kuchar,93,70.0,1260,18
18,T19,T19,Nick Watney,88,70.07,1892,27
19,T19,T19,Bubba Watson,76,70.07,981,14
20,21,21,Billy Horschel,96,70.1,1472,21
21,T22,T22,Erik Compton,74,70.11,1332,19
22,T22,T22,Charl Schwartzel,69,70.11,1262,18
23,24,24,Jordan Spieth,82,70.17,1263,18
24,T25,T25,John Merrick,79,70.19,2246,32
25,T25,T25,Ryan Palmer,79,70.19,1825,26
26,27,27,Bryce Molder,82,70.22,2247,32
27,T28,T28,Brandt Jobe,62,70.26,1335,19
28,T28,T28,Zach Johnson,84,70.26,1335,19
29,T30,T30,Luke Donald,60,70.27,1054,15
30,T30,T30,Andres Romero,63,70.27,1054,15
31,T32,T32,Ricky Barnes,74,70.29,1687,24
32,T32,T32,Kevin Stadler,83,70.29,2390,34
33,34,34,Chris Kirk,89,70.35,2392,34
34,35,35,Charlie Wi,75,70.37,1337,19
35,T36,T36,Jason Dufner,78,70.42,1831,26
36,T36,T36,Aaron Watkins,46,70.42,845,12
37,T38,T38,Roberto Castro,97,70.44,2254,32
38,T38,T38,Jim Furyk,80,70.44,1268,18
39,T38,T38,Charles Howell III,87,70.44,1761,25
40,T38,T38,Adam Scott,61,70.44,634,9
41,42,42,Brian Davis,91,70.45,2184,31
42,43,43,Ryan Moore,72,70.46,1832,26
43,44,44,D.J. Trahan,48,70.5,705,10
44,45,45,Gary Woodland,94,70.55,2187,31
45,46,46,Y.E. Yang,56,70.61,1271,18
46,47,47,Rory Sabbatini,86,70.62,1836,26
47,48,48,Bob Estes,66,70.64,1554,22
48,49,49,Jin Park,52,70.65,1201,17
49,T50,T50,Dicky Pride,71,70.67,1484,21
50,T50,T50,Andrew Svoboda,46,70.67,1060,15
51,52,52,Tiger Woods,61,70.7,707,10
52,53,53,Harris English,95,70.72,1768,25
53,54,54,Keegan Bradley,88,70.73,1061,15
54,55,55,Bill Haas,85,70.74,1344,19
55,T56,T56,Stephen Ames,49,70.75,1132,16
56,T56,T56,Justin Rose,62,70.75,283,4
57,T58,T58,Stuart Appleby,88,70.76,1203,17
58,T58,T58,Robert Karlsson,56,70.76,1203,17
59,60,60,Ken Duke,87,70.77,2477,35
60,61,61,Vaughn Taylor,50,70.8,1062,15
61,T62,T62,Graham DeLaet,94,70.83,2054,29
62,T62,T62,David Mathis,71,70.83,1275,18
63,T62,T62,Henrik Norlander,70,70.83,1629,23
64,T65,T65,Ángel Cabrera,73,70.86,1559,22
65,T65,T65,Ben Kohles,75,70.86,1559,22
66,T65,T65,Marc Leishman,77,70.86,1488,21
67,68,68,Jim Herman,59,70.87,1063,15
68,T69,T69,Rickie Fowler,75,70.88,1134,16
69,T69,T69,Dustin Johnson,71,70.88,1205,17
70,T69,T69,Henrik Stenson,65,70.88,1205,17
71,T69,T69,Darron Stiles,51,70.88,1205,17
72,T73,T73,Jeff Maggert,63,70.89,1347,19
73,T73,T73,"Ted Potter, Jr.",65,70.89,1276,18
74,75,75,Cameron Percy,68,70.9,2056,29
75,T76,T76,Aaron Baddeley,68,70.91,1560,22
76,T76,T76,Patrick Reed,83,70.91,1631,23
77,T78,T78,Brian Harman,89,70.92,1773,25
78,T78,T78,Ian Poulter,59,70.92,851,12
79,T78,T78,Chez Reavie,72,70.92,1844,26
80,T81,T81,Chad Campbell,78,70.93,1915,27
81,T81,T81,John Senden,79,70.93,2057,29
82,T83,T83,James Driscoll,76,70.94,1206,17
83,T83,T83,David Hearn,88,70.94,2341,33
84,T85,T85,Jonas Blixt,76,70.96,1703,24
85,T85,T85,Freddie Jacobson,63,70.96,1845,26
86,87,87,Justin Leonard,86,70.97,2129,30
87,T88,T88,Jason Bohn,70,71.0,1704,24
88,T88,T88,Tom Gillis,69,71.0,1207,17
89,T88,T88,Charley Hoffman,84,71.0,1420,20
90,T88,T88,Brian Stuard,78,71.0,1136,16
91,T92,T92,J.J. Henry,83,71.04,1847,26
92,T92,T92,Ryo Ishikawa,72,71.04,1634,23
93,T94,T94,James Hahn,78,71.05,1350,19
94,T94,T94,Boo Weekley,100,71.05,2700,38
95,96,96,Tim Herron,45,71.07,1066,15
96,97,97,Hunter Mahan,91,71.09,1564,22
97,98,98,Fabián Gómez,65,71.13,1138,16
98,99,99,Robert Allenby,58,71.15,1423,20
99,100,100,Pat Perez,69,71.16,1352,19
100,101,101,Rory McIlroy,56,71.18,783,11
101,102,102,Lee Westwood,70,71.2,1424,20
102,T103,T103,Martin Flores,83,71.21,2065,29
103,T103,T103,Greg Owen,73,71.21,1709,24
104,T105,T105,Kevin Chappell,80,71.23,2137,30
105,T105,T105,K.J. Choi,85,71.23,2493,35
106,107,107,Troy Matteson,68,71.25,1425,20
107,T108,T108,Tim Clark,64,71.26,1354,19
108,T108,T108,Brad Fritsch,81,71.26,1639,23
109,T108,T108,Doug LaBelle II,72,71.26,1639,23
110,111,111,Russell Henley,80,71.28,2067,29
111,112,112,Vijay Singh,61,71.29,1497,21
112,113,113,David Lingmerth,68,71.3,1640,23
113,114,114,Luke List,65,71.32,1355,19
114,T115,T115,Steve LeBrun,66,71.33,1498,21
115,T115,T115,William McGirt,75,71.33,2354,33
116,117,117,Phil Mickelson,78,71.36,999,14
117,118,118,Lee Williams,62,71.37,1356,19
118,T119,T119,Alistair Presnell,59,71.44,1143,16
119,T119,T119,Tag Ridings,69,71.44,1286,18
120,T121,T121,Stewart Cink,71,71.5,1859,26
121,T121,T121,Brendan Steele,86,71.5,2288,32
122,T123,T123,Martin Laird,68,71.52,1788,25
123,T123,T123,Jeff Overton,78,71.52,1645,23
124,125,125,Ernie Els,63,71.53,1359,19
125,126,126,Scott Brown,65,71.54,2003,28
126,127,127,Will Claxton,67,71.55,1431,20
127,T128,T128,Sangmoon Bae,83,71.56,1789,25
128,T128,T128,Scott Piercy,78,71.56,1932,27
129,T128,T128,Kevin Streelman,86,71.56,1789,25
130,T131,T131,Peter Hanson,45,71.57,1002,14
131,T131,T131,David Lynn,70,71.57,1646,23
132,133,133,George McNeill,68,71.58,1360,19
133,134,134,Luke Guthrie,82,71.59,1217,17
134,135,135,Ben Crane,62,71.61,1289,18
135,136,136,Justin Hicks,79,71.64,1576,22
136,T137,T137,John Huh,88,71.65,2221,31
137,T137,T137,Nicholas Thompson,99,71.65,2436,34
138,T139,T139,Chris Stroud,88,71.67,2150,30
139,T139,T139,Johnson Wagner,64,71.67,1290,18
140,T141,T141,Padraig Harrington,52,71.71,1219,17
141,T141,T141,Mike Weir,60,71.71,1219,17
142,143,143,D.A. Points,87,71.75,2296,32
143,T144,T144,Charlie Beljan,62,71.77,1579,22
