,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
0,1,1,Steve Stricker,68.67,1648,24
1,2,2,Tiger Woods,68.97,2069,30
2,3,3,Justin Rose,69.44,2222,32
3,4,4,Sergio Garcia,69.53,2225,32
4,5,5,Chris Kirk,69.54,3477,50
5,6,6,Henrik Stenson,69.56,2365,34
6,7,7,Matt Kuchar,69.67,3135,45
7,8,8,Jordan Spieth,69.7,3276,47
8,9,9,Charles Howell III,69.74,3487,50
9,10,10,Adam Scott,69.77,2093,30
10,11,11,Brendon de Jonge,69.87,4332,62
11,12,12,Keegan Bradley,69.9,3355,48
12,13,13,Bob Estes,69.95,2658,38
13,14,14,Gary Woodland,70.0,3500,50
14,15,15,Charl Schwartzel,70.03,2521,36
15,16,16,Charley Hoffman,70.04,3292,47
16,17,17,Phil Mickelson,70.07,3083,44
17,18,18,Graham DeLaet,70.08,3714,53
18,19,19,Bill Haas,70.1,3435,49
19,20,20,Ryan Palmer,70.13,3226,46
20,21,21,Zach Johnson,70.15,3297,47
21,22,22,Harris English,70.17,3789,54
22,T23,T23,Roberto Castro,70.2,4212,60
23,T23,T23,Billy Horschel,70.2,3791,54
24,T23,T23,Bubba Watson,70.2,2808,40
25,26,26,Webb Simpson,70.24,3512,50
26,27,27,Jason Dufner,70.26,2951,42
27,28,28,Hunter Mahan,70.29,3444,49
28,29,29,Jimmy Walker,70.3,3515,50
29,30,30,Bryce Molder,70.33,3376,48
30,31,31,Cameron Percy,70.34,2884,41
31,32,32,Martin Flores,70.35,3588,51
32,33,33,Stuart Appleby,70.38,3519,50
33,34,34,Brad Fritsch,70.4,3379,48
34,T35,T35,Jerry Kelly,70.41,3239,46
35,T35,T35,Camilo Villegas,70.41,3239,46
36,37,37,Jim Furyk,70.42,3028,43
37,38,38,Boo Weekley,70.45,3875,55
38,39,39,K.J. Choi,70.46,3241,46
39,40,40,Matt Jones,70.48,3524,50
40,T41,T41,Jason Day,70.49,2890,41
41,T41,T41,Chez Reavie,70.49,3172,45
42,43,43,Brandt Snedeker,70.5,3384,48
43,44,44,Kevin Stadler,70.52,3526,50
44,45,45,Lee Westwood,70.53,2539,36
45,46,46,Rory Sabbatini,70.54,3668,52
46,47,47,Chris Stroud,70.55,3739,53
47,T48,T48,Jeff Overton,70.57,3317,47
48,T48,T48,John Rollins,70.57,3317,47
49,T48,T48,Daniel Summerhays,70.57,3811,54
50,51,51,Josh Teater,70.58,3388,48
51,52,52,Freddie Jacobson,70.59,2612,37
52,53,53,Richard Lee,70.6,3318,47
53,54,54,John Merrick,70.65,3391,48
54,55,55,Morgan Hoffmann,70.67,2968,42
55,56,56,Jason Kokrak,70.69,3605,51
56,57,57,Charlie Wi,70.7,3252,46
