,SG_Total_RANK THIS WEEK,SG_Total_RANK LAST WEEK,SG_Total_PLAYER NAME,SG_Total_ROUNDS,SG_Total_AVERAGE,SG_Total_TOTAL SG:T,SG_Total_TOTAL SG:T2G,SG_Total_TOTAL SG:P,SG_Total_MEASURED ROUNDS
0,1,1,Steve Stricker,51,2.193,76.771,51.586000000000006,25.185,35
1,2,2,Tiger Woods,61,2.064,88.73100000000001,70.396,18.333,43
2,3,3,Justin Rose,62,1.723,79.26899999999999,87.932,-8.662,46
3,4,4,Henrik Stenson,65,1.618,71.179,71.008,0.171,44
4,5,5,Sergio Garcia,65,1.5190000000000001,71.404,43.604,27.798000000000002,47
5,6,6,Jordan Spieth,82,1.473,98.676,86.48899999999999,12.183,67
6,7,7,Phil Mickelson,78,1.436,81.832,44.16,37.669000000000004,57
7,8,8,Keegan Bradley,88,1.403,101.01100000000001,83.01100000000001,18.002,72
8,9,9,Matt Kuchar,93,1.3980000000000001,96.449,68.95,27.495,69
9,10,10,Jim Furyk,80,1.389,88.906,83.001,5.901,64
10,11,11,Adam Scott,61,1.31,57.657,58.83,-1.1740000000000002,44
11,12,12,Luke Donald,60,1.2790000000000001,58.853,34.584,24.266,46
12,13,13,Webb Simpson,92,1.271,88.96600000000001,67.02600000000001,21.939,70
13,14,14,Charl Schwartzel,69,1.268,68.492,52.24100000000001,16.246,54
14,15,15,Bill Haas,85,1.265,87.294,68.945,18.348,69
15,16,16,Brandt Snedeker,79,1.141,66.179,26.026,40.15,58
16,17,17,Hunter Mahan,91,1.1340000000000001,77.108,51.144,25.964000000000002,68
17,18,18,Freddie Jacobson,63,1.075,49.456,28.785,20.669,46
18,T19,T19,Graham DeLaet,94,1.069,86.559,78.479,8.078,81
19,T19,T19,Bubba Watson,76,1.069,63.059,68.702,-5.642,59
20,21,21,Rory McIlroy,56,0.985,40.365,44.161,-3.7960000000000003,41
21,22,22,Jason Day,86,0.976,59.508,36.959,22.546,61
22,23,23,Chris Kirk,89,0.9620000000000001,77.953,40.995,36.955999999999996,81
23,24,24,Jimmy Walker,84,0.93,69.722,49.033,20.686999999999998,75
