,First_Tee_Early_Lowest_Round_RANK THIS WEEK,First_Tee_Early_Lowest_Round_RANK LAST WEEK,First_Tee_Early_Lowest_Round_PLAYER NAME,First_Tee_Early_Lowest_Round_ROUNDS,First_Tee_Early_Lowest_Round_LOW RND
0,1,1,Matt Kuchar,93,61
1,T2,T2,Franklin Corpening,4,62
2,T2,T2,Graham DeLaet,94,62
3,T2,T2,Tommy Gainey,84,62
4,T2,T2,Matt Jones,83,62
5,T2,T2,Chris Kirk,89,62
6,T2,T2,John Merrick,79,62
7,T2,T2,Ryan Palmer,79,62
8,T2,T2,Jordan Spieth,82,62
9,T2,T2,Brian Stuard,78,62
10,T2,T2,Johnson Wagner,64,62
11,T12,T12,Ángel Cabrera,73,63
12,T12,T12,Roberto Castro,97,63
13,T12,T12,Padraig Harrington,52,63
14,T12,T12,Morgan Hoffmann,64,63
15,T12,T12,Dustin Johnson,71,63
16,T12,T12,Pat Perez,69,63
17,T12,T12,Webb Simpson,92,63
18,T12,T12,Kevin Stadler,83,63
19,T20,T20,Aaron Baddeley,68,64
20,T20,T20,Sangmoon Bae,83,64
21,T20,T20,Ricky Barnes,74,64
22,T20,T20,Jason Bohn,70,64
23,T20,T20,Erik Compton,74,64
24,T20,T20,Harris English,95,64
25,T20,T20,Rickie Fowler,75,64
26,T20,T20,Sergio Garcia,65,64
27,T20,T20,Scott Gardiner,61,64
28,T20,T20,Fabián Gómez,65,64
29,T20,T20,John Huh,88,64
30,T20,T20,Zach Johnson,84,64
31,T20,T20,Robert Karlsson,56,64
32,T20,T20,Jerry Kelly,75,64
33,T20,T20,Steve LeBrun,66,64
34,T20,T20,D.H. Lee,65,64
35,T20,T20,Marc Leishman,77,64
36,T20,T20,Troy Matteson,68,64
37,T20,T20,Kevin Na,22,64
38,T20,T20,Henrik Norlander,70,64
39,T20,T20,Jin Park,52,64
40,T20,T20,Scott Piercy,78,64
41,T20,T20,"Ted Potter, Jr.",65,64
42,T20,T20,Dicky Pride,71,64
43,T20,T20,Joey Snyder III,38,64
44,T20,T20,David Toms,49,64
45,T20,T20,Camilo Villegas,79,64
46,T20,T20,Bubba Watson,76,64
47,T20,T20,Charlie Wi,75,64
48,T20,T20,Gary Woodland,94,64
49,T50,T50,Billy Andrade,9,65
50,T50,T50,Cameron Beckman,20,65
51,T50,T50,Steven Bowditch,67,65
52,T50,T50,Keegan Bradley,88,65
53,T50,T50,Scott Brown,65,65
54,T50,T50,Chad Campbell,78,65
55,T50,T50,Bud Cauley,67,65
56,T50,T50,Gary Christian,26,65
57,T50,T50,Tim Clark,64,65
58,T50,T50,Brian Davis,91,65
59,T50,T50,Brendon de Jonge,110,65
60,T50,T50,Jason Dufner,78,65
61,T50,T50,Ken Duke,87,65
62,T50,T50,Martin Flores,83,65
63,T50,T50,Brad Fritsch,81,65
64,T50,T50,Robert Garrigus,69,65
65,T50,T50,Jeff Gove,44,65
66,T50,T50,Branden Grace,35,65
67,T50,T50,Bill Haas,85,65
68,T50,T50,Jim Herman,59,65
69,T50,T50,Charley Hoffman,84,65
70,T50,T50,Miguel Angel Jiménez,12,65
71,T50,T50,Brandt Jobe,62,65
72,T50,T50,Colt Knost,69,65
73,T50,T50,David Lingmerth,68,65
74,T50,T50,Jeff Maggert,63,65
75,T50,T50,Hunter Mahan,91,65
76,T50,T50,David Mathis,71,65
77,T50,T50,Phil Mickelson,78,65
78,T50,T50,Bryce Molder,82,65
79,T50,T50,Ryan Moore,72,65
80,T50,T50,Louis Oosthuizen,30,65
81,T50,T50,Greg Owen,73,65
82,T50,T50,Cameron Percy,68,65
83,T50,T50,Carl Pettersson,82,65
84,T50,T50,D.A. Points,87,65
