,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
0,1,1,Steve Stricker,51,+2.18,69.19,71.37
1,2,2,Tiger Woods,61,+2.08,69.88,71.96
2,3,3,Henrik Stenson,65,+1.77,69.94,71.71
3,4,4,Justin Rose,62,+1.70,69.97,71.67
4,5,5,Adam Scott,61,+1.66,70.25,71.91
5,6,6,Matt Kuchar,93,+1.48,70.01,71.49
6,7,7,Sergio Garcia,65,+1.40,70.4,71.8
7,8,8,Brandt Snedeker,79,+1.35,70.19,71.54
8,9,9,Phil Mickelson,78,+1.33,70.09,71.42
9,T10,T10,Jason Day,86,+1.31,70.43,71.74
10,T10,T10,Charl Schwartzel,69,+1.31,70.46,71.77
11,12,12,Jordan Spieth,82,+1.30,69.98,71.28
12,T13,T13,Keegan Bradley,88,+1.27,70.01,71.28
13,T13,T13,Jim Furyk,80,+1.27,70.47,71.74
14,15,15,Luke Donald,60,+1.23,70.64,71.87
15,16,16,Webb Simpson,92,+1.16,70.26,71.42
16,17,17,Bill Haas,85,+1.13,70.38,71.51
17,18,18,Hunter Mahan,91,+1.07,70.62,71.69
18,19,19,Rory McIlroy,56,+.98,71.11,72.09
19,T20,T20,Jason Dufner,78,+.97,70.55,71.52
20,T20,T20,Zach Johnson,84,+.97,70.42,71.39
21,T20,T20,Bubba Watson,76,+.97,70.7,71.67
22,23,23,Graham DeLaet,94,+.95,70.2,71.15
23,24,24,Lee Westwood,70,+.94,71.0,71.94
24,T25,T25,Rickie Fowler,75,+.93,70.88,71.81
25,T25,T25,Charles Howell III,87,+.93,70.07,71.0
26,T27,T27,Dustin Johnson,71,+.92,70.76,71.68
27,T27,T27,Chris Kirk,89,+.92,70.01,70.93
28,29,29,Jimmy Walker,84,+.91,70.4,71.31
29,T30,T30,Brendon de Jonge,110,+.86,70.01,70.87
30,T30,T30,Matt Jones,83,+.86,70.17,71.03
31,32,32,Freddie Jacobson,63,+.82,70.87,71.69
32,33,33,Billy Horschel,96,+.79,70.49,71.28
33,34,34,K.J. Choi,85,+.75,70.79,71.54
34,35,35,Ryan Palmer,79,+.74,70.32,71.06
35,36,36,Bob Estes,66,+.73,70.42,71.15
36,37,37,Kevin Streelman,86,+.69,70.6,71.29
37,38,38,Ian Poulter,59,+.66,71.17,71.83
38,39,39,Chris Stroud,88,+.65,70.52,71.17
39,40,40,Charley Hoffman,84,+.64,70.8,71.44
40,41,41,Ernie Els,63,+.60,71.23,71.83
41,42,42,Roberto Castro,97,+.59,70.35,70.94
42,43,43,Harris English,95,+.58,70.46,71.04
43,44,44,Bryce Molder,82,+.53,70.26,70.79
44,T45,T45,Jerry Kelly,75,+.51,70.55,71.06
45,T45,T45,Graeme McDowell,53,+.51,71.35,71.86
46,47,47,Camilo Villegas,79,+.48,70.55,71.03
47,T48,T48,Stewart Cink,71,+.47,71.15,71.62
48,T48,T48,Peter Hanson,45,+.47,71.3,71.77
49,T50,T50,Russell Henley,80,+.46,70.91,71.37
50,T50,T50,Kevin Stadler,83,+.46,70.35,70.81
51,52,52,Cameron Tringale,80,+.45,70.64,71.09
52,T53,T53,Marc Leishman,77,+.44,71.13,71.57
53,T53,T53,Rory Sabbatini,86,+.44,70.26,70.7
54,T55,T55,Brian Davis,91,+.43,70.77,71.2
55,T55,T55,Nick Watney,88,+.43,70.97,71.4
56,T57,T57,David Hearn,88,+.41,70.75,71.16
57,T57,T57,John Merrick,79,+.41,70.72,71.13
58,T59,T59,Pat Perez,69,+.40,70.84,71.24
