,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
0,1,1,Steve Stricker,51,68.18,750,11
1,2,2,Justin Rose,62,69.41,1180,17
2,3,3,Webb Simpson,92,69.5,2780,40
3,4,4,Brendon de Jonge,110,69.58,4105,59
4,5,5,Keegan Bradley,88,69.63,2785,40
5,T6,T6,D.H. Lee,65,69.67,2299,33
6,T6,T6,Charl Schwartzel,69,69.67,1881,27
7,8,8,Matt Kuchar,93,69.73,2859,41
8,T9,T9,Jason Day,86,69.84,2654,38
9,T9,T9,Matt Jones,83,69.84,3003,43
10,11,11,Billy Horschel,96,69.91,3076,44
11,12,12,Tiger Woods,61,69.92,1678,24
12,13,13,Ryan Palmer,79,69.95,2868,41
13,T14,T14,Jerry Kelly,75,69.97,2659,38
14,T14,T14,Brandt Snedeker,79,69.97,2309,33
15,T16,T16,Morgan Hoffmann,64,70.0,2100,30
16,T16,T16,Camilo Villegas,79,70.0,2940,42
17,18,18,Bryce Molder,82,70.06,3293,47
18,T19,T19,Roberto Castro,97,70.07,3153,45
19,T19,T19,Chris Kirk,89,70.07,3083,44
20,21,21,Nick Watney,88,70.1,2944,42
21,T22,T22,Luke Donald,60,70.11,1963,28
22,T22,T22,Kevin Stadler,83,70.11,3155,45
23,24,24,Jimmy Walker,84,70.13,2805,40
24,25,25,Daniel Summerhays,83,70.15,2736,39
25,26,26,Jason Kokrak,78,70.16,2245,32
26,27,27,Robert Streb,75,70.19,2527,36
27,28,28,Phil Mickelson,78,70.22,2528,36
28,T29,T29,Jason Dufner,78,70.23,2739,39
29,T29,T29,John Merrick,79,70.23,2809,40
30,T31,T31,Bob Estes,66,70.24,2669,38
31,T31,T31,Jim Furyk,80,70.24,2388,34
32,33,33,Adam Scott,61,70.25,1686,24
33,34,34,Charles Howell III,87,70.28,2741,39
34,35,35,Rickie Fowler,75,70.29,2671,38
35,36,36,Bill Haas,85,70.31,2250,32
36,T37,T37,Hunter Mahan,91,70.33,2532,36
37,T37,T37,Chez Reavie,72,70.33,2813,40
38,T37,T37,Cameron Tringale,80,70.33,3235,46
39,T37,T37,Bubba Watson,76,70.33,2110,30
40,41,41,Jordan Spieth,82,70.34,2251,32
41,42,42,Justin Leonard,86,70.38,3519,50
42,43,43,Erik Compton,74,70.39,2534,36
43,44,44,Charley Hoffman,84,70.43,2606,37
44,45,45,Sergio Garcia,65,70.48,1621,23
45,T46,T46,Graham DeLaet,94,70.51,3173,45
46,T46,T46,Rory Sabbatini,86,70.51,2750,39
47,48,48,Vaughn Taylor,50,70.52,1622,23
48,49,49,Charlie Wi,75,70.53,2821,40
49,T50,T50,Harris English,95,70.55,3316,47
50,T50,T50,Zach Johnson,84,70.55,2187,31
51,52,52,Henrik Stenson,65,70.56,1764,25
52,53,53,Gary Woodland,94,70.59,3459,49
53,54,54,Matt Every,89,70.6,2965,42
54,55,55,Pat Perez,69,70.64,2331,33
55,56,56,Henrik Norlander,70,70.66,2685,38
56,T57,T57,Ángel Cabrera,73,70.67,2544,36
57,T57,T57,Chris Stroud,88,70.67,3392,48
58,59,59,Ian Poulter,59,70.68,1555,22
59,60,60,Freddie Jacobson,63,70.71,2192,31
60,61,61,Lee Williams,62,70.72,2546,36
61,T62,T62,Kevin Chappell,80,70.73,3112,44
62,T62,T62,Kevin Streelman,86,70.73,2900,41
63,T64,T64,Brian Davis,91,70.75,3396,48
64,T64,T64,Ken Duke,87,70.75,3396,48
65,T66,T66,George McNeill,68,70.78,2619,37
66,T66,T66,Boo Weekley,100,70.78,3893,55
67,68,68,Patrick Reed,83,70.8,2832,40
68,69,69,J.J. Henry,83,70.81,2974,42
69,70,70,D.J. Trahan,48,70.82,1558,22
70,71,71,Russell Henley,80,70.83,2904,41
71,T72,T72,Ryo Ishikawa,72,70.84,2621,37
72,T72,T72,Cameron Percy,68,70.84,2692,38
73,74,74,James Driscoll,76,70.85,2409,34
74,75,75,Dicky Pride,71,70.86,2480,35
75,76,76,Graeme McDowell,53,70.87,1630,23
76,T77,T77,Chad Campbell,78,70.88,2977,42
77,T77,T77,Jim Herman,59,70.88,1772,25
78,T77,T77,Dustin Johnson,71,70.88,2339,33
79,80,80,Lee Westwood,70,70.91,2411,34
80,81,81,Ricky Barnes,74,70.93,2979,42
81,T82,T82,Stuart Appleby,88,70.94,3334,47
82,T82,T82,Steve LeBrun,66,70.94,2412,34
83,T82,T82,Jeff Maggert,63,70.94,2412,34
84,T82,T82,Tag Ridings,69,70.94,2199,31
85,T82,T82,Brendan Steele,86,70.94,3405,48
86,87,87,Justin Hicks,79,70.95,2838,40
87,T88,T88,Brian Harman,89,70.98,3194,45
88,T88,T88,William McGirt,75,70.98,3123,44
89,T90,T90,Sangmoon Bae,83,71.0,3337,47
90,T90,T90,Andres Romero,63,71.0,2130,30
91,92,92,Marc Leishman,77,71.03,2344,33
92,T93,T93,Brad Fritsch,81,71.05,2984,42
93,T93,T93,Ben Kohles,75,71.05,2629,37
94,95,95,Nicholas Thompson,99,71.06,3766,53
95,T96,T96,Tim Clark,64,71.07,2132,30
96,T96,T96,Martin Flores,83,71.07,3198,45
97,T98,T98,Jason Bohn,70,71.08,2630,37
98,T98,T98,John Senden,79,71.08,2843,40
99,T100,T100,David Hearn,88,71.11,3769,53
100,T100,T100,Brandt Jobe,62,71.11,2560,36
101,T100,T100,David Lingmerth,68,71.11,2631,37
102,T103,T103,K.J. Choi,85,71.12,3556,50
103,T103,T103,Andrew Svoboda,46,71.12,1849,26
104,T105,T105,Brian Gay,79,71.14,3557,50
105,T105,T105,"Ted Potter, Jr.",65,71.14,1992,28
106,107,107,Luke Guthrie,82,71.17,2562,36
107,T108,T108,Ryan Moore,72,71.18,2420,34
108,T108,T108,Brian Stuard,78,71.18,2705,38
109,110,110,James Hahn,78,71.21,2421,34
110,111,111,Rod Pampling,46,71.23,1852,26
111,T112,T112,Aaron Baddeley,68,71.24,2351,33
112,T112,T112,Bud Cauley,67,71.24,2351,33
113,T112,T112,Jeff Overton,78,71.24,2921,41
114,T115,T115,Vijay Singh,61,71.26,2423,34
115,T115,T115,Mike Weir,60,71.26,2209,31
116,117,117,Rory McIlroy,56,71.27,1568,22
117,118,118,Aaron Watkins,46,71.28,1782,25
118,119,119,Tim Herron,45,71.29,1711,24
119,T120,T120,Tom Gillis,69,71.3,2638,37
120,T120,T120,Doug LaBelle II,72,71.3,2852,40
